dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
1,1,12,153.21834,byplayer,0,6,28,0,0,0.0,HongSeokChun,account.f45a970e60594b04bde48b1e5454fca9,0,2413.035,0,0.0,0,1577,0,1671.8218,5,2,384,18ff2a09-205c-4367-8466-9311910bcdab,4084.8567999999996,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1e2de61e-6f77-44e5-84a8-31f23cbd3f7f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
6,3,13,874.6034,byplayer,0,8,3,2,4,30.888157,SteveYoo-_,account.069dfeb83e6e43c080b8c752fc3edcad,0,4009.3027,2,0.0,0,1674,0,1259.1891,4,2,555,18ff2a09-205c-4367-8466-9311910bcdab,5268.4918,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1e2de61e-6f77-44e5-84a8-31f23cbd3f7f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
5,3,7,1188.261,byplayer,0,7,1,2,6,87.22812,SteveYoung-_,account.c992cb1a96aa4717927f888441f9d321,2,1530.7037,0,0.0,1,1674,0,2268.628,7,2,414,18ff2a09-205c-4367-8466-9311910bcdab,3799.3317,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1e2de61e-6f77-44e5-84a8-31f23cbd3f7f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
2,0,4,227.88902,byplayer,0,3,17,1,1,202.34203,DMTNT_MASTER,account.2d0f2a6e6f494de3b23e6d8167d3cef6,2,1431.5747,0,0.0,0,1526,1,2213.5146,6,2,157,18ff2a09-205c-4367-8466-9311910bcdab,3645.0892999999996,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1e2de61e-6f77-44e5-84a8-31f23cbd3f7f,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,5,0.0,byzone,0,3,33,0,0,0.0,2PM-CarpKing,account.85b313ce71a146edbecadc2d0840427e,0,2542.9841,0,9.51095,0,1430,0,1256.2651,5,4,267,18ff2a09-205c-4367-8466-9311910bcdab,3808.76015,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,34ef3a11-eb5c-40df-b291-5ea9b543b307,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,2,29.75797,byplayer,0,2,30,0,0,0.0,2PM-CURRY,account.65483d0524ba4345aafc4f2d400a45d6,1,2626.7075,0,0.0,0,1611,0,1433.4587,5,4,288,18ff2a09-205c-4367-8466-9311910bcdab,4060.1661999999997,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,34ef3a11-eb5c-40df-b291-5ea9b543b307,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,6,47.304394,byplayer,0,5,32,0,0,0.0,2PM-WindGrin,account.ad2aed3f79d64465ac8ef429fb01443c,2,3328.827,0,3.3043683,0,1607,0,1445.1042,2,4,302,18ff2a09-205c-4367-8466-9311910bcdab,4777.2355683,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,34ef3a11-eb5c-40df-b291-5ea9b543b307,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,8,0.0,byplayer,0,2,31,0,0,0.0,2PM-NGXM,account.ec77581307b547f7a4646e4eeab2921c,1,2497.0454,0,0.0,0,1611,0,1798.4222,7,4,262,18ff2a09-205c-4367-8466-9311910bcdab,4295.4676,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,34ef3a11-eb5c-40df-b291-5ea9b543b307,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
2,0,1,76.62262,byplayer,0,1,24,1,1,241.13876,king_zuixieyi0,account.017447f8ff6e4ac4a62650fe450d01cf,0,4423.508,0,0.0,0,645,0,759.0761,7,13,146,18ff2a09-205c-4367-8466-9311910bcdab,5182.5841,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,a71f6acd-dc76-4b74-888a-a033ef2e888a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
2,4,1,383.74557,byplayer,0,1,52,0,0,0.0,0609r,account.f0fcb7e506b348d6849fb19ff45a2e1c,0,4218.4155,0,0.0,0,658,0,619.72876,4,13,183,18ff2a09-205c-4367-8466-9311910bcdab,4838.14426,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,a71f6acd-dc76-4b74-888a-a033ef2e888a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,3,0.0,byplayer,0,3,53,0,0,0.0,God555_,account.e6a3a8fdca1c4f19a3e785016bfe39af,0,4413.9194,0,0.0,0,658,0,634.8148,5,13,203,18ff2a09-205c-4367-8466-9311910bcdab,5048.7342,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,a71f6acd-dc76-4b74-888a-a033ef2e888a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
1,1,3,77.97067,byplayer,0,4,15,2,2,55.86578,yeweimlk,account.c7f062d0e6264f50a0892db8472e6b7a,0,4613.5186,0,0.0,0,640,0,676.7651,4,13,205,18ff2a09-205c-4367-8466-9311910bcdab,5290.2837,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,a71f6acd-dc76-4b74-888a-a033ef2e888a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
1,0,6,135.87598,byplayer,0,3,21,1,1,6.790603,Imrouruan,account.f9f71d739e3448c98817b51d7be8d6c8,0,9909.026,0,49.062843,0,1094,0,1252.0303,13,9,96,18ff2a09-205c-4367-8466-9311910bcdab,11210.119143,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb7c535b-69d1-4d8c-8471-9e136d735096,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,2,0.0,byplayer,0,0,41,0,0,0.0,wocao--131,account.64d8e0b4a02c4b5c93e91b76e2bd353a,0,8135.12,0,0.0,0,1094,0,848.3445,5,9,100,18ff2a09-205c-4367-8466-9311910bcdab,8983.4645,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb7c535b-69d1-4d8c-8471-9e136d735096,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,2,0.0,byplayer,0,0,43,0,0,0.0,00-SaoZhu,account.5194f505c52346e2a6e82b3bc257f947,0,8164.351,0,0.0,0,1083,0,779.1545,7,9,96,18ff2a09-205c-4367-8466-9311910bcdab,8943.5055,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb7c535b-69d1-4d8c-8471-9e136d735096,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,5,64.35584,byplayer,0,8,42,0,0,0.0,17_sProMax,account.5ed76ecdf6e14926a6df5e24e3722d65,0,8520.942,0,12.743261,0,1094,0,1043.2501,7,9,101,18ff2a09-205c-4367-8466-9311910bcdab,9576.935360999998,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb7c535b-69d1-4d8c-8471-9e136d735096,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,1,22.140001,byplayer,0,0,45,0,0,0.0,YiGan_ChangQiang,account.e2102f04399b4b65b715dd47bd771abb,0,7904.3823,0,0.0,0,906,0,805.18774,10,11,100,18ff2a09-205c-4367-8466-9311910bcdab,8709.57004,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,b7ec36e8-1ed4-4bfb-a058-689f1e25fcd9,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,5,0.0,byplayer,0,0,46,0,0,0.0,Yaojianzhang,account.5c0754a3107847e7bdc1f3af33e4abe3,0,7173.7725,0,0.0,0,906,0,883.3971,8,11,100,18ff2a09-205c-4367-8466-9311910bcdab,8057.1696,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,b7ec36e8-1ed4-4bfb-a058-689f1e25fcd9,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,3,126.48765,byplayer,0,0,47,0,0,0.0,My_GuoC_Xu,account.141054506f7b436792fd5466b253e049,0,7343.2017,0,0.0,0,906,0,629.3853,5,11,99,18ff2a09-205c-4367-8466-9311910bcdab,7972.5869999999995,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,b7ec36e8-1ed4-4bfb-a058-689f1e25fcd9,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,4,90.76927,byplayer,0,0,48,0,0,0.0,CongMingD_1Xiu,account.cc74c4f30f254810bfbd7d13eea47a7c,0,8148.772,0,0.0,0,906,0,1168.225,6,11,100,18ff2a09-205c-4367-8466-9311910bcdab,9316.997,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,b7ec36e8-1ed4-4bfb-a058-689f1e25fcd9,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,2,0.0,byplayer,0,5,55,0,0,0.0,MelodyB7,account.769029cb36d24d20be0645bbd2fe236b,0,0.0,0,0.0,0,561,0,290.71118,3,14,230,18ff2a09-205c-4367-8466-9311910bcdab,290.71118,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb4c633d-f830-4d33-b2ef-5b71cb950017,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
1,0,0,39.45425,byplayer,0,0,56,0,0,0.0,MelodyK7,account.ff408045769d4a9bb8846ddd7e66a7b6,0,0.0,0,0.0,0,503,0,702.4096,6,14,100,18ff2a09-205c-4367-8466-9311910bcdab,702.4096,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb4c633d-f830-4d33-b2ef-5b71cb950017,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,1,2,65.28879,byplayer,0,4,54,0,0,0.0,MelodyX7,account.032aafb67e784d4597abfd884a4296c8,1,0.0,0,0.0,0,599,0,932.62213,3,14,282,18ff2a09-205c-4367-8466-9311910bcdab,932.62213,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb4c633d-f830-4d33-b2ef-5b71cb950017,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
1,0,2,241.09364,byplayer,0,2,25,1,1,4.6390386,qwer3070446008,account.7ed8a51de820499eac440484a91437ca,0,0.0,0,0.0,0,599,0,359.31122,5,14,226,18ff2a09-205c-4367-8466-9311910bcdab,359.31122,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,eb4c633d-f830-4d33-b2ef-5b71cb950017,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,0,46.74,byplayer,0,0,63,0,0,0.0,WG_q283667519,account.828775eca9414df18d07896c07a0df27,1,0.0,0,0.0,0,368,0,326.6048,3,16,100,18ff2a09-205c-4367-8466-9311910bcdab,326.6048,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,dd14e2e2-352b-4f42-89fc-75c0cf534f79,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
3,0,0,459.1397,byplayer,0,1,16,2,2,68.09938,lyy-cyj1314,account.ce72d21e15a445069a6a792927b6c863,0,0.0,0,0.0,0,552,0,703.7416,3,15,161,18ff2a09-205c-4367-8466-9311910bcdab,703.7416,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,dd14e2e2-352b-4f42-89fc-75c0cf534f79,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,1,3,0.0,byplayer,0,2,62,0,0,0.0,LU_CCCCCEN,account.16f3a7aac71f4286bd102b89a492f6c7,0,0.0,0,0.0,0,475,0,514.56775,3,16,142,18ff2a09-205c-4367-8466-9311910bcdab,514.56775,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,dd14e2e2-352b-4f42-89fc-75c0cf534f79,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
2,0,0,225.2,byplayer,0,0,26,1,1,28.785425,Pluge-Yang,account.39660a3fd68d49e4ba02556e420763b6,0,0.0,0,0.0,0,308,0,298.3045,6,16,100,18ff2a09-205c-4367-8466-9311910bcdab,298.3045,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,dd14e2e2-352b-4f42-89fc-75c0cf534f79,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,3,10.8072,byplayer,0,0,51,0,0,0.0,XDD_of_father,account.812a508bfc3b4bf59d03214e3164062b,0,4965.299,0,0.0,0,693,0,418.4301,4,12,100,18ff2a09-205c-4367-8466-9311910bcdab,5383.7291,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1c7ace5a-ead6-4476-aed9-56aaff6e57f2,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
0,0,4,0.0,byplayer,0,0,50,0,0,0.0,Jie---Fei,account.b9afd4e535674e01b72fc4e049c6e678,0,4871.014,0,0.0,0,693,0,571.402,4,12,100,18ff2a09-205c-4367-8466-9311910bcdab,5442.416,2023-01-07T14:34:12Z,¿¡¶õ°Ö,1677,1c7ace5a-ead6-4476-aed9-56aaff6e57f2,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/04/8a96dac3-8e9c-11ed-bec3-5234a0e776ed-telemetry.json
