dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
1,0,1,223.176,suicide,0,1,32,0,0,0.0,Lsp-Maggic,account.0e420cca162146eab5658a3c82e74916,0,0.0,0,0,0,530,0,442.30606,6,7,149,95f6b899-fc90-4323-a35e-fe3a06c509b6,442.30606,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,3746d17a-082b-45ea-ae09-dc1097cd3614,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,3,114.97799,byzone,0,35,31,0,0,0.0,G-ioi-,account.36a321df0ba04e2f91985043e2942325,0,460.89328,0,0,0,1055,0,1943.7952,12,7,58,95f6b899-fc90-4323-a35e-fe3a06c509b6,2404.68848,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,3746d17a-082b-45ea-ae09-dc1097cd3614,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
1,0,1,107.27258,byplayer,0,6,50,0,0,0.0,Lsp-FuckYou,account.ed0fd0dce8f5487895b69a6c0b3b2a4b,0,0.0,0,0,0,543,0,478.5887,3,12,245,95f6b899-fc90-4323-a35e-fe3a06c509b6,478.5887,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,3746d17a-082b-45ea-ae09-dc1097cd3614,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,0,58.905,byplayer,0,0,33,0,0,0.0,C-ioi-,account.60909c25a49345619818439efd78a525,0,0.0,0,0,0,117,0,25.059946,1,7,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,25.059946,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,3746d17a-082b-45ea-ae09-dc1097cd3614,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,4,0.0,byplayer,0,0,43,0,0,0.0,CattyJun,account.4c50eabe076d4a8d999703dfd46db335,0,1045.5193,0,0,0,668,0,710.1348,5,11,103,95f6b899-fc90-4323-a35e-fe3a06c509b6,1755.6541,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,33ceaedc-b9cf-4cfc-a069-33f5c0b4f2f3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,4,0.0,byplayer,0,0,45,0,0,0.0,FCC_GuguaGugua,account.66445769be0c42eaae9fee3296ceebfc,0,721.2205,0,0,0,668,0,782.81165,6,11,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,1504.03215,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,33ceaedc-b9cf-4cfc-a069-33f5c0b4f2f3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,1,49.175648,byplayer,0,0,44,0,0,0.0,FCC_Delicious,account.8e8335bd3c7042ca854337f9290edab0,0,1165.2849,0,0,0,668,0,647.9243,5,11,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,1813.2092000000002,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,33ceaedc-b9cf-4cfc-a069-33f5c0b4f2f3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,0,44.414993,byplayer,0,0,42,0,0,0.0,nikanwosangbu-_-,account.192dbe2ae6a54d52a293c5412f9684b7,0,1040.4939,0,0,0,668,0,884.7226,5,11,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,1925.2165,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,33ceaedc-b9cf-4cfc-a069-33f5c0b4f2f3,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,0,92.970665,byplayer,0,0,54,0,0,0.0,XiaoTao__z,account.b768416266dc443fba63d6abdd193405,0,0.0,0,0,0,461,0,905.7528,4,14,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,905.7528,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,206eb050-ce4d-4c89-aa48-de1039ded6e8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
0,0,0,25.380001,byplayer,0,0,57,0,0,0.0,baby-ZAY,account.7f4af6b4805a4c21ab2872f2d07b05d2,0,0.0,0,0,0,401,0,1010.19946,2,14,100,95f6b899-fc90-4323-a35e-fe3a06c509b6,1010.19946,2023-01-07T13:39:50Z,¿¡¶õ°Ö,1870,206eb050-ce4d-4c89-aa48-de1039ded6e8,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/14/13/649c95e0-8e95-11ed-8e4f-7a9129a12d85-telemetry.json
