dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
0,1,1,0.0,byplayer,0,0,60,0,0,0.0,99nianxiaozhanan,account.47f06c947528494599985f4f7b2c1857,1,0.0,0,0.0,0,240,0,405.98624,5,16,100,3a3918bd-c843-46b9-b91d-234eb35cd934,405.98624,2023-01-07T15:28:40Z,에란겔,1809,c7ac46c3-f4ba-444d-82e1-d977f3afb0ef,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,1,0,21.936592,byplayer,0,0,61,0,0,0.0,92nianweisuonan,account.58a47fdd07a8489cb0c885800a3f1d7a,0,0.0,0,0.0,0,129,0,145.9425,2,16,100,3a3918bd-c843-46b9-b91d-234eb35cd934,145.9425,2023-01-07T15:28:40Z,에란겔,1809,c7ac46c3-f4ba-444d-82e1-d977f3afb0ef,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,2,0,125.8,byplayer,0,0,28,1,1,31.860102,DG_Hungerdog,account.1d2563631b2c4ba4a45f72b0833fb1aa,0,0.0,0,0.0,0,131,0,162.40575,1,16,97,3a3918bd-c843-46b9-b91d-234eb35cd934,162.40575,2023-01-07T15:28:40Z,에란겔,1809,c7ac46c3-f4ba-444d-82e1-d977f3afb0ef,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,0,2,152.26341,byplayer,0,1,15,1,2,45.92557,ljw-ww,account.10f297e361b944ad9936d6ee136f1f4f,0,0.0,0,0.0,0,240,0,329.11273,2,16,183,3a3918bd-c843-46b9-b91d-234eb35cd934,329.11273,2023-01-07T15:28:40Z,에란겔,1809,c7ac46c3-f4ba-444d-82e1-d977f3afb0ef,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,1,7,299.1131,byplayer,0,2,23,1,1,89.01775,haizhege,account.297f5a810445444694c01760d2f70379,1,5099.4717,0,0.0,0,1328,0,1223.6234,4,8,230,3a3918bd-c843-46b9-b91d-234eb35cd934,6323.0951000000005,2023-01-07T15:28:40Z,에란겔,1809,d4865332-75d7-458e-86a7-0aa2b37402da,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
3,0,5,246.9108,byplayer,0,3,11,1,2,20.567156,TKT-996,account.8621c466996346cea9dc2e3238390f4f,0,4816.5654,0,78.6333,0,1328,0,1614.6703,7,8,242,3a3918bd-c843-46b9-b91d-234eb35cd934,6509.869000000001,2023-01-07T15:28:40Z,에란겔,1809,d4865332-75d7-458e-86a7-0aa2b37402da,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,2,0,18.384071,byplayer,0,0,56,0,0,0.0,Im7k,account.cfc762abfa1e4d7aaea7bea9108de25b,0,539.17206,0,0.0,0,357,0,441.2666,4,15,100,3a3918bd-c843-46b9-b91d-234eb35cd934,980.43866,2023-01-07T15:28:40Z,에란겔,1809,d4865332-75d7-458e-86a7-0aa2b37402da,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,1,6,331.68024,byplayer,0,1,12,2,2,6.4857817,ZHANSHENZHIZUN,account.91059be700c94004b15bcdd6c31ad800,0,4779.505,0,0.0,0,1328,0,1574.9337,11,8,224,3a3918bd-c843-46b9-b91d-234eb35cd934,6354.438700000001,2023-01-07T15:28:40Z,에란겔,1809,d4865332-75d7-458e-86a7-0aa2b37402da,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,1,5,242.849,suicide,0,0,39,0,0,0.0,dapaoguilaozeng,account.b8c5d7eeee794de5b36c989906e28e3d,0,4796.599,0,0.0,0,1444,0,1323.4681,4,7,0,3a3918bd-c843-46b9-b91d-234eb35cd934,6120.0671,2023-01-07T15:28:40Z,에란겔,1809,46f4fad2-6931-4481-ae5c-3c36b2a7084b,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,7,161.37563,byplayer,0,0,38,0,0,0.0,Zeor-0,account.d9e2da7607fa41baa128f6c27a0b2b77,0,5476.9043,0,0.0,0,1457,0,1619.8315,4,7,87,3a3918bd-c843-46b9-b91d-234eb35cd934,7096.7358,2023-01-07T15:28:40Z,에란겔,1809,46f4fad2-6931-4481-ae5c-3c36b2a7084b,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,8,43.904243,byplayer,0,3,37,0,0,0.0,zhangqing_110,account.4dc33be9b3ca42a78e9300a13538ee68,0,5476.63,0,0.0,0,1457,0,1261.5177,5,7,184,3a3918bd-c843-46b9-b91d-234eb35cd934,6738.1477,2023-01-07T15:28:40Z,에란겔,1809,46f4fad2-6931-4481-ae5c-3c36b2a7084b,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,6,0.0,byplayer,0,1,40,0,0,0.0,yuizhiqing1992,account.5ef517e0c4074f4c932fdf7fccd6a5c0,0,4177.5063,0,0.0,0,1397,0,1619.8672,4,7,160,3a3918bd-c843-46b9-b91d-234eb35cd934,5797.3735,2023-01-07T15:28:40Z,에란겔,1809,46f4fad2-6931-4481-ae5c-3c36b2a7084b,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,0,0,164.413,byplayer,0,0,58,0,0,0.0,Ze_Lee,account.216e7aed983e46b9b9ec5f4a6bf2b1ff,0,1231.5867,0,0.0,0,258,0,100.99568,2,15,100,3a3918bd-c843-46b9-b91d-234eb35cd934,1332.58238,2023-01-07T15:28:40Z,에란겔,1809,88783c90-fed9-4701-8646-3b8d1e4fc14c,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,3,0.0,byplayer,0,0,51,0,0,0.0,ShenMing-007,account.5c4a966cbaaa41aab6bb9f048d63abbe,0,2082.8774,0,0.0,0,956,0,1009.6108,5,14,133,3a3918bd-c843-46b9-b91d-234eb35cd934,3092.4882,2023-01-07T15:28:40Z,에란겔,1809,88783c90-fed9-4701-8646-3b8d1e4fc14c,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,0,0.0,byplayer,0,0,59,0,0,0.0,beyondonly,account.315f3fb8f7be40479ef7f08b0bdb7ed4,0,1163.2043,0,0.0,0,212,0,179.70515,0,15,100,3a3918bd-c843-46b9-b91d-234eb35cd934,1342.90945,2023-01-07T15:28:40Z,에란겔,1809,88783c90-fed9-4701-8646-3b8d1e4fc14c,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,0,0,193.06001,byplayer,1,0,27,1,1,54.84556,wating897575,account.5f947d170459400b9f69b21840abcb2d,0,1261.7655,0,0.0,0,360,0,509.97684,2,15,100,3a3918bd-c843-46b9-b91d-234eb35cd934,1771.74234,2023-01-07T15:28:40Z,에란겔,1809,88783c90-fed9-4701-8646-3b8d1e4fc14c,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,0,6,370.48914,byplayer,3,1,7,2,3,72.261955,x895623b,account.8e8fba6889b84d64bc1ab08e5a8929d5,0,6431.8555,0,0.0,0,1279,0,1252.8026,8,9,166,3a3918bd-c843-46b9-b91d-234eb35cd934,7684.6581,2023-01-07T15:28:40Z,에란겔,1809,8819f278-830e-4d44-b736-e871c4163686,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,0,0,196.52884,byplayer,2,0,16,2,2,16.808765,Rise_KeLiSi,account.8acd1935b1fc41489af7e9f2cdb3c2f5,0,0.0,0,0.0,0,150,0,68.27541,4,16,100,3a3918bd-c843-46b9-b91d-234eb35cd934,68.27541,2023-01-07T15:28:40Z,에란겔,1809,8819f278-830e-4d44-b736-e871c4163686,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,1,0,31.720497,byplayer,0,0,62,0,0,0.0,Rise_chenbaby,account.4446bff8fc8749afaa45236dc39c032a,0,0.0,0,0.0,0,112,0,57.67856,1,16,100,3a3918bd-c843-46b9-b91d-234eb35cd934,57.67856,2023-01-07T15:28:40Z,에란겔,1809,8819f278-830e-4d44-b736-e871c4163686,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,0,0.0,byplayer,0,0,63,0,0,0.0,xxs_mua,account.3f03ac28a2dc4ee69544ba4d20d9165a,0,0.0,0,0.0,0,83,0,41.803055,0,16,100,3a3918bd-c843-46b9-b91d-234eb35cd934,41.803055,2023-01-07T15:28:40Z,에란겔,1809,8819f278-830e-4d44-b736-e871c4163686,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
1,0,8,100.0,byplayer,0,6,24,1,1,10.165206,HJB--YYDS,account.ee684cc465854ce0bab6682516db3ee0,0,5103.9087,0,0.0,0,968,0,1087.0624,4,10,156,3a3918bd-c843-46b9-b91d-234eb35cd934,6190.9711,2023-01-07T15:28:40Z,에란겔,1809,7fd60710-d930-4aa2-9019-023ded8493d4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,7,21.78,byplayer,0,17,41,0,0,0.0,SIGNAL_SOJU,account.6681b1d6a9f84104845ab166e69ef67b,0,5492.8857,0,0.0,0,1244,0,1718.43,5,10,262,3a3918bd-c843-46b9-b91d-234eb35cd934,7211.3157,2023-01-07T15:28:40Z,에란겔,1809,7fd60710-d930-4aa2-9019-023ded8493d4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,0,10,186.22,byplayer,0,8,13,2,2,58.306984,nikezhencai-666,account.9f9028529f7a477893b3324a63c400a1,1,5539.667,0,0.0,0,1244,0,1815.0138,7,10,224,3a3918bd-c843-46b9-b91d-234eb35cd934,7354.6808,2023-01-07T15:28:40Z,에란겔,1809,7fd60710-d930-4aa2-9019-023ded8493d4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,3,0.0,byplayer,0,2,57,0,0,0.0,DaShiJiDianNao,account.6f3a95d57cd24e22aacd50a3b91bb3af,0,0.0,0,0.0,0,329,0,265.5079,2,15,143,3a3918bd-c843-46b9-b91d-234eb35cd934,265.5079,2023-01-07T15:28:40Z,에란겔,1809,7fd60710-d930-4aa2-9019-023ded8493d4,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,3,5,724.8122,byplayer,1,7,4,1,4,218.89853,ExpressCo_Suxx,account.a8f12949e87c46f397d3ec01293ffdea,4,2484.1091,0,0.0,0,1645,1,2081.8982,5,5,169,3a3918bd-c843-46b9-b91d-234eb35cd934,4566.0073,2023-01-07T15:28:40Z,에란겔,1809,3f8b11dc-a58b-4a38-a640-1061da0ef934,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
3,2,11,478.8119,byplayer,0,7,34,0,0,0.0,WangXiaoshuaiBiu,account.f454b8bdd418497a967b3de6d3cfbe23,0,2494.4954,0,0.0,0,1619,0,1651.331,6,5,435,3a3918bd-c843-46b9-b91d-234eb35cd934,4145.8264,2023-01-07T15:28:40Z,에란겔,1809,3f8b11dc-a58b-4a38-a640-1061da0ef934,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
2,2,4,294.7523,byplayer,0,6,6,1,3,277.68356,shijian952711,account.47fa3221b2c4497ca9a798be230c6715,1,6088.355,0,0.0,0,1645,0,1768.182,2,5,220,3a3918bd-c843-46b9-b91d-234eb35cd934,7856.536999999999,2023-01-07T15:28:40Z,에란겔,1809,3f8b11dc-a58b-4a38-a640-1061da0ef934,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
0,0,0,0.0,byplayer,0,0,30,0,0,0.0,rampant23,account.f9c846e8c38f40d9aae6999b5214e862,0,2854.4412,0,0.0,0,589,0,819.2816,5,2,82,3a3918bd-c843-46b9-b91d-234eb35cd934,3673.7228000000005,2023-01-07T15:28:40Z,에란겔,1809,e6dc5a13-bb7e-4113-beb6-21ce29ceafb6,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/16/00/7544567e-8ea4-11ed-a00f-36f62885024b-telemetry.json
