dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,match_id,total_distance,created_at,map_name,duration,roster_id,telemetry_link
1,1,11,270.73074,alive,1,7,7,1,2,163.62003,91_DaShu,account.b47176d25be5491f9fd92d399870cb3a,3,8046.1826,0,0.0,0,1910,0,3003.5986,3,1,303,d359cc52-668f-485a-99bd-cb741028ac39,11049.7812,2023-01-07T15:03:54Z,테이고,1910,7d795834-0cfd-4bd2-b0c4-555e8da190b6,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
2,1,11,296.65546,alive,2,4,4,2,4,225.6573,FG_Sheep,account.5350a6611032441bb65274bc24a13fcd,1,9514.02,0,0.0,0,1615,0,1864.239,8,1,253,d359cc52-668f-485a-99bd-cb741028ac39,11378.259,2023-01-07T15:03:54Z,테이고,1910,7d795834-0cfd-4bd2-b0c4-555e8da190b6,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
2,5,13,542.5998,alive,0,5,16,1,1,130.37889,ouruii,account.f451abe6bb464df7bc22a465342e5ef8,1,10339.941,0,0.0,0,1910,0,1836.4519,10,1,106,d359cc52-668f-485a-99bd-cb741028ac39,12176.3929,2023-01-07T15:03:54Z,테이고,1910,7d795834-0cfd-4bd2-b0c4-555e8da190b6,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
4,1,12,516.78674,alive,0,7,3,1,4,113.65277,xxxxxeio,account.d947a56608944681839a27cdddce3508,0,8606.165,0,0.0,0,1910,0,1974.5895,6,1,237,d359cc52-668f-485a-99bd-cb741028ac39,10580.754500000001,2023-01-07T15:03:54Z,테이고,1910,7d795834-0cfd-4bd2-b0c4-555e8da190b6,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
3,1,4,470.97952,byplayer,0,3,24,1,1,4.791695,gouride-0000,account.33df42ddd9524746b97f059bc53ca9ea,2,3779.4985,0,0.0,0,1107,0,2072.703,3,9,298,d359cc52-668f-485a-99bd-cb741028ac39,5852.2015,2023-01-07T15:03:54Z,테이고,1910,2f70d022-d22e-4c0c-9c30-cbd46fc7571a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
1,0,5,283.4834,byplayer,1,1,22,1,1,29.4533,iy99-,account.eafb24ef465a44fda4196fbefd645df5,2,3096.5684,0,0.0,0,1169,0,1581.4012,5,9,204,d359cc52-668f-485a-99bd-cb741028ac39,4677.9696,2023-01-07T15:03:54Z,테이고,1910,2f70d022-d22e-4c0c-9c30-cbd46fc7571a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
2,1,7,299.20834,byplayer,0,1,23,1,1,15.143601,iY99--,account.917df8730a6f40dbb0935fa39fa9cd99,1,3547.3257,0,0.0,0,1169,0,1776.1355,6,9,167,d359cc52-668f-485a-99bd-cb741028ac39,5323.4612,2023-01-07T15:03:54Z,테이고,1910,2f70d022-d22e-4c0c-9c30-cbd46fc7571a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,6,47.721066,byplayer,0,3,43,0,0,0.0,TY-Joker_King,account.258f13ce859f49cda4a6f90008f881da,0,3094.3813,0,0.0,0,1155,0,1794.6255,5,9,349,d359cc52-668f-485a-99bd-cb741028ac39,4889.0068,2023-01-07T15:03:54Z,테이고,1910,2f70d022-d22e-4c0c-9c30-cbd46fc7571a,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
1,1,9,136.94621,byplayer,0,7,18,1,1,71.80144,Laoliu1_-,account.bf2b6e76f06447e9a28b2d402b24e8cb,0,6836.7476,0,0.0,0,1390,0,2640.4663,6,6,317,d359cc52-668f-485a-99bd-cb741028ac39,9477.213899999999,2023-01-07T15:03:54Z,테이고,1910,1362c42e-89d4-4400-b985-453df073f998,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
0,0,0,0.0,byplayer,0,0,39,0,0,0.0,LSP_AbInnnnnnnnn,account.6fd611d33a19495db246deece5960d5b,0,0.0,0,0.0,0,317,0,845.6532,2,6,100,d359cc52-668f-485a-99bd-cb741028ac39,845.6532,2023-01-07T15:03:54Z,테이고,1910,1362c42e-89d4-4400-b985-453df073f998,https://telemetry-cdn.pubg.com/bluehole-pubg/steam/2023/01/07/15/37/37d96a01-8ea1-11ed-b651-aa5717d01159-telemetry.json
