dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,3,72.83097,byplayer,0,4,57,0,0,0.0,TYL_xTongzz,account.2ca4569ac4584186bdf9ff9aa1948005,0,3635.7297,0,0.0,0,1050,0,1300.979,4,14,318.6217288970947,TYL,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,f758b571-a8d4-434b-a0fa-6b5745bb4699,"['TYL_xTongzz', 'TYL_SIA', 'TYL_CC108', 'TYL_Jiaoyang']",14,0,2,4935.207495000001,182.86329999999998,941.9094753265381,1042.0
0,0,3,0.0,byplayer,0,3,59,0,0,0.0,TYL_SIA,account.43c63f63e79442929739835d55c7bcfd,0,4238.746,0,0.0,0,1031,0,608.83014,5,14,303.35583877563477,TYL,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,f758b571-a8d4-434b-a0fa-6b5745bb4699,"['TYL_xTongzz', 'TYL_SIA', 'TYL_CC108', 'TYL_Jiaoyang']",14,0,2,4935.207495000001,182.86329999999998,941.9094753265381,1042.0
0,0,3,0.0,byplayer,0,2,58,0,0,0.0,TYL_CC108,account.5c658f4e2c4b497ba4d379e0ff9e0b91,1,4523.6045,0,0.0,0,1035,0,775.23364,4,14,219.9319076538086,TYL,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,f758b571-a8d4-434b-a0fa-6b5745bb4699,"['TYL_xTongzz', 'TYL_SIA', 'TYL_CC108', 'TYL_Jiaoyang']",14,0,2,4935.207495000001,182.86329999999998,941.9094753265381,1042.0
1,1,1,110.03233,byplayer,0,0,56,0,0,0.0,TYL_Jiaoyang,account.bd0f0d40630d421f9904131b4a29b3b2,1,3969.9907,0,0.0,0,1052,0,687.7163,5,14,100.0,TYL,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,f758b571-a8d4-434b-a0fa-6b5745bb4699,"['TYL_xTongzz', 'TYL_SIA', 'TYL_CC108', 'TYL_Jiaoyang']",14,0,2,4935.207495000001,182.86329999999998,941.9094753265381,1042.0
0,2,8,72.81977,byplayer,0,10,60,0,0,0.0,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,0,8005.9795,0,0.0,0,1051,0,716.6359,5,15,97.13019180297852,KDF,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,2e2da269-49f9-4e73-8c2c-0ff14bde96c6,"['KDF_LashK', 'KDF_Hikari', 'KDF_EEND', 'KDF_Akad']",15,3,3,6565.6185399999995,473.23077,415.0760746002197,858.25
0,0,0,0.0,byplayer,0,0,62,0,0,0.0,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,1025.054,0,0.0,0,305,0,272.0109,2,15,100.00000190734863,KDF,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,2e2da269-49f9-4e73-8c2c-0ff14bde96c6,"['KDF_LashK', 'KDF_Hikari', 'KDF_EEND', 'KDF_Akad']",15,3,3,6565.6185399999995,473.23077,415.0760746002197,858.25
3,0,6,234.57497,byplayer,1,17,10,1,3,34.71929,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,6876.31,0,0.0,0,1051,0,893.33026,2,15,127.15585517883301,KDF,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,2e2da269-49f9-4e73-8c2c-0ff14bde96c6,"['KDF_LashK', 'KDF_Hikari', 'KDF_EEND', 'KDF_Akad']",15,3,3,6565.6185399999995,473.23077,415.0760746002197,858.25
1,1,5,165.83603,byzone,0,7,61,0,0,0.0,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,0,7795.9126,0,0.0,0,1026,0,677.241,3,15,90.79002571105957,KDF,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,2e2da269-49f9-4e73-8c2c-0ff14bde96c6,"['KDF_LashK', 'KDF_Hikari', 'KDF_EEND', 'KDF_Akad']",15,3,3,6565.6185399999995,473.23077,415.0760746002197,858.25
0,1,7,163.61742,byplayer,0,2,37,0,0,0.0,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,10421.162,0,0.0,0,1249,0,1385.25,5,6,193.11145401000977,TMA,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,43afdefb-6eea-4bb7-8b1d-8e06b993e496,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",6,4,3,10940.357125,799.5701899999999,809.6432943344116,1293.75
2,0,8,312.6405,byplayer,1,11,13,2,2,122.405655,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,8933.8545,0,0.0,0,1335,0,1457.1978,4,6,148.44443607330322,TMA,002eebc3-dc24-4094-a965-328fbf821cc8,2022-11-08T13:46:07Z,Erangel (Remastered),1728,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/08/14/16/fe1c4dee-5f6f-11ed-a4c3-16512f2173af-telemetry.json,43afdefb-6eea-4bb7-8b1d-8e06b993e496,"['TMA_LuLualways', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112', 'TMA_YUPPIE']",6,4,3,10940.357125,799.5701899999999,809.6432943344116,1293.75
