dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,3,146.88109,byzone,0,6,49,0,0,0.0,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,0,4121.597,0,0,0,1076,0,971.9052,7,12,186.40142822265625,SSG,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,84a9e695-dba9-4efb-ad4f-b68f576ca4c8,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",12,0,0,5396.380225,485.78816000000006,880.0051174163818,1041.5
0,0,3,0.0,byplayer,0,5,52,0,0,0.0,SSG_Roth,account.c502c0615ed54582a75dbd44f3eb1fb6,1,4853.641,0,0,0,986,0,1112.9955,4,12,318.6002197265625,SSG,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,84a9e695-dba9-4efb-ad4f-b68f576ca4c8,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",12,0,0,5396.380225,485.78816000000006,880.0051174163818,1041.5
1,0,2,238.65312,byplayer,0,3,51,0,0,0.0,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,0,4015.864,0,0,0,1034,0,1209.6245,4,12,164.57635498046875,SSG,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,84a9e695-dba9-4efb-ad4f-b68f576ca4c8,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",12,0,0,5396.380225,485.78816000000006,880.0051174163818,1041.5
0,0,2,100.25395,byplayer,0,3,50,0,0,0.0,SSG_oldless,account.895937195477442b85686956ada8cd61,1,4018.6946,0,0,0,1070,0,1281.1991,6,12,210.42711448669434,SSG,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,84a9e695-dba9-4efb-ad4f-b68f576ca4c8,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",12,0,0,5396.380225,485.78816000000006,880.0051174163818,1041.5
5,5,6,650.911,alive,2,4,3,2,4,228.8442,FaZe_Aitzy,account.ef37fe1de31342eda580c3681a8d46cd,1,2013.3042,0,0,0,1926,0,2114.7588,5,1,341.2727208137512,FaZe,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,1c51a796-dcd6-477f-bf52-1a5ca558b6d4,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Fuzzface', 'FaZe_Gustav']",1,13,10,3907.0993750000002,2079.06513,1147.3878254890442,1782.75
2,0,5,189.80452,alive,0,3,15,1,1,169.84206,FaZe_Fexx,account.d2bcd9a691f244fca1f8d1c9ba673c27,0,1859.6746,0,0,0,1353,0,1643.8428,4,1,212.12996864318848,FaZe,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,1c51a796-dcd6-477f-bf52-1a5ca558b6d4,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Fuzzface', 'FaZe_Gustav']",1,13,10,3907.0993750000002,2079.06513,1147.3878254890442,1782.75
2,2,6,473.10425,alive,0,5,2,2,6,235.39674,FaZe_Fuzzface,account.246d74ca95064c81976e9349b8a55925,1,1924.0444,0,0,0,1926,0,2035.8118,4,1,321.2448101043701,FaZe,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,1c51a796-dcd6-477f-bf52-1a5ca558b6d4,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Fuzzface', 'FaZe_Gustav']",1,13,10,3907.0993750000002,2079.06513,1147.3878254890442,1782.75
2,3,6,765.24536,alive,0,4,7,1,2,33.030304,FaZe_Gustav,account.59bf654a2c7d4b37ae1aa2929500ba6a,1,1656.7124,0,0,0,1926,0,2380.2485,6,1,272.7403259277344,FaZe,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,1c51a796-dcd6-477f-bf52-1a5ca558b6d4,"['FaZe_Aitzy', 'FaZe_Fexx', 'FaZe_Fuzzface', 'FaZe_Gustav']",1,13,10,3907.0993750000002,2079.06513,1147.3878254890442,1782.75
0,1,5,41.3919,byplayer,0,4,20,1,1,282.20062,Uniq_Fate,account.0252627356fb431a8c61b805b74d4aea,1,4476.102,0,0,0,1364,0,1000.199,4,7,283.2401008605957,Uniq,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,12f56736-cb74-49e7-90f5-8a02e837d720,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_DaNt3-']",7,2,1,4672.13401,798.38805,903.4049768447876,1358.25
1,0,3,263.57233,byplayer,0,9,21,1,1,338.1969,Uniq_ADOUZ1E,account.be8d87a4cce7403e984a547d9b5145cc,0,3318.0647,0,0,0,1339,1,1086.0654,6,7,274.4254388809204,Uniq,01aa7d55-6b7b-4b53-8452-50f0bc6c9b80,2021-11-19T07:10:18Z,Miramar,1926,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/07/44/814eceaf-490c-11ec-9c21-16512f2173af-telemetry.json,12f56736-cb74-49e7-90f5-8a02e837d720,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_DaNt3-']",7,2,1,4672.13401,798.38805,903.4049768447876,1358.25
