dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,27.72,byplayer,0,0,57,0,0,0.0,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,2088.1533,0,0,0,664,0,724.80194,3,15,100.00000381469727,GBL,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,965afc26-e42d-4a9c-81d1-63b922c5156d,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",15,0,0,2500.1792699999996,171.942768,401.00000381469727,578.25
0,0,1,27.162958,byplayer,0,0,58,0,0,0.0,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,1585.3622,0,0,0,664,0,871.8145,5,15,100.0,GBL,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,965afc26-e42d-4a9c-81d1-63b922c5156d,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",15,0,0,2500.1792699999996,171.942768,401.00000381469727,578.25
0,0,0,117.05981,byplayer,0,0,59,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,2450.9377,0,0,0,664,0,731.7854,7,15,100.0,GBL,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,965afc26-e42d-4a9c-81d1-63b922c5156d,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",15,0,0,2500.1792699999996,171.942768,401.00000381469727,578.25
0,0,1,0.0,byplayer,0,0,60,0,0,0.0,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,1270.7649,0,0,0,321,0,277.09714,2,15,101.0,GBL,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,965afc26-e42d-4a9c-81d1-63b922c5156d,"['GBL_Lambu', 'GBL_Adder', 'GBL_Renba', 'GBL_Spear']",15,0,0,2500.1792699999996,171.942768,401.00000381469727,578.25
0,0,6,24.07823,byzone,0,1,48,0,0,0.0,GEN_Asura,account.f02a466ef52c45d6a8ab6395bd9fbc84,0,3233.3003,0,0,0,1179,0,816.84686,3,11,98.29831504821777,GEN,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,b5658b47-45d5-4394-a2d6-563f2fdd90c2,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",11,2,0,4568.14314,525.675356,568.5185527801514,1197.0
2,0,3,200.0,byplayer,0,1,29,1,1,16.013645,GEN_Pio,account.865f5247057949378fe72926705f3b1b,1,3262.2732,0,0,0,1218,0,1764.3154,6,11,167.0,GEN,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,b5658b47-45d5-4394-a2d6-563f2fdd90c2,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",11,2,0,4568.14314,525.675356,568.5185527801514,1197.0
0,0,5,202.64912,byzone,0,0,49,0,0,0.0,GEN_Inonix,account.b683ba2d6c0b4c728777d62de1aa9cbd,0,3066.9119,0,0,0,1173,0,1662.6003,5,11,124.22023963928223,GEN,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,b5658b47-45d5-4394-a2d6-563f2fdd90c2,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",11,2,0,4568.14314,525.675356,568.5185527801514,1197.0
1,0,5,98.948006,byplayer,0,1,28,1,1,8.072951,GEN_Esther,account.c8fac99383924dbf8da607af31f2a191,1,3366.3787,0,0,0,1218,0,1099.9459,4,11,178.99999809265137,GEN,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,b5658b47-45d5-4394-a2d6-563f2fdd90c2,"['GEN_Asura', 'GEN_Pio', 'GEN_Inonix', 'GEN_Esther']",11,2,0,4568.14314,525.675356,568.5185527801514,1197.0
0,0,0,18.0,byplayer,0,0,36,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,1397.9833,0,0,0,1395,0,1157.6179,3,3,100.0,TSM,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,a2750eac-b833-4047-a57d-611c556b07f6,"['TSM_FTX_penta', 'TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12']",3,5,1,2732.48715,1035.27371,708.6411323547363,1439.25
1,0,2,161.18683,byplayer,1,0,19,1,1,40.707043,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,1816.366,0,0,0,1369,0,951.069,2,3,122.16076850891113,TSM,01b5d309-5d81-441e-ad8e-32f07c6ae63f,2021-12-18T12:53:41Z,Erangel (Remastered),1752,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/13/24/dda334c9-6005-11ec-9c21-16512f2173af-telemetry.json,a2750eac-b833-4047-a57d-611c556b07f6,"['TSM_FTX_penta', 'TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12']",3,5,1,2732.48715,1035.27371,708.6411323547363,1439.25
