dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,4,48.0,byplayer,0,2,55,0,0,0.0,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,6020.725,0,0,0,1044,0,1241.4706,5,14,266.19366455078125,NAVI,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,51ad981e-febc-4113-b11a-4e1fbdef2f8e,"['NAVI_xmpl', 'NAVI_Mellman', 'NAVI_alya', 'NAVI_Qwizzy']",14,1,0,6571.284475,359.75970000000007,919.540922164917,1042.5
1,0,2,157.25943,byplayer,1,4,28,1,1,13.363932,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,4433.623,0,0,0,1044,0,1461.1361,4,14,306.2284107208252,NAVI,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,51ad981e-febc-4113-b11a-4e1fbdef2f8e,"['NAVI_xmpl', 'NAVI_Mellman', 'NAVI_alya', 'NAVI_Qwizzy']",14,1,0,6571.284475,359.75970000000007,919.540922164917,1042.5
0,0,4,57.6,byplayer,0,2,56,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,1,5304.1904,0,0,0,1044,0,1266.2032,4,14,172.49366569519043,NAVI,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,51ad981e-febc-4113-b11a-4e1fbdef2f8e,"['NAVI_xmpl', 'NAVI_Mellman', 'NAVI_alya', 'NAVI_Qwizzy']",14,1,0,6571.284475,359.75970000000007,919.540922164917,1042.5
1,0,3,96.90027,byplayer,0,1,57,0,0,0.0,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,5709.935,0,0,0,1038,0,847.8546,5,14,174.62518119812012,NAVI,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,51ad981e-febc-4113-b11a-4e1fbdef2f8e,"['NAVI_xmpl', 'NAVI_Mellman', 'NAVI_alya', 'NAVI_Qwizzy']",14,1,0,6571.284475,359.75970000000007,919.540922164917,1042.5
0,0,2,99.24849,byplayer,0,0,35,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,7768.96,0,0,0,1209,0,868.32733,3,4,121.16409873962402,MaD,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,4dacfbf3-54e6-4721-afa2-9bdf339efefc,"['MaD_2tap', 'MaD_Lash', 'MaD_DAEVA', 'MaD_EEND']",4,0,0,9937.714282500001,454.3189500000001,741.0745677947998,1469.75
0,0,4,167.98425,byplayer,0,6,33,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,7753.1357,0,0,0,1789,0,1398.8274,5,4,245.5150661468506,MaD,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,4dacfbf3-54e6-4721-afa2-9bdf339efefc,"['MaD_2tap', 'MaD_Lash', 'MaD_DAEVA', 'MaD_EEND']",4,0,0,9937.714282500001,454.3189500000001,741.0745677947998,1469.75
0,0,3,94.24724,byplayer,0,3,34,0,0,0.0,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,9857.947,0,0,0,1679,0,1352.148,5,4,224.37963104248047,MaD,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,4dacfbf3-54e6-4721-afa2-9bdf339efefc,"['MaD_2tap', 'MaD_Lash', 'MaD_DAEVA', 'MaD_EEND']",4,0,0,9937.714282500001,454.3189500000001,741.0745677947998,1469.75
1,0,3,92.83897,byplayer,0,1,36,0,0,0.0,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,9620.636,0,0,0,1202,0,1130.8757,3,4,150.01577186584473,MaD,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,4dacfbf3-54e6-4721-afa2-9bdf339efefc,"['MaD_2tap', 'MaD_Lash', 'MaD_DAEVA', 'MaD_EEND']",4,0,0,9937.714282500001,454.3189500000001,741.0745677947998,1469.75
3,1,5,255.6048,byplayer,0,2,9,1,2,128.00212,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,7747.174,0,0,0,1477,0,2186.932,4,5,270.1760654449463,GBL,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,d945acab-8841-4d23-a723-df3a669148f9,"['GBL_Spear', 'GBL_Lambu', 'GBL_Adder', 'GBL_Renba']",5,5,3,10469.475625,943.817636,1041.327579498291,1366.5
0,1,1,54.942726,byplayer,0,0,38,0,0,0.0,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,8555.227,0,0,0,927,0,891.7125,3,5,101.50250244140625,GBL,066495ac-4f21-478d-834c-5cfd413d8efc,2021-12-12T10:32:47Z,Miramar,1838,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/05/6399ced0-5b3b-11ec-9c21-16512f2173af-telemetry.json,d945acab-8841-4d23-a723-df3a669148f9,"['GBL_Spear', 'GBL_Lambu', 'GBL_Adder', 'GBL_Renba']",5,5,3,10469.475625,943.817636,1041.327579498291,1366.5
