dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,7,445.2865,alive,1,2,11,1,2,135.46352,CES_Taikonn,account.89d7fbb673264d988c0726054fb021a2,0,5735.0645,0,0.0,0,1906,0,2269.3533,3,1,148.4226942062378,CES,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,f8b6e660-9ffd-41a1-92a6-80af1a771edd,"['CES_Taikonn', 'CES_Sololzy', 'CES_HaiSaki', 'CES_Himass']",1,10,5,9071.055624999999,1973.6507100000001,501.10722827911377,1906.0
3,2,3,572.8188,alive,1,1,2,2,4,69.05587,CES_Sololzy,account.00ea83d7b05b405fb7714d20b0d73228,0,6896.088,0,0.0,0,1906,1,2163.1204,2,1,126.23406410217285,CES,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,f8b6e660-9ffd-41a1-92a6-80af1a771edd,"['CES_Taikonn', 'CES_Sololzy', 'CES_HaiSaki', 'CES_Himass']",1,10,5,9071.055624999999,1973.6507100000001,501.10722827911377,1906.0
3,2,6,480.32138,alive,0,0,10,1,2,48.627174,CES_HaiSaki,account.513a778d5f1049be8115ff55a6f6a97b,0,6613.878,0,0.0,0,1906,0,2856.002,3,1,106.97384834289551,CES,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,f8b6e660-9ffd-41a1-92a6-80af1a771edd,"['CES_Taikonn', 'CES_Sololzy', 'CES_HaiSaki', 'CES_Himass']",1,10,5,9071.055624999999,1973.6507100000001,501.10722827911377,1906.0
2,0,3,475.22403,alive,0,2,9,1,2,246.10333,CES_Himass,account.14d7d7472027408faffd2848885ad89e,0,7294.2256,0,0.0,0,1906,0,2456.4907,4,1,119.47662162780762,CES,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,f8b6e660-9ffd-41a1-92a6-80af1a771edd,"['CES_Taikonn', 'CES_Sololzy', 'CES_HaiSaki', 'CES_Himass']",1,10,5,9071.055624999999,1973.6507100000001,501.10722827911377,1906.0
3,2,4,466.71274,byzone,0,3,5,2,3,53.666855,PeRo_Ming,account.d4f5b94cd7d741c7b335cec18968823d,2,5159.2983,0,0.0,0,1906,0,1184.1606,3,2,241.60619735717773,PeRo,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,e25fcf9f-e8b2-47da-bfaf-9f884cf2cf09,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",2,12,7,6681.210349999999,2084.52363,1516.1251440048218,1897.25
4,2,7,890.5051,byplayer,0,8,1,2,7,141.57484,PeRo_Aixleft,account.c3349c1fe89240d38238d7ae69aeeb83,0,4800.3877,0,0.0,0,1906,0,1438.4895,6,2,618.3269300460815,PeRo,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,e25fcf9f-e8b2-47da-bfaf-9f884cf2cf09,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",2,12,7,6681.210349999999,2084.52363,1516.1251440048218,1897.25
2,1,5,273.38672,byplayer,1,7,15,1,1,121.24275,PeRo_Loong,account.8d1dcd08baa44f9785601aceae8d2af9,0,6260.7,0,0.0,0,1906,0,1154.2522,4,2,358.0813808441162,PeRo,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,e25fcf9f-e8b2-47da-bfaf-9f884cf2cf09,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",2,12,7,6681.210349999999,2084.52363,1516.1251440048218,1897.25
2,2,8,453.91907,byplayer,0,5,16,1,1,72.03853,PeRo_Myl,account.baebc89719394339a40b1e72b0c4edd8,1,5535.744,0,0.0,0,1871,0,1191.8091,3,2,298.1106357574463,PeRo,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,e25fcf9f-e8b2-47da-bfaf-9f884cf2cf09,"['PeRo_Ming', 'PeRo_Aixleft', 'PeRo_Loong', 'PeRo_Myl']",2,12,7,6681.210349999999,2084.52363,1516.1251440048218,1897.25
0,0,1,0.0,byplayer,0,1,43,0,0,0.0,GEX_Savior,account.f6fb3fc3906349cbb78ec8c99add3ffe,0,1003.39087,0,0.0,0,1058,0,1098.1833,3,8,120.0,GEX,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,d87acc0e-d31d-4816-a46e-53bfbb7e14e3,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",8,2,1,2523.6849549999997,436.09059,753.6684532165527,1332.5
0,1,3,173.03813,byplayer,0,1,22,1,1,65.81504,GEX_YanLi,account.bd7565e6a9b1444a975c9ce32cd7f8f7,0,1265.7482,0,0.0,0,1375,0,1237.3992,4,8,157.78128814697266,GEX,0713d6cc-b462-4bec-a7f0-75020e820d27,2022-11-14T12:57:23Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/14/13/31/995013e1-6420-11ed-a4c3-16512f2173af-telemetry.json,d87acc0e-d31d-4816-a46e-53bfbb7e14e3,"['GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan', 'GEX_SSR']",8,2,1,2523.6849549999997,436.09059,753.6684532165527,1332.5
