dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,14.247609,byplayer,0,1,39,0,0,0.0,GHD_Sylphyy,account.95521f70cb2045d884acf8d85012f777,0,2367.1455,0,0,0,1366,0,1282.6909,7,7,100.00000190734863,GHD,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,e3c63383-799e-436b-92fd-fde2660a5c56,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",7,0,0,3370.030325,563.040079,704.8811979293823,1366.0
0,0,4,316.7537,byplayer,0,5,40,0,0,0.0,GHD_3007,account.96a87ac362e0466c8d7cd4258dc7f52a,0,2045.348,0,0,0,1366,0,1527.3143,2,7,295.89581966400146,GHD,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,e3c63383-799e-436b-92fd-fde2660a5c56,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",7,0,0,3370.030325,563.040079,704.8811979293823,1366.0
0,0,2,0.0,byplayer,0,0,41,0,0,0.0,GHD_McMoo,account.189a5c3a3ffe4dd0a67b2222b8a09794,0,1978.495,0,0,0,1366,0,1199.2609,7,7,118.0920639038086,GHD,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,e3c63383-799e-436b-92fd-fde2660a5c56,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",7,0,0,3370.030325,563.040079,704.8811979293823,1366.0
0,0,1,232.03877,byplayer,0,1,38,0,0,0.0,GHD_d1sgustingg,account.0744273ef0ad439abd4fe0a99d72f9e9,0,1240.8193,0,0,0,1366,1,1839.0474,5,7,190.89331245422363,GHD,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,e3c63383-799e-436b-92fd-fde2660a5c56,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",7,0,0,3370.030325,563.040079,704.8811979293823,1366.0
1,0,2,100.0,byplayer,1,3,27,1,1,150.42842,PeRo_mingz1,account.a19adf3652f34573a5dd707b9828dae6,0,3356.2197,0,0,0,1091,0,1014.43506,6,12,274.4138870239258,PeRo,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,8c0ab065-ea72-47f6-a5fd-e54466b3c4fb,"['PeRo_mingz1', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_Myl']",12,2,0,4471.303165,415.82167400000003,655.8461055755615,1118.0
0,0,7,73.9543,byplayer,0,3,52,0,0,0.0,PeRo_Aixleft,account.5f204ec2d736445490ccc3a43fae700e,0,4198.963,0,0,0,1103,0,1179.1207,5,12,170.77960395812988,PeRo,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,8c0ab065-ea72-47f6-a5fd-e54466b3c4fb,"['PeRo_mingz1', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_Myl']",12,2,0,4471.303165,415.82167400000003,655.8461055755615,1118.0
0,0,1,139.03754,byplayer,0,1,53,0,0,0.0,PeRo_Mamu,account.4b6cdac82d4846d4a160ee7e54bf38e5,0,2261.7014,0,0,0,1094,0,868.7469,4,12,140.00000190734863,PeRo,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,8c0ab065-ea72-47f6-a5fd-e54466b3c4fb,"['PeRo_mingz1', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_Myl']",12,2,0,4471.303165,415.82167400000003,655.8461055755615,1118.0
0,0,8,102.829834,byzone,0,5,26,1,1,197.37047,PeRo_Myl,account.c12ed0be526b463ca97ceb41b0cbbfe5,2,3812.6118,0,0,0,1184,0,1193.4141,4,12,70.65261268615723,PeRo,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,8c0ab065-ea72-47f6-a5fd-e54466b3c4fb,"['PeRo_mingz1', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_Myl']",12,2,0,4471.303165,415.82167400000003,655.8461055755615,1118.0
0,0,2,223.88641,byplayer,0,2,22,1,1,15.704338,OATH_Snakers,account.3800d26a9ac74bb8b2e7d7fdbebaed03,1,5681.466,0,0,0,1352,0,1355.7036,3,8,185.05333995819092,OATH,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,67e4bfe7-aaf8-47f7-883a-2cbc4462f1de,"['OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost', 'OATH_Kickstart']",8,2,1,7389.138875000001,880.11231,747.8263578414917,1334.5
0,0,4,148.8,byplayer,0,2,23,1,1,570.49097,OATH_Relo,account.cb334240502a4efab3ccb6dd49643ffd,0,6022.038,0,0,0,1282,0,1182.3337,4,8,191.13878631591797,OATH,0732879f-94cd-4694-82ee-08af10e4b0ce,2021-11-19T11:41:34Z,Erangel (Remastered),1792,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/12/13/16fcc53b-4932-11ec-9c21-16512f2173af-telemetry.json,67e4bfe7-aaf8-47f7-883a-2cbc4462f1de,"['OATH_Snakers', 'OATH_Relo', 'OATH_Balefrost', 'OATH_Kickstart']",8,2,1,7389.138875000001,880.11231,747.8263578414917,1334.5
