dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,0,52.195774,byplayer,0,0,35,0,0,0.0,LG_luke12,account.8ae837dec088424cb6144ab44956525d,0,6219.391,0,0,0,1103,0,787.43524,7,4,100.0,LG,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,e89b7140-8f8b-4519-802c-0c7c31dfa90a,"['LG_luke12', 'LG_alow', 'LG_PurdyKurty', 'LG_PENTA']",4,2,6,6787.44686,1157.918654,1221.2628269195557,1527.5
2,0,6,412.98303,byplayer,1,6,9,1,2,246.5886,LG_alow,account.516a7aa3762b4d199819d03232db9e37,0,6063.203,0,0,0,1673,1,1586.5676,4,4,472.6888179779053,LG,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,e89b7140-8f8b-4519-802c-0c7c31dfa90a,"['LG_luke12', 'LG_alow', 'LG_PurdyKurty', 'LG_PENTA']",4,2,6,6787.44686,1157.918654,1221.2628269195557,1527.5
2,3,7,355.9232,byzone,0,8,34,0,0,0.0,LG_PurdyKurty,account.e8720c6ce0874882ac5ef30d8f1d1cfb,0,4496.4023,0,0,0,1661,0,1933.9125,6,4,387.8124780654907,LG,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,e89b7140-8f8b-4519-802c-0c7c31dfa90a,"['LG_luke12', 'LG_alow', 'LG_PurdyKurty', 'LG_PENTA']",4,2,6,6787.44686,1157.918654,1221.2628269195557,1527.5
3,2,5,336.81665,byplayer,0,4,33,0,0,0.0,LG_PENTA,account.a6039fbd79e94d428b649a60e1028611,0,4596.7017,0,0,0,1673,0,1466.1741,3,4,260.76153087615967,LG,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,e89b7140-8f8b-4519-802c-0c7c31dfa90a,"['LG_luke12', 'LG_alow', 'LG_PurdyKurty', 'LG_PENTA']",4,2,6,6787.44686,1157.918654,1221.2628269195557,1527.5
0,0,4,275.62396,byplayer,0,4,38,0,0,0.0,GEN_Renba,account.9421bafc6f134a5c957c20416fa4587a,0,9243.6045,0,0,0,1428,0,1313.8531,6,7,341.33494758605957,GEN,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0fa39a54-0a00-4b2f-9575-47f2797ece99,"['GEN_Renba', 'GEN_Asura', 'GEN_Adder', 'GEN_Inonix']",7,3,0,9617.786199999999,553.29624,735.1883087158203,1300.25
0,0,4,128.07246,byplayer,0,2,19,1,1,114.231926,GEN_Asura,account.0f3f4c9fbea048fd820056e5adceb6ea,1,7616.1157,0,0,0,1492,0,2255.7783,6,7,150.00460052490234,GEN,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0fa39a54-0a00-4b2f-9575-47f2797ece99,"['GEN_Renba', 'GEN_Asura', 'GEN_Adder', 'GEN_Inonix']",7,3,0,9617.786199999999,553.29624,735.1883087158203,1300.25
1,0,3,77.0,byplayer,1,1,20,1,1,106.12529,GEN_Adder,account.e62939f355d84da3a1942490dea87391,0,8288.55,0,0,0,1412,0,1970.6647,4,7,189.20706367492676,GEN,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0fa39a54-0a00-4b2f-9575-47f2797ece99,"['GEN_Renba', 'GEN_Asura', 'GEN_Adder', 'GEN_Inonix']",7,3,0,9617.786199999999,553.29624,735.1883087158203,1300.25
1,0,2,72.59982,suicide,1,0,21,1,1,41.625282,GEN_Inonix,account.6cf349c029a241b4ab975ed390eff921,0,6868.804,0,0,0,869,0,913.7745,5,7,54.64169692993164,GEN,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0fa39a54-0a00-4b2f-9575-47f2797ece99,"['GEN_Renba', 'GEN_Asura', 'GEN_Adder', 'GEN_Inonix']",7,3,0,9617.786199999999,553.29624,735.1883087158203,1300.25
1,0,0,154.42073,byplayer,0,0,66,0,0,0.0,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,0,2229.9534,0,0,0,475,0,314.6519,4,16,100.0,TMA,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0b1ebf55-150c-4bc0-a544-8e3d5857f024,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx']",16,0,0,2155.6230025,320.18752,523.9615516662598,479.0
0,0,1,54.33975,byplayer,0,0,64,0,0,0.0,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,1851.6742,0,0,0,483,0,501.94394,4,16,103.99999809265137,TMA,078f35bb-864a-4199-ae1e-577ee92eda59,2022-11-07T15:44:38Z,Miramar,1830,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/07/16/17/a09e38fb-5eb7-11ed-a4c3-16512f2173af-telemetry.json,0b1ebf55-150c-4bc0-a544-8e3d5857f024,"['TMA_CRAZY112', 'TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx']",16,0,0,2155.6230025,320.18752,523.9615516662598,479.0
