dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,34,0,0,0.0,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,0,578.4051,0,0,0,344,0,278.21246,4,2,100.00000381469727,KPI,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,bf573f3b-1c09-4668-9972-9dc638e7ce2a,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",2,4,2,3265.12914,1078.38409,1024.3173484802246,1392.0
1,1,8,410.8506,byplayer,0,5,12,1,2,358.8256,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,0,1866.4794,0,0,0,1919,1,1945.5822,4,2,375.3940715789795,KPI,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,bf573f3b-1c09-4668-9972-9dc638e7ce2a,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",2,4,2,3265.12914,1078.38409,1024.3173484802246,1392.0
0,1,5,128.31679,byplayer,0,2,33,0,0,0.0,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,0,1649.7269,0,0,0,1386,0,1254.3918,2,2,163.84178733825684,KPI,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,bf573f3b-1c09-4668-9972-9dc638e7ce2a,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",2,4,2,3265.12914,1078.38409,1024.3173484802246,1392.0
2,0,10,539.2167,byplayer,0,6,11,1,2,30.91946,KPI_SzylzEN,account.934939055fa541f2a18383a0908166ee,0,2641.5781,0,0,0,1919,1,2846.1406,4,2,385.081485748291,KPI,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,bf573f3b-1c09-4668-9972-9dc638e7ce2a,"['KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN']",2,4,2,3265.12914,1078.38409,1024.3173484802246,1392.0
1,2,1,276.7228,byplayer,0,2,19,1,1,68.3598,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,1965.647,0,0,0,1484,0,1007.0912,3,5,143.0,TSM,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,7cd446ea-a615-480d-8b74-fc76f2c31cb2,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",5,3,4,3546.3175250000004,1250.6404400000001,704.2103614807129,1471.0
1,1,3,553.0383,byplayer,0,3,37,0,0,0.0,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,1931.754,0,0,0,1484,0,1199.6566,3,5,255.77499771118164,TSM,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,7cd446ea-a615-480d-8b74-fc76f2c31cb2,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",5,3,4,3546.3175250000004,1250.6404400000001,704.2103614807129,1471.0
2,1,0,234.90482,byplayer,0,0,20,1,1,55.197,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,3110.626,0,0,0,1484,1,1420.4988,7,5,100.0,TSM,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,7cd446ea-a615-480d-8b74-fc76f2c31cb2,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",5,3,4,3546.3175250000004,1250.6404400000001,704.2103614807129,1471.0
1,0,5,185.97452,byplayer,0,7,21,1,1,197.45552,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,2612.6968,0,0,0,1432,0,937.2997,7,5,205.43536376953125,TSM,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,7cd446ea-a615-480d-8b74-fc76f2c31cb2,"['TSM_FTX_ALOW', 'TSM_FTX_luke12', 'TSM_FTX_Purdy', 'TSM_FTX_penta']",5,3,4,3546.3175250000004,1250.6404400000001,704.2103614807129,1471.0
0,0,5,0.0,suicide,0,3,61,0,0,0.0,PeRo_Myl,account.71942085e3fd42299d2db6324ab0853a,0,9659.668,0,0,0,1083,1,772.00366,6,15,73.1479721069336,PeRo,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,f7d3028f-e333-4cdf-81fd-17b40471fa58,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Mamu']",15,1,0,10195.7077825,135.28,541.4691858291626,1055.0
1,0,4,135.28,byplayer,1,6,28,1,1,27.711224,PeRo_Aixleft,account.07163e02f10144a0b113a2b86e47bf53,0,9471.4,0,0,1,1112,0,1008.9386,5,15,96.2699966430664,PeRo,0946b9d3-28fe-47dc-9b14-4960199695fb,2021-11-30T13:02:28Z,Erangel (Remastered),1919,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/13/36/7f7cfad8-51e2-11ec-9c21-16512f2173af-telemetry.json,f7d3028f-e333-4cdf-81fd-17b40471fa58,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_mingz1', 'PeRo_Mamu']",15,1,0,10195.7077825,135.28,541.4691858291626,1055.0
