dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,4,132.84985,byplayer,0,1,31,1,1,25.295979,OATH_Balefrost,account.039c6519067b474a948c19655de4e683,0,5324.056,0,0,0,919,1,663.31287,4,15,90.99999618530273,OATH,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,54a0d1de-a549-4515-a9e5-95990a14a0e7,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Kickstart', 'OATH_Relo']",15,1,1,5977.1129925,454.65336,502.71434020996094,916.5
0,0,2,148.7738,byplayer,0,2,60,0,0,0.0,OATH_Snakers,account.924bf338d8fc4b5abb0bef29b622e9bb,1,5730.831,0,0,0,919,0,583.33923,6,15,190.3885555267334,OATH,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,54a0d1de-a549-4515-a9e5-95990a14a0e7,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Kickstart', 'OATH_Relo']",15,1,1,5977.1129925,454.65336,502.71434020996094,916.5
0,1,1,173.02971,byplayer,0,0,61,0,0,0.0,OATH_Kickstart,account.b7f55e9dddd84613863c6dd68aa9e415,0,5429.037,0,0,0,909,0,708.1715,5,15,99.99999618530273,OATH,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,54a0d1de-a549-4515-a9e5-95990a14a0e7,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Kickstart', 'OATH_Relo']",15,1,1,5977.1129925,454.65336,502.71434020996094,916.5
1,0,2,0.0,byplayer,0,0,59,0,0,0.0,OATH_Relo,account.a7e8f8f134334a6d933ee99183e3251f,1,4880.889,0,0,0,919,0,588.81537,4,15,121.32579231262207,OATH,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,54a0d1de-a549-4515-a9e5-95990a14a0e7,"['OATH_Balefrost', 'OATH_Snakers', 'OATH_Kickstart', 'OATH_Relo']",15,1,1,5977.1129925,454.65336,502.71434020996094,916.5
0,0,4,0.0,byplayer,0,2,52,0,0,0.0,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,2252.9702,0,0,0,735,0,624.0956,5,11,203.78154373168945,TL,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,00602314-2ff4-4ed2-8d11-6fa90fe66072,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",11,0,0,4495.664985,171.510243,1147.799669265747,1065.0
0,0,7,62.455437,byplayer,0,7,49,0,0,0.0,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,1,3373.0098,0,0,0,1240,0,1395.2305,7,11,437.804723739624,TL,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,00602314-2ff4-4ed2-8d11-6fa90fe66072,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",11,0,0,4495.664985,171.510243,1147.799669265747,1065.0
0,0,2,35.180676,byplayer,0,0,51,0,0,0.0,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,0,3555.377,0,0,0,1083,0,911.1321,5,11,109.77409934997559,TL,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,00602314-2ff4-4ed2-8d11-6fa90fe66072,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",11,0,0,4495.664985,171.510243,1147.799669265747,1065.0
0,0,3,73.87413,byplayer,0,8,50,0,0,0.0,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,4999.7505,0,0,0,1202,0,871.09424,4,11,396.439302444458,TL,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,00602314-2ff4-4ed2-8d11-6fa90fe66072,"['TL_jeemzz', 'TL_ibiza', 'TL_mxey', 'TL_clib']",11,0,0,4495.664985,171.510243,1147.799669265747,1065.0
0,0,2,65.521225,byplayer,0,3,56,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,1,10351.573,0,0,0,949,0,567.9214,4,14,100.0,SSG,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,ff81f0aa-1e59-4c29-9a23-2edec47f2a86,"['SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Keenan']",14,1,1,5951.89445,428.391135,617.3334274291992,695.5
0,0,3,42.98845,byplayer,0,2,57,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,7749.984,0,0,0,949,0,1130.1158,4,14,244.7087516784668,SSG,094d287f-5722-4edc-960b-794f1dd17a89,2021-11-27T13:07:46Z,Miramar,1771,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/27/13/39/66640fe7-4f87-11ec-9c21-16512f2173af-telemetry.json,ff81f0aa-1e59-4c29-9a23-2edec47f2a86,"['SSG_Roth', 'SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Keenan']",14,1,1,5951.89445,428.391135,617.3334274291992,695.5
