dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,110.04,byplayer,0,1,54,0,0,0.0,GEX_SSR,account.c0be64cb026840fb889d8379db595137,0,5888.3364,0,0,0,1135,0,584.77167,5,10,172.7157154083252,GEX,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,293f1ec6-b85c-4277-b5c0-8dde06e74ceb,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",10,4,0,5809.13257,641.99101,633.2636489868164,1025.75
0,0,1,160.74007,byplayer,0,2,53,0,0,0.0,GEX_Savior,account.1dc0c7a27efc493faa95756f9a6edd62,0,5435.145,0,0,0,1172,0,453.25977,4,10,209.81862831115723,GEX,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,293f1ec6-b85c-4277-b5c0-8dde06e74ceb,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",10,4,0,5809.13257,641.99101,633.2636489868164,1025.75
0,0,0,0.0,byplayer,0,0,55,0,0,0.0,GEX_ZhenNan,account.b717819ba2e5433f9ab7a6e5f81acc8a,0,4967.08,0,0,0,632,0,436.30374,2,10,100.0,GEX,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,293f1ec6-b85c-4277-b5c0-8dde06e74ceb,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",10,4,0,5809.13257,641.99101,633.2636489868164,1025.75
4,0,0,371.21094,byplayer,1,1,3,4,4,32.752945,GEX_YanLi,account.ee73e473245c46ffb8a4bee958b03b8e,0,4954.9546,0,0,0,1164,0,516.6791,5,10,150.72930526733398,GEX,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,293f1ec6-b85c-4277-b5c0-8dde06e74ceb,"['GEX_SSR', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_YanLi']",10,4,0,5809.13257,641.99101,633.2636489868164,1025.75
0,0,2,77.616,byzone,0,0,51,0,0,0.0,GNL_Americano,account.5df68cafc1d944daa51bd220f684a168,1,3839.4226,0,0,0,1289,0,1744.3091,2,9,137.0,GNL,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,2d3d5f70-ba0e-4aa7-a5f3-7a43e3ba6193,"['GNL_Americano', 'GNL_Corn', 'GNL_Tosi', 'GNL_Heaven']",9,2,0,4968.3349925,366.50519,717.3724880218506,1284.25
1,0,2,183.66653,byzone,1,0,26,1,1,65.97336,GNL_Corn,account.1c007691fd9f42d3b22bf5ad4b0cd8f6,0,3697.1453,0,0,0,1295,0,1432.9855,4,9,122.87870216369629,GNL,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,2d3d5f70-ba0e-4aa7-a5f3-7a43e3ba6193,"['GNL_Americano', 'GNL_Corn', 'GNL_Tosi', 'GNL_Heaven']",9,2,0,4968.3349925,366.50519,717.3724880218506,1284.25
0,0,2,0.0,byplayer,0,1,52,0,0,0.0,GNL_Tosi,account.752a8be90aec46828a621bebcf9669ea,0,3150.5532,0,0,0,1268,0,934.00397,4,9,199.6985626220703,GNL,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,2d3d5f70-ba0e-4aa7-a5f3-7a43e3ba6193,"['GNL_Americano', 'GNL_Corn', 'GNL_Tosi', 'GNL_Heaven']",9,2,0,4968.3349925,366.50519,717.3724880218506,1284.25
1,0,3,105.22266,suicide,1,3,27,1,1,218.90276,GNL_Heaven,account.476a6cba0328434ab992afec9a75020a,0,3356.372,0,0,0,1285,0,1718.5483,5,9,257.795223236084,GNL,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,2d3d5f70-ba0e-4aa7-a5f3-7a43e3ba6193,"['GNL_Americano', 'GNL_Corn', 'GNL_Tosi', 'GNL_Heaven']",9,2,0,4968.3349925,366.50519,717.3724880218506,1284.25
0,0,3,81.8784,byplayer,0,2,74,0,0,0.0,SQ_TGLTN,account.a17564c94e364bae8c380cb1e7ffd291,0,0.0,0,0,0,509,0,111.9014,2,16,144.05497312545776,SQ,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,85a4e8ae-46c8-436e-a721-526d458e68ee,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy']",16,0,0,203.74122,321.39151000000004,517.0549664497375,515.0
1,0,0,147.11311,byplayer,0,0,73,0,0,0.0,SQ_hwinn,account.341678405c804c6784067c59876331c9,0,0.0,0,0,0,513,0,167.25812,3,16,99.9999942779541,SQ,0b8e2f69-8310-471d-81ac-6d934c614d6e,2021-11-19T11:01:41Z,Erangel (Remastered),1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/11/33/7acc2b32-492c-11ec-9c21-16512f2173af-telemetry.json,85a4e8ae-46c8-436e-a721-526d458e68ee,"['SQ_TGLTN', 'SQ_hwinn', 'SQ_M1ME', 'SQ_Shrimzy']",16,0,0,203.74122,321.39151000000004,517.0549664497375,515.0
