dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,5,100.0,byplayer,0,11,31,1,1,127.29636,Uniq_Fate,account.0252627356fb431a8c61b805b74d4aea,0,9496.074,0,0,0,1178,0,781.24786,5,12,126.86313819885254,Uniq,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,381705ba-61de-41fa-943d-1c415e690349,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",12,2,0,11090.9678675,319.22893999999997,603.5478248596191,1182.25
1,0,4,100.0,byplayer,0,9,32,1,1,65.47563,Uniq_ADOUZ1E,account.be8d87a4cce7403e984a547d9b5145cc,0,11435.84,0,0,0,1131,0,535.74054,7,12,101.0,Uniq,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,381705ba-61de-41fa-943d-1c415e690349,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",12,2,0,11090.9678675,319.22893999999997,603.5478248596191,1182.25
0,0,3,0.0,byplayer,0,10,54,0,0,0.0,Uniq_DaNt3-,account.3c931b793cda4598b8aeb46b4d9c06de,0,10790.637,0,0,0,1157,0,843.6841,4,12,187.5799961090088,Uniq,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,381705ba-61de-41fa-943d-1c415e690349,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",12,2,0,11090.9678675,319.22893999999997,603.5478248596191,1182.25
0,0,5,119.22894,byplayer,0,12,53,0,0,0.0,Uniq_Faultlessly,account.4f7424efc4fe4a2589de10dccdc3686d,0,9716.532,0,0,0,1263,0,764.11597,4,12,188.1046905517578,Uniq,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,381705ba-61de-41fa-943d-1c415e690349,"['Uniq_Fate', 'Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly']",12,2,0,11090.9678675,319.22893999999997,603.5478248596191,1182.25
0,0,0,53.579998,byplayer,0,0,52,0,0,0.0,DNW_Rex,account.4336aa6b8f9d41c28a7d83d72eff2d3e,0,2354.0251,0,0,0,997,0,651.719,6,11,100.0,DNW,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,4458ae5e-9b43-4d06-9914-d252bf69ab0e,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",11,2,0,4285.351250000001,565.747848,549.5187950134277,1195.0
1,0,6,236.55075,byzone,0,1,30,1,1,19.137411,DNW_LeClo,account.e04c4433a4e14194b51728d152965c68,0,3567.8032,0,0,0,1305,0,1821.1929,5,11,161.5969944000244,DNW,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,4458ae5e-9b43-4d06-9914-d252bf69ab0e,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",11,2,0,4285.351250000001,565.747848,549.5187950134277,1195.0
0,0,2,0.0,byplayer,0,0,51,0,0,0.0,DNW_Salute,account.3d7e95d657224d499002005339c703fb,0,3283.1943,0,0,0,1172,0,1239.1193,5,11,116.99999618530273,DNW,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,4458ae5e-9b43-4d06-9914-d252bf69ab0e,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",11,2,0,4285.351250000001,565.747848,549.5187950134277,1195.0
2,0,7,275.6171,byplayer,0,4,29,1,1,14.4985075,DNW_seoul,account.012c6687be0e4720914de28135c398b2,0,2485.5024,0,0,0,1306,0,1738.8488,5,11,170.9218044281006,DNW,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,4458ae5e-9b43-4d06-9914-d252bf69ab0e,"['DNW_Rex', 'DNW_LeClo', 'DNW_Salute', 'DNW_seoul']",11,2,0,4285.351250000001,565.747848,549.5187950134277,1195.0
4,0,5,419.53915,byplayer,0,6,6,1,3,158.18027,SSG_oldless,account.895937195477442b85686956ada8cd61,1,3557.8752,0,0,0,1350,0,1504.5459,5,9,315.0438985824585,SSG,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,5426a15d-6c46-41ee-9d3d-7b1e9be88cd4,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",9,6,4,5065.37925,1149.30505,838.0842571258545,1292.5
0,1,0,286.7186,byplayer,0,0,49,0,0,0.0,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,0,3868.1335,0,0,0,1287,0,1510.4581,4,9,100.00000190734863,SSG,0c0abaf7-e5fd-44eb-95da-5c518ee866be,2021-11-21T09:53:52Z,Erangel (Remastered),1794,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/10/25/60518fc1-4ab5-11ec-9c21-16512f2173af-telemetry.json,5426a15d-6c46-41ee-9d3d-7b1e9be88cd4,"['SSG_oldless', 'SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan']",9,6,4,5065.37925,1149.30505,838.0842571258545,1292.5
