dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,6,271.19263,byplayer,0,14,21,1,1,10.404981,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,2,3219.472,0,0,0,1684,0,1623.154,6,6,509.3468551635742,NAVI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,6a04c276-baab-4203-8d50-9f48ba64278e,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",6,5,1,4200.53276,1176.39482,1176.0173816680908,1565.0
1,0,1,395.13632,byplayer,1,2,9,1,2,85.34723,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,1828.0475,0,0,0,1669,0,1346.2358,4,6,290.6249542236328,NAVI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,6a04c276-baab-4203-8d50-9f48ba64278e,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",6,5,1,4200.53276,1176.39482,1176.0173816680908,1565.0
0,0,1,191.17805,byplayer,0,0,43,0,0,0.0,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,3169.2932,0,0,0,1222,0,869.93024,3,6,124.5285758972168,NAVI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,6a04c276-baab-4203-8d50-9f48ba64278e,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",6,5,1,4200.53276,1176.39482,1176.0173816680908,1565.0
3,1,4,318.88782,byplayer,0,5,8,1,2,73.09751,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,3452.6594,1,0,1,1685,0,1293.3389,6,6,251.516996383667,NAVI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,6a04c276-baab-4203-8d50-9f48ba64278e,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",6,5,1,4200.53276,1176.39482,1176.0173816680908,1565.0
1,0,5,375.68115,byplayer,0,7,42,0,0,0.0,KPI_SzylzEN,account.934939055fa541f2a18383a0908166ee,0,4333.61,0,0,0,1745,0,1992.1869,7,5,469.411226272583,KPI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,f3dae190-eb9b-4400-8601-6c116c460aac,"['KPI_SzylzEN', 'KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG']",5,3,1,6262.596449999999,1607.4691300000002,1859.6899938583374,1742.75
2,0,7,474.20898,byplayer,0,3,20,1,1,17.791674,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,0,4826.3193,0,0,0,1736,0,2040.4642,5,5,374.90128326416016,KPI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,f3dae190-eb9b-4400-8601-6c116c460aac,"['KPI_SzylzEN', 'KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG']",5,3,1,6262.596449999999,1607.4691300000002,1859.6899938583374,1742.75
1,1,6,250.6119,byplayer,1,6,18,1,1,85.29133,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,2,4172.797,0,0,0,1745,0,1425.2814,5,5,405.01798820495605,KPI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,f3dae190-eb9b-4400-8601-6c116c460aac,"['KPI_SzylzEN', 'KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG']",5,3,1,6262.596449999999,1607.4691300000002,1859.6899938583374,1742.75
0,0,10,506.9671,byplayer,0,9,19,1,1,7.139668,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,1,4704.543,0,0,0,1745,1,1555.184,4,5,610.3594961166382,KPI,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,f3dae190-eb9b-4400-8601-6c116c460aac,"['KPI_SzylzEN', 'KPI_Capitan', 'KPI_Em1hh', 'KPI_Dr4FTk1NG']",5,3,1,6262.596449999999,1607.4691300000002,1859.6899938583374,1742.75
0,0,2,0.0,byplayer,0,0,58,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,5425.185,0,0,0,1092,0,902.55164,6,13,99.99999809265137,ENCE,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,e1db08eb-8f55-4367-8829-bb5eca47ee8e,"['ENCE_D1gg3r1', 'ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu']",13,1,0,6216.187260000001,252.7158,503.01681900024414,1138.25
0,0,0,28.7516,byplayer,0,0,57,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,4847.938,0,0,0,1104,0,1100.8032,4,13,100.00000190734863,ENCE,10f915a3-2101-4b15-9b10-1c495fb4a972,2021-11-24T09:58:01Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/24/10/31/b0e005fc-4d11-11ec-9c21-16512f2173af-telemetry.json,e1db08eb-8f55-4367-8829-bb5eca47ee8e,"['ENCE_D1gg3r1', 'ENCE_Rustanmar', 'ENCE_SKUIJKE', 'ENCE_Tiikzu']",13,1,0,6216.187260000001,252.7158,503.01681900024414,1138.25
