dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,49.92559,byplayer,0,0,44,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,9966.955,0,0.0,0,1103,0,911.53143,6,7,100.0,TSM,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,33a8f3d1-32f3-4358-a789-eaf88d7be5b6,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_luke12']",7,7,3,11152.5897225,1063.3429,828.4043273925781,1263.75
1,2,2,342.93005,suicide,0,4,21,1,1,137.24066,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,8399.721,0,0.0,0,1326,1,1977.4336,8,7,124.88504028320312,TSM,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,33a8f3d1-32f3-4358-a789-eaf88d7be5b6,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_luke12']",7,7,3,11152.5897225,1063.3429,828.4043273925781,1263.75
2,0,3,253.08083,byplayer,1,2,3,1,4,322.42026,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,1,10754.822,0,0.0,0,1300,0,1141.7712,3,7,245.52016639709473,TSM,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,33a8f3d1-32f3-4358-a789-eaf88d7be5b6,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_luke12']",7,7,3,11152.5897225,1063.3429,828.4043273925781,1263.75
2,1,4,417.40643,byplayer,0,4,10,2,2,84.00009,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,10482.048,0,0.0,0,1326,0,976.07666,3,7,357.9991207122803,TSM,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,33a8f3d1-32f3-4358-a789-eaf88d7be5b6,"['TSM_FTX_penta', 'TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_luke12']",7,7,3,11152.5897225,1063.3429,828.4043273925781,1263.75
1,0,3,99.99999,byplayer,1,8,24,1,1,160.20203,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,1,4796.619,0,0.0,0,1264,0,1274.5448,4,9,274.5597400665283,Uniq,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,727ccba7-9c9e-439b-a478-68ec47eb69bd,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate']",9,4,2,6197.2865575,484.712855,910.752010345459,1263.0
2,0,4,102.142395,byplayer,0,2,11,1,2,26.32105,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,0,5643.634,0,0.0,0,1260,0,547.24493,4,9,242.9878387451172,Uniq,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,727ccba7-9c9e-439b-a478-68ec47eb69bd,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate']",9,4,2,6197.2865575,484.712855,910.752010345459,1263.0
0,1,5,0.0,byplayer,0,0,47,0,0,0.0,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,1,5163.5913,0,0.0,0,1264,0,1132.6833,6,9,100.9999942779541,Uniq,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,727ccba7-9c9e-439b-a478-68ec47eb69bd,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate']",9,4,2,6197.2865575,484.712855,910.752010345459,1263.0
3,1,3,282.57047,byplayer,0,7,25,1,1,21.701689,Uniq_Fate,account.053a51017bc94630b29b49ea3ca53945,1,5092.7305,0,0.0,0,1264,0,1138.0984,6,9,292.2044372558594,Uniq,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,727ccba7-9c9e-439b-a478-68ec47eb69bd,"['Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_ADOUZ1E', 'Uniq_Fate']",9,4,2,6197.2865575,484.712855,910.752010345459,1263.0
0,0,2,252.9201,byplayer,0,1,51,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,6220.8755,0,0.0,0,1148,0,802.9168,5,13,137.20302200317383,SSG,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,7bf4fb19-e55a-45c4-97ab-457a5ac1317f,"['SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless']",13,0,0,7340.365444999999,538.6730620000001,511.9804391860962,1134.25
1,0,0,226.8972,byplayer,0,1,52,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,8105.32,0,0.0,0,1148,0,776.44946,2,13,162.0,SSG,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,7bf4fb19-e55a-45c4-97ab-457a5ac1317f,"['SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless']",13,0,0,7340.365444999999,538.6730620000001,511.9804391860962,1134.25
0,0,0,37.8733,byplayer,0,0,53,0,0,0.0,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,5887.123,0,0.0,0,1121,0,779.37085,5,13,100.0,SSG,1304dc2f-cb8c-4452-80b5-a90dca2d3364,2021-12-01T12:35:34Z,Erangel (Remastered),1658,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/05/4d2b4b01-52a7-11ec-9c21-16512f2173af-telemetry.json,7bf4fb19-e55a-45c4-97ab-457a5ac1317f,"['SSG_Keenan', 'SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless']",13,0,0,7340.365444999999,538.6730620000001,511.9804391860962,1134.25
