dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,3,3,737.8371,suicide,0,3,4,2,4,147.92996,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,1957.6221,0,0,0,1972,0,1891.6971,7,2,162.83551025390625,NH,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,02202f40-847c-42e6-ac63-0363d0ac5f44,"['NH_HSmm', 'NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn']",2,16,9,3166.445585,2073.50981,949.9205474853516,1739.0
1,0,4,291.67776,byplayer,1,1,9,1,2,159.4658,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,1326.8174,0,0,0,1492,0,1780.404,4,2,213.93218803405762,NH,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,02202f40-847c-42e6-ac63-0363d0ac5f44,"['NH_HSmm', 'NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn']",2,16,9,3166.445585,2073.50981,949.9205474853516,1739.0
4,3,5,514.3531,byzone,0,4,2,2,5,214.96262,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,1102.1354,0,0,0,1566,0,1773.2238,5,2,217.2124729156494,NH,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,02202f40-847c-42e6-ac63-0363d0ac5f44,"['NH_HSmm', 'NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn']",2,16,9,3166.445585,2073.50981,949.9205474853516,1739.0
2,3,4,529.64185,byzone,0,8,1,1,5,223.13426,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,746.08374,0,0,0,1926,0,2087.7988,5,2,355.9403762817383,NH,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,02202f40-847c-42e6-ac63-0363d0ac5f44,"['NH_HSmm', 'NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn']",2,16,9,3166.445585,2073.50981,949.9205474853516,1739.0
1,1,2,284.86755,byplayer,0,2,54,0,0,0.0,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,2867.1375,0,0,0,1222,0,1439.9794,7,13,203.77766609191895,BBL,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,cf223885-814e-41e4-9af8-4abc23e6e077,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",13,1,1,3156.7104949999994,560.444676,723.305513381958,1011.0
1,0,1,199.9198,byplayer,0,0,55,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,1,2249.0908,0,0,0,1218,0,938.091,6,13,131.697416305542,BBL,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,cf223885-814e-41e4-9af8-4abc23e6e077,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",13,1,1,3156.7104949999994,560.444676,723.305513381958,1011.0
0,0,1,0.0,byplayer,0,1,56,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,1263.4031,0,0,0,366,0,287.55862,4,13,86.0,BBL,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,cf223885-814e-41e4-9af8-4abc23e6e077,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",13,1,1,3156.7104949999994,560.444676,723.305513381958,1011.0
1,0,3,75.657326,suicide,0,3,29,1,1,79.85985,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,2590.774,0,0,0,1238,2,990.80756,7,13,301.83043098449707,BBL,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,cf223885-814e-41e4-9af8-4abc23e6e077,"['BBL_Smash', 'BBL_mert', 'BBL_Mitraleius', 'BBL_CodeMarco']",13,1,1,3156.7104949999994,560.444676,723.305513381958,1011.0
1,0,4,63.662415,byplayer,0,12,60,0,0,0.0,BRU_Noardra,account.04397540df064bd4a28cafd142d5d5db,0,1965.3499,0,0,0,833,0,1327.7677,5,15,91.98570251464844,BRU,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,fd89484f-7fc4-41dd-830b-7e26b10865fd,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao', 'BRU_Eaddy']",15,0,0,1349.7260225,182.06241500000002,324.0615334510803,624.75
0,0,2,68.0,byplayer,0,1,61,0,0,0.0,BRU_Conaxy,account.2af36fc5835d4156baaf109bbfd6baa2,0,196.03238,0,0,0,716,0,685.0472,5,15,65.67574548721313,BRU,13787471-ab8e-4c98-a8f3-b55ca40a82e5,2021-12-04T12:22:01Z,Miramar,1972,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/12/56/a2a61992-5501-11ec-9c21-16512f2173af-telemetry.json,fd89484f-7fc4-41dd-830b-7e26b10865fd,"['BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao', 'BRU_Eaddy']",15,0,0,1349.7260225,182.06241500000002,324.0615334510803,624.75
