dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,231.75113,byplayer,0,0,65,0,0,0.0,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,6066.3433,0,0,0,960,0,969.54224,6,16,99.99999618530273,DAY,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,c1a67df2-2839-4052-ab36-38b7bbc6345c,"['DAY_Belmoth', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Flash']",16,0,0,6491.727800000001,386.73098,399.28090476989746,874.5
0,0,0,54.97985,byplayer,0,0,64,0,0,0.0,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,5845.3594,0,0,0,960,0,879.79846,4,16,100.00000381469727,DAY,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,c1a67df2-2839-4052-ab36-38b7bbc6345c,"['DAY_Belmoth', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Flash']",16,0,0,6491.727800000001,386.73098,399.28090476989746,874.5
1,0,0,100.0,byplayer,0,0,66,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,4831.306,0,0,0,618,0,483.8671,6,16,99.28089904785156,DAY,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,c1a67df2-2839-4052-ab36-38b7bbc6345c,"['DAY_Belmoth', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Flash']",16,0,0,6491.727800000001,386.73098,399.28090476989746,874.5
0,0,0,0.0,byplayer,0,0,63,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,6183.142,0,0,0,960,0,707.5527,4,16,100.0000057220459,DAY,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,c1a67df2-2839-4052-ab36-38b7bbc6345c,"['DAY_Belmoth', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Flash']",16,0,0,6491.727800000001,386.73098,399.28090476989746,874.5
2,0,3,379.69672,byplayer,1,3,5,1,3,282.61896,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,1416.7362,0,0,0,1446,0,1061.3622,3,2,181.90362930297852,YAHO,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,1834f3b7-ee9a-4d6f-8c9c-ad1b8fe80416,"['YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_sparkingg']",2,4,2,3263.98266,955.09594,870.4068260192871,1372.25
1,2,6,210.92004,byplayer,0,3,13,1,1,287.30548,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,1954.8914,0,0,0,1688,1,1899.8455,11,2,280.5872440338135,YAHO,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,1834f3b7-ee9a-4d6f-8c9c-ad1b8fe80416,"['YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_sparkingg']",2,4,2,3263.98266,955.09594,870.4068260192871,1372.25
0,0,2,251.23978,byplayer,0,1,35,0,0,0.0,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,3336.7234,0,0,0,1178,0,981.694,4,2,232.70528411865234,YAHO,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,1834f3b7-ee9a-4d6f-8c9c-ad1b8fe80416,"['YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_sparkingg']",2,4,2,3263.98266,955.09594,870.4068260192871,1372.25
1,0,3,113.2394,byplayer,0,2,36,0,0,0.0,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,1741.467,0,0,0,1177,0,663.21094,6,2,175.21066856384277,YAHO,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,1834f3b7-ee9a-4d6f-8c9c-ad1b8fe80416,"['YAHO_Balefrost', 'YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_sparkingg']",2,4,2,3263.98266,955.09594,870.4068260192871,1372.25
0,0,2,71.340004,byplayer,0,1,53,0,0,0.0,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,0,8237.357,0,0,0,1035,0,747.31226,3,11,180.06544494628906,eU,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,99eb95aa-0978-4141-9aaa-98e0c6eb800e,"['eU_Relo', 'eU_Kickstart', 'eU_Fludd', 'eU_Snakers']",11,1,0,7978.4950524999995,415.660807,606.2374019622803,1086.25
0,0,2,103.64711,byplayer,0,2,51,0,0,0.0,eU_Kickstart,account.6a886e58e2ea4c6e9f0092fbc3a4de9b,0,5769.3867,0,0,0,1068,0,1223.8885,2,11,156.0880241394043,eU,19cda270-8794-4eb5-80d5-af42b279d5ad,2022-11-19T14:34:50Z,Erangel (Remastered),1688,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/19/15/04/898158f7-681b-11ed-a4c3-16512f2173af-telemetry.json,99eb95aa-0978-4141-9aaa-98e0c6eb800e,"['eU_Relo', 'eU_Kickstart', 'eU_Fludd', 'eU_Snakers']",11,1,0,7978.4950524999995,415.660807,606.2374019622803,1086.25
