dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,2,140.7351,byplayer,0,0,53,0,0,0.0,BBL_Smash,account.5a241fe70c45412d9cdd090011acd582,0,1828.0988,0,0,0,894,0,1132.9689,4,11,144.16410446166992,BBL,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,2d79ad60-4d92-44c5-879d-896a7bd7376f,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",11,1,2,3258.4864500000003,931.7031199999999,653.0535774230957,1161.0
2,0,4,251.06958,byplayer,0,1,52,0,0,0.0,BBL_Mitraleius,account.7e4e2a0b041d414b9eebad737afed30b,0,2137.6382,0,0,0,1206,0,1500.0078,5,11,166.59588050842285,BBL,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,2d79ad60-4d92-44c5-879d-896a7bd7376f,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",11,1,2,3258.4864500000003,931.7031199999999,653.0535774230957,1161.0
1,0,2,116.49268,byplayer,0,1,29,1,1,117.8922,BBL_mert,account.b65a8f1f06c7452dac7b171a92f8a38f,0,1402.2881,0,0,0,1290,0,1301.805,4,11,171.19379043579102,BBL,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,2d79ad60-4d92-44c5-879d-896a7bd7376f,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",11,1,2,3258.4864500000003,931.7031199999999,653.0535774230957,1161.0
2,1,2,423.40576,byplayer,0,1,51,0,0,0.0,BBL_CodeMarco,account.534c7366149e4114a3e1a24fa219e6ec,0,2491.7537,0,0,0,1254,0,1239.3853,5,11,171.0998020172119,BBL,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,2d79ad60-4d92-44c5-879d-896a7bd7376f,"['BBL_Smash', 'BBL_Mitraleius', 'BBL_mert', 'BBL_CodeMarco']",11,1,2,3258.4864500000003,931.7031199999999,653.0535774230957,1161.0
0,1,1,67.68,byplayer,0,0,58,0,0,0.0,KX_YUPPIE,account.b70e24fc050242b4a2b27553d319cd70,0,5578.264,0,0,0,1216,0,1416.9135,5,13,100.00000190734863,KX,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,272f8c02-bdef-48ba-a8f9-2dc119353052,"['KX_YUPPIE', 'KX_Lanren', 'KX_Cobra', 'KX_Yuren']",13,1,1,6802.937475,100.0,522.6399536132812,1095.75
0,0,2,0.0,byplayer,0,1,57,0,0,0.0,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,0,5529.591,0,0,0,1231,0,1639.6696,5,13,154.86648750305176,KX,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,272f8c02-bdef-48ba-a8f9-2dc119353052,"['KX_YUPPIE', 'KX_Lanren', 'KX_Cobra', 'KX_Yuren']",13,1,1,6802.937475,100.0,522.6399536132812,1095.75
1,0,3,32.32,byplayer,0,0,31,1,1,19.486956,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,5459.337,0,0,0,1231,0,1808.2347,5,13,145.38673400878906,KX,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,272f8c02-bdef-48ba-a8f9-2dc119353052,"['KX_YUPPIE', 'KX_Lanren', 'KX_Cobra', 'KX_Yuren']",13,1,1,6802.937475,100.0,522.6399536132812,1095.75
0,0,1,0.0,byplayer,0,0,59,0,0,0.0,KX_Yuren,account.06509a78c5f841e98d0900cd693b71e1,0,4988.7563,0,0,0,705,0,790.9838,6,13,122.3867301940918,KX,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,272f8c02-bdef-48ba-a8f9-2dc119353052,"['KX_YUPPIE', 'KX_Lanren', 'KX_Cobra', 'KX_Yuren']",13,1,1,6802.937475,100.0,522.6399536132812,1095.75
1,1,1,326.60263,byzone,0,2,10,1,2,72.587364,GEN_Inonix,account.51a192cc2a9b4ae88d7e7b9efa79d33f,0,2931.4187,0,0,0,1353,0,1623.7527,5,8,176.32265853881836,GEN,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,23d4e7b9-7204-4f79-9ebb-5bd245afbc24,"['GEN_Inonix', 'GEN_Esther', 'GEN_Pio', 'GEN_Asura']",8,5,2,4413.973524999999,1011.58844,486.1084518432617,1311.5
1,1,3,252.71286,byplayer,0,0,47,0,0,0.0,GEN_Esther,account.b360f8d016e447cf8d53b11f116b9097,0,2790.4363,0,0,0,1354,0,1882.7087,6,8,62.0,GEN,1b0cd001-f2c9-4c19-bda9-29c0af560524,2021-11-19T06:25:22Z,Miramar,1764,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/06/56/d940a105-4905-11ec-9c21-16512f2173af-telemetry.json,23d4e7b9-7204-4f79-9ebb-5bd245afbc24,"['GEN_Inonix', 'GEN_Esther', 'GEN_Pio', 'GEN_Asura']",8,5,2,4413.973524999999,1011.58844,486.1084518432617,1311.5
