dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,127.253,byplayer,0,2,36,0,0,0.0,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,7966.6123,0,0.0,0,1365,0,604.05023,3,7,184.52187538146973,QM,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,8e38353b-7543-4729-bf81-c1aa819d136a,"['QM_DaNte', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_HoBBitEz']",7,0,0,7236.227896750001,340.731984,483.3565673828125,1054.0
0,0,2,195.10027,byplayer,0,0,37,0,0,0.0,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,5687.3945,0,0.0,0,958,0,821.5675,7,7,98.83469200134277,QM,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,8e38353b-7543-4729-bf81-c1aa819d136a,"['QM_DaNte', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_HoBBitEz']",7,0,0,7236.227896750001,340.731984,483.3565673828125,1054.0
0,0,3,18.378714,byplayer,0,0,39,0,0,0.0,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,0,4759.214,0,0.0,0,945,0,856.10046,5,7,100.0,QM,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,8e38353b-7543-4729-bf81-c1aa819d136a,"['QM_DaNte', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_HoBBitEz']",7,0,0,7236.227896750001,340.731984,483.3565673828125,1054.0
0,0,1,0.0,byplayer,0,0,38,0,0,0.0,QM_HoBBitEz,account.4fbd5a8236b54beaab4fc9f606260965,0,7516.3774,0,9.325697,0,948,0,724.2695,2,7,100.0,QM,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,8e38353b-7543-4729-bf81-c1aa819d136a,"['QM_DaNte', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_HoBBitEz']",7,0,0,7236.227896750001,340.731984,483.3565673828125,1054.0
0,0,0,126.841934,byplayer,0,0,21,1,1,498.81924,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,6035.55,0,0.0,0,954,0,774.3032,3,6,100.0,YAHO,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,b11aae63-1a56-4fed-8322-26c125429918,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",6,4,1,7702.293625,1406.8401939999999,1266.2223777770996,1272.75
1,0,8,430.5939,byplayer,0,6,35,0,0,0.0,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,0,7345.4556,0,0.0,0,1366,1,1329.5563,3,6,461.7488956451416,YAHO,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,b11aae63-1a56-4fed-8322-26c125429918,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",6,4,1,7702.293625,1406.8401939999999,1266.2223777770996,1272.75
3,1,6,400.9029,byplayer,0,7,14,1,2,144.82344,YAHO_Balefrost,account.160f42b27b98487ab02faad039c1cfe1,0,5819.172,0,0.0,0,1454,0,1479.2881,4,6,488.76637840270996,YAHO,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,b11aae63-1a56-4fed-8322-26c125429918,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",6,4,1,7702.293625,1406.8401939999999,1266.2223777770996,1272.75
3,0,6,448.50146,byplayer,0,2,20,1,1,95.657745,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,1,6713.105,0,0.0,0,1317,0,1312.7443,3,6,215.70710372924805,YAHO,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,b11aae63-1a56-4fed-8322-26c125429918,"['YAHO_Poonage', 'YAHO_Shinboi', 'YAHO_Balefrost', 'YAHO_sparkingg']",6,4,1,7702.293625,1406.8401939999999,1266.2223777770996,1272.75
0,0,1,73.074425,byplayer,0,0,63,0,0,0.0,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,7121.0864,0,0.0,0,899,0,686.83044,5,15,124.16800117492676,FaZe,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,e58e2ae7-c17d-440d-bc5a-839ac9e5c35f,"['FaZe_D1gg3r1', 'FaZe_Aitzy', 'FaZe_Gustav', 'FaZe_Fexx']",15,2,1,7851.357865,399.168281,451.18953800201416,895.5
0,0,0,102.475006,byplayer,1,0,27,1,1,14.827555,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,0,7061.3887,0,0.0,1,899,0,919.51526,4,15,99.99999713897705,FaZe,1b8a9c7f-7136-4827-829b-524946f16c82,2022-11-20T15:12:10Z,Erangel (Remastered),1644,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/41/ce9baf40-68e9-11ed-a4c3-16512f2173af-telemetry.json,e58e2ae7-c17d-440d-bc5a-839ac9e5c35f,"['FaZe_D1gg3r1', 'FaZe_Aitzy', 'FaZe_Gustav', 'FaZe_Fexx']",15,2,1,7851.357865,399.168281,451.18953800201416,895.5
