dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,1,175.02899,byplayer,0,1,49,0,0,0.0,SGD_Jervis,account.95fe1b5acf204607aa30527d25e76a65,0,0.0,0,0.0,0,263,0,257.96786,1,10,140.7863883972168,SGD,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,b38b2557-1bde-4709-9802-8a79e1295062,"['SGD_Jervis', 'SGD_Leo', 'SGD_Sophiya', 'SGD_Shen']",10,4,0,2133.3505925,786.58389,835.3387432098389,762.5
2,0,6,305.50586,byplayer,0,4,11,1,2,11.335038,SGD_Leo,account.7d6ed2ebecc347b8b2d50a889dd81fb2,2,2684.901,0,0.0,0,1369,0,1198.3604,6,10,180.3318214416504,SGD,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,b38b2557-1bde-4709-9802-8a79e1295062,"['SGD_Jervis', 'SGD_Leo', 'SGD_Sophiya', 'SGD_Shen']",10,4,0,2133.3505925,786.58389,835.3387432098389,762.5
2,0,1,207.94368,byplayer,1,2,12,1,2,22.04594,SGD_Sophiya,account.80e936f003234afb88539652a8676243,0,0.0,0,0.0,0,375,0,514.51025,4,10,233.22052764892578,SGD,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,b38b2557-1bde-4709-9802-8a79e1295062,"['SGD_Jervis', 'SGD_Leo', 'SGD_Sophiya', 'SGD_Shen']",10,4,0,2133.3505925,786.58389,835.3387432098389,762.5
0,0,6,98.10536,byplayer,0,8,48,0,0,0.0,SGD_Shen,account.6b432867882c49e1b44b78361d763faa,1,2872.6877,0,0.0,0,1043,0,1004.97516,7,10,281.0000057220459,SGD,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,b38b2557-1bde-4709-9802-8a79e1295062,"['SGD_Jervis', 'SGD_Leo', 'SGD_Sophiya', 'SGD_Shen']",10,4,0,2133.3505925,786.58389,835.3387432098389,762.5
0,0,4,124.80824,byplayer,0,1,33,1,1,209.66473,BGP_Seongjang,account.fc04bea8e8b44e30a7b43549ed26d625,0,5887.1094,0,0.0,0,1107,0,1160.1925,5,14,153.84968185424805,BGP,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,7e9498c8-ff68-4871-98a2-e199bfcc87ed,"['BGP_Seongjang', 'BGP_2heart', 'BGP_DG98', 'BGP_Pio']",14,2,1,6604.1626,341.83899,560.423828125,991.5
0,0,0,0.0,byplayer,0,0,61,0,0,0.0,BGP_2heart,account.18d7436f0708443596846fbd089335d6,0,4098.1514,0,0.0,0,645,0,903.5853,5,14,100.00000381469727,BGP,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,7e9498c8-ff68-4871-98a2-e199bfcc87ed,"['BGP_Seongjang', 'BGP_2heart', 'BGP_DG98', 'BGP_Pio']",14,2,1,6604.1626,341.83899,560.423828125,991.5
0,1,2,0.0,byplayer,0,1,60,0,0,0.0,BGP_DG98,account.551ccde57dd14989aaab13d1d4f9af23,0,5668.7017,0,0.0,0,1107,0,1263.4176,3,14,143.35519790649414,BGP,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,7e9498c8-ff68-4871-98a2-e199bfcc87ed,"['BGP_Seongjang', 'BGP_2heart', 'BGP_DG98', 'BGP_Pio']",14,2,1,6604.1626,341.83899,560.423828125,991.5
1,0,4,217.03075,byplayer,1,1,32,1,1,13.102134,BGP_Pio,account.af4ebf5cee8544fdac7e565802f61d9c,0,6056.7236,0,0.0,0,1107,0,1378.7689,6,14,163.21894454956055,BGP,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,7e9498c8-ff68-4871-98a2-e199bfcc87ed,"['BGP_Seongjang', 'BGP_2heart', 'BGP_DG98', 'BGP_Pio']",14,2,1,6604.1626,341.83899,560.423828125,991.5
0,0,2,115.26826,byplayer,0,0,50,0,0,0.0,CES_Taikonn,account.b8aecbc4f6494171ad142e6953e4a7d1,0,5087.0186,0,0.0,1,937,0,783.01306,4,11,94.39996337890625,CES,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,5ee92ac8-9af4-424f-8e29-fd6655cc7fbc,"['CES_Taikonn', 'CES_Himass', 'CES_YmCud', 'CES_HaiSaki']",11,4,0,6129.65709,545.33115,486.58953285217285,992.0
1,0,2,101.50005,byplayer,0,0,31,1,1,65.021965,CES_Himass,account.63a01db1cd0b4fbfb6db7a0d2cffa8ea,0,4522.545,0,0.0,0,856,0,925.183,4,11,112.14028549194336,CES,1bd1be10-2576-4a16-9b42-c878571a245f,2022-11-01T14:06:05Z,Erangel (Remastered),1921,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/01/14/40/12aee018-59f3-11ed-a4c3-16512f2173af-telemetry.json,5ee92ac8-9af4-424f-8e29-fd6655cc7fbc,"['CES_Taikonn', 'CES_Himass', 'CES_YmCud', 'CES_HaiSaki']",11,4,0,6129.65709,545.33115,486.58953285217285,992.0
