dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,7,256.03445,byplayer,0,3,49,0,0,0.0,GBL_Renba,account.103b3596564a45d1a58b3bfb723cc319,1,8165.4937,0,0,0,1257,0,1365.5186,4,10,229.3647985458374,GBL,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,9fbc829e-3958-47f6-98e7-27ddba9d4a0b,"['GBL_Renba', 'GBL_Spear', 'GBL_Adder', 'GBL_Lambu']",10,1,1,9373.022465,527.144662,885.4908304214478,1180.0
1,0,2,225.98097,byplayer,1,2,27,1,1,306.0562,GBL_Spear,account.d210ba9bd9bb4b84bdc703d9ea52e186,0,8569.713,0,0,0,1257,0,955.1122,7,10,237.3826847076416,GBL,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,9fbc829e-3958-47f6-98e7-27ddba9d4a0b,"['GBL_Renba', 'GBL_Spear', 'GBL_Adder', 'GBL_Lambu']",10,1,1,9373.022465,527.144662,885.4908304214478,1180.0
0,0,4,45.129242,byplayer,0,3,50,0,0,0.0,GBL_Adder,account.a8121514ac294bfa8556155aad4baeb4,0,8427.522,0,0,0,1254,0,1308.6826,3,10,320.743350982666,GBL,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,9fbc829e-3958-47f6-98e7-27ddba9d4a0b,"['GBL_Renba', 'GBL_Spear', 'GBL_Adder', 'GBL_Lambu']",10,1,1,9373.022465,527.144662,885.4908304214478,1180.0
0,0,5,0.0,byplayer,0,0,51,0,0,0.0,GBL_Lambu,account.61ae3d6e0c1848069e267f1f0e02a393,0,7924.147,0,0,0,952,0,775.90076,5,10,97.99999618530273,GBL,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,9fbc829e-3958-47f6-98e7-27ddba9d4a0b,"['GBL_Renba', 'GBL_Spear', 'GBL_Adder', 'GBL_Lambu']",10,1,1,9373.022465,527.144662,885.4908304214478,1180.0
1,0,2,154.94986,byplayer,2,2,16,1,2,29.311586,BRU_Eaddy,account.e1c31aaef15d476e851c1118ea00cb4d,0,5392.0117,0,0,0,981,0,1021.93475,4,15,214.45433044433594,BRU,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,4d5f5560-f1a4-4bc9-a235-cfea584f2a85,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao']",15,4,5,5564.6367625,499.824734,566.7081623077393,980.25
1,2,3,219.83852,byplayer,0,1,30,1,1,86.719246,BRU_Noardra,account.f606f249b0574583869ad76f05381161,0,2982.7815,0,0,0,981,0,1723.4135,3,15,137.2538299560547,BRU,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,4d5f5560-f1a4-4bc9-a235-cfea584f2a85,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao']",15,4,5,5564.6367625,499.824734,566.7081623077393,980.25
1,3,0,106.76231,byplayer,0,0,31,1,1,11.081674,BRU_Conaxy,account.4b54a2259d454d50a800ee4248a18fd2,0,3265.6086,0,0,0,978,0,1087.9517,7,15,99.0,BRU,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,4d5f5560-f1a4-4bc9-a235-cfea584f2a85,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao']",15,4,5,5564.6367625,499.824734,566.7081623077393,980.25
0,0,4,18.274044,byplayer,0,0,62,0,0,0.0,BRU_GodMiao,account.8fca47b04daf43e6aba289413db95d01,0,5895.886,0,0,0,981,0,888.9593,7,15,116.00000190734863,BRU,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,4d5f5560-f1a4-4bc9-a235-cfea584f2a85,"['BRU_Eaddy', 'BRU_Noardra', 'BRU_Conaxy', 'BRU_GodMiao']",15,4,5,5564.6367625,499.824734,566.7081623077393,980.25
7,1,6,1374.3921,byplayer,4,8,1,2,9,320.808,VP_Perfect1ks,account.71f30d7f01be404da060652f46f31340,1,2229.1848,0,0,0,1888,0,1956.2504,6,2,499.4585762023926,VP,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,07c34de7-9809-422f-8f51-9c27cddb266c,"['VP_Perfect1ks', 'VP_spyrro', 'VP_BatulinS', 'VP_Lu']",2,14,5,4126.8957,2768.2837600000003,1179.645034790039,1678.75
2,3,9,654.8876,byplayer,0,3,18,1,1,126.157585,VP_spyrro,account.05a52ebc312f49c081a043e8403606ea,0,2185.5125,0,0,0,1888,1,2124.7397,3,2,316.8388786315918,VP,1bfdfe32-dfce-4ed3-aeb6-65e6f3cf2a82,2021-11-21T05:24:52Z,Erangel (Remastered),1888,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/05/58/04b222f3-4a90-11ec-9c21-16512f2173af-telemetry.json,07c34de7-9809-422f-8f51-9c27cddb266c,"['VP_Perfect1ks', 'VP_spyrro', 'VP_BatulinS', 'VP_Lu']",2,14,5,4126.8957,2768.2837600000003,1179.645034790039,1678.75
