dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,0,133.26965,byplayer,0,0,74,0,0,0.0,QM_WuFeng,account.3b85d17598854a55bdb3e122776bf289,0,4085.6938,0,0,0,997.549,0,973.1041,3,4,100.0000057220459,QM,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,c10f4a53-6b12-44d0-a6f0-bd02de5f96e8,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",4,4,1,4540.0338,1039.1745700000001,475.95978260040283,1206.7935
4,1,2,506.6952,byplayer,1,6,5,1,4,90.528885,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,3400.7847,0,0,0,1526.311,1,1346.6285,7,4,101.54578304290771,QM,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,c10f4a53-6b12-44d0-a6f0-bd02de5f96e8,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",4,4,1,4540.0338,1039.1745700000001,475.95978260040283,1206.7935
1,0,0,301.20972,byplayer,0,0,73,0,0,0.0,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,2804.6165,0,0,0,1020.666,1,786.0282,5,4,99.9999942779541,QM,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,c10f4a53-6b12-44d0-a6f0-bd02de5f96e8,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",4,4,1,4540.0338,1039.1745700000001,475.95978260040283,1206.7935
1,0,2,98.0,byplayer,0,1,72,0,0,0.0,QM_L1gEEE,account.1774c398a1f4414798ca5bf4dc562d6c,0,3505.51,0,0,0,1282.648,0,1257.7694,5,4,174.41399955749512,QM,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,c10f4a53-6b12-44d0-a6f0-bd02de5f96e8,"['QM_WuFeng', 'QM_YIZz', 'QM_JiYy', 'QM_L1gEEE']",4,4,1,4540.0338,1039.1745700000001,475.95978260040283,1206.7935
1,1,3,387.83914,alive,0,2,15,1,1,213.57959,LZR_Uncivil,account.6203a5e955bb4f1294cdad985d0b20d7,0,1157.9717,0,0,0,1614.072,0,2107.2756,4,1,125.00000190734863,LZR,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,83ed838c-ef4e-4e90-92cd-3e65b916171f,"['LZR_Uncivil', 'LZR_luke12', 'LZR_PurdyKurty', 'LZR_aLOW']",1,13,9,3926.740205,1606.07618,422.2801284790039,1614.072
3,2,5,680.4338,alive,0,1,3,2,4,249.75812,LZR_luke12,account.a90ea2b7552846c3b8440c04035cf463,1,3127.3713,0,0,0,1614.072,0,1470.7716,4,1,157.2338924407959,LZR,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,83ed838c-ef4e-4e90-92cd-3e65b916171f,"['LZR_Uncivil', 'LZR_luke12', 'LZR_PurdyKurty', 'LZR_aLOW']",1,13,9,3926.740205,1606.07618,422.2801284790039,1614.072
1,3,0,154.51619,alive,0,0,2,1,4,318.6249,LZR_PurdyKurty,account.0afa86ca4258437b835ac9e8188f65fe,1,3149.7053,0,0,0,1614.072,0,2598.4568,5,1,40.046234130859375,LZR,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,83ed838c-ef4e-4e90-92cd-3e65b916171f,"['LZR_Uncivil', 'LZR_luke12', 'LZR_PurdyKurty', 'LZR_aLOW']",1,13,9,3926.740205,1606.07618,422.2801284790039,1614.072
3,3,0,383.28705,alive,2,0,4,2,4,323.78625,LZR_aLOW,account.cfc70e3a14964bdd94ba2c90954b860f,0,504.91312,0,0,0,1614.072,0,1590.4954,2,1,100.0,LZR,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,83ed838c-ef4e-4e90-92cd-3e65b916171f,"['LZR_Uncivil', 'LZR_luke12', 'LZR_PurdyKurty', 'LZR_aLOW']",1,13,9,3926.740205,1606.07618,422.2801284790039,1614.072
2,0,3,295.4862,byplayer,0,2,14,1,2,53.41922,SST_fiachan,account.23b2e9c638e74f848169bb38e18f5d09,0,7229.145,0,0,0,1105.836,0,1180.323,3,14,185.0865707397461,SST,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,ff323c23-4300-4bee-9abe-00f8790390c5,"['SST_fiachan', 'SST_CrazySam', 'SST_gabha', 'SST_kendesu']",14,3,0,8162.75015,375.030885,524.6770629882812,1065.5372499999999
0,0,2,0.0,byplayer,0,1,97,0,0,0.0,SST_CrazySam,account.ddc5c0c658474cf5b2e4b3929729deea,0,5891.036,0,0,0,981.693,0,1126.2045,5,14,136.29687118530273,SST,1d91b635-a557-4fea-bab3-31599decb44a,2019-11-18T01:00:11Z,Erangel,1614,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/18/01/28/bbcd47c0-09a2-11ea-bc7c-0a586469e7d8-telemetry.json,ff323c23-4300-4bee-9abe-00f8790390c5,"['SST_fiachan', 'SST_CrazySam', 'SST_gabha', 'SST_kendesu']",14,3,0,8162.75015,375.030885,524.6770629882812,1065.5372499999999
