dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,7,0.0,byplayer,0,3,39,0,0,0.0,NH_MMing,account.bc54127863064a93b679160661b94f3b,0,2080.8882,0,0,0,1898,0,2464.368,5,3,320.16153144836426,NH,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,eaf77786-5d67-4113-9aa8-1ac033f88d02,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",3,8,1,3703.650525,1387.5239900000001,849.8600215911865,1852.25
3,1,6,518.60706,byplayer,0,0,9,1,2,96.290955,NH_ZpYan1,account.ed3274ce35d34aa6ae75e8fe56b909d8,1,2301.382,0,0,0,1728,0,2047.034,7,3,136.1025161743164,NH,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,eaf77786-5d67-4113-9aa8-1ac033f88d02,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",3,8,1,3703.650525,1387.5239900000001,849.8600215911865,1852.25
3,0,9,445.27225,byplayer,1,1,4,1,3,310.1903,NH_Nannnnn,account.84c476ec067a486b93c9742b3facb698,0,724.2274,0,0,0,1876,0,1903.3746,5,3,230.93316268920898,NH,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,eaf77786-5d67-4113-9aa8-1ac033f88d02,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",3,8,1,3703.650525,1387.5239900000001,849.8600215911865,1852.25
3,0,2,423.64468,byplayer,0,0,3,1,3,76.96523,NH_HSmm,account.871410641fc74e78a81c75a46fe78405,1,1336.2664,0,0,0,1907,0,1957.0615,6,3,162.66281127929688,NH,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,eaf77786-5d67-4113-9aa8-1ac033f88d02,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",3,8,1,3703.650525,1387.5239900000001,849.8600215911865,1852.25
2,1,4,169.6283,byplayer,0,3,19,2,2,7.235955,DNW_Rex,account.4336aa6b8f9d41c28a7d83d72eff2d3e,0,3514.154,0,0,0,1141,0,1717.565,4,12,265.74720764160156,DNW,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,cbae9ff5-3f11-43d6-b5f2-b01f936d9e94,"['DNW_Rex', 'DNW_Salute', 'DNW_seoul', 'DNW_LeClo']",12,5,2,5402.287025,586.62436,959.3903198242188,1133.75
1,1,3,132.77902,byplayer,0,0,34,1,1,70.70095,DNW_Salute,account.3d7e95d657224d499002005339c703fb,0,4826.2803,0,0,0,1114,0,920.5245,4,12,140.0000057220459,DNW,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,cbae9ff5-3f11-43d6-b5f2-b01f936d9e94,"['DNW_Rex', 'DNW_Salute', 'DNW_seoul', 'DNW_LeClo']",12,5,2,5402.287025,586.62436,959.3903198242188,1133.75
0,0,4,284.21704,byplayer,0,1,33,1,1,57.153378,DNW_seoul,account.012c6687be0e4720914de28135c398b2,0,3342.671,0,0,0,1139,0,1942.763,3,12,197.9438762664795,DNW,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,cbae9ff5-3f11-43d6-b5f2-b01f936d9e94,"['DNW_Rex', 'DNW_Salute', 'DNW_seoul', 'DNW_LeClo']",12,5,2,5402.287025,586.62436,959.3903198242188,1133.75
0,0,3,0.0,byplayer,0,16,32,1,1,41.835136,DNW_LeClo,account.e04c4433a4e14194b51728d152965c68,0,3718.0012,0,0,0,1141,0,1627.1891,8,12,355.6992301940918,DNW,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,cbae9ff5-3f11-43d6-b5f2-b01f936d9e94,"['DNW_Rex', 'DNW_Salute', 'DNW_seoul', 'DNW_LeClo']",12,5,2,5402.287025,586.62436,959.3903198242188,1133.75
3,1,5,327.20078,byplayer,0,4,28,1,1,30.089424,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,4436.355,0,0,0,1354,0,1556.236,4,9,255.61725616455078,KX,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,07332202-4938-44a8-b770-8570d3c0a8a0,"['KX_Cobra', 'KX_Lanren', 'KX_Yuren', 'KX_YUPPIE']",9,5,1,5769.14945,811.174455,685.2014036178589,1327.0
1,0,1,112.17809,byplayer,0,0,30,1,1,241.736,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,0,4321.6846,0,0,0,1288,0,842.8235,4,9,100.0,KX,20c62f58-13cd-478b-bf55-6c9cc4a38c19,2021-11-20T07:06:11Z,Miramar,1910,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/07/39/0e813545-49d5-11ec-9c21-16512f2173af-telemetry.json,07332202-4938-44a8-b770-8570d3c0a8a0,"['KX_Cobra', 'KX_Lanren', 'KX_Yuren', 'KX_YUPPIE']",9,5,1,5769.14945,811.174455,685.2014036178589,1327.0
