dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,4,54.030006,byplayer,0,2,18,1,1,8.58941,IFTY_L1nnnn,account.2feb6e1bc20f492bac85dbb8dd4e2e0f,0,9006.928,0,0.0,0,1591.917,0,1743.5659,5,5,158.82243728637695,IFTY,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,48d2300b-71ae-4e2c-96b2-6bb00f543b24,"['IFTY_L1nnnn', 'IFTY_LongSkr', 'IFTY_Jiaoyang', 'IFTY_Boliang']",5,5,5,10105.220571,830.107626,934.9430198669434,1459.054
0,1,2,88.72877,byplayer,0,5,80,0,0,0.0,IFTY_LongSkr,account.32a164c4af1c438e892088a46b63fe85,0,8517.544,0,12.880634,0,1060.463,0,985.19025,8,5,148.6442356109619,IFTY,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,48d2300b-71ae-4e2c-96b2-6bb00f543b24,"['IFTY_L1nnnn', 'IFTY_LongSkr', 'IFTY_Jiaoyang', 'IFTY_Boliang']",5,5,5,10105.220571,830.107626,934.9430198669434,1459.054
1,1,5,144.16785,byplayer,1,10,19,1,1,128.06648,IFTY_Jiaoyang,account.80d6c855c8c546cca64abd67e6dbf130,1,8072.801,0,0.0,0,1591.915,0,1785.0175,5,5,447.8704891204834,IFTY,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,48d2300b-71ae-4e2c-96b2-6bb00f543b24,"['IFTY_L1nnnn', 'IFTY_LongSkr', 'IFTY_Jiaoyang', 'IFTY_Boliang']",5,5,5,10105.220571,830.107626,934.9430198669434,1459.054
4,2,3,543.181,byplayer,0,1,5,2,3,130.55676,IFTY_Boliang,account.7f4d23f6a5dd444c8696e68b49c50594,0,8597.678,0,0.0,0,1591.921,0,1699.277,7,5,179.6058578491211,IFTY,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,48d2300b-71ae-4e2c-96b2-6bb00f543b24,"['IFTY_L1nnnn', 'IFTY_LongSkr', 'IFTY_Jiaoyang', 'IFTY_Boliang']",5,5,5,10105.220571,830.107626,934.9430198669434,1459.054
0,1,2,168.02243,byplayer,0,1,93,0,0,0.0,RED_ps1co,account.a8d9478ab56940839bee11f9f8b0bcf4,0,493.3082,0,0.0,0,1031.395,0,1416.8866,4,13,204.3529109954834,RED,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,40006f15-b641-4fb5-9eb1-1816053075c1,"['RED_ps1co', 'RED_raspu', 'RED_and1FPS', 'RED_rustyzera']",13,2,1,1992.31469,764.84407,690.9563102722168,1061.7779999999998
2,0,3,259.83905,byplayer,0,1,33,1,1,9.882856,RED_raspu,account.ac3962da311742a6ba9ebf7a0084b462,0,864.70056,0,0.0,0,1193.023,0,1619.1941,5,13,157.43804550170898,RED,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,40006f15-b641-4fb5-9eb1-1816053075c1,"['RED_ps1co', 'RED_raspu', 'RED_and1FPS', 'RED_rustyzera']",13,2,1,1992.31469,764.84407,690.9563102722168,1061.7779999999998
1,0,3,162.15121,byplayer,0,4,94,0,0,0.0,RED_and1FPS,account.d6c7252d57b6437bb4cc38c36632ba8d,0,892.6358,0,0.0,0,1010.347,0,1284.5525,7,13,201.0599136352539,RED,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,40006f15-b641-4fb5-9eb1-1816053075c1,"['RED_ps1co', 'RED_raspu', 'RED_and1FPS', 'RED_rustyzera']",13,2,1,1992.31469,764.84407,690.9563102722168,1061.7779999999998
1,0,1,174.83138,byplayer,0,0,34,1,1,166.57918,RED_rustyzera,account.70722fd632cd4361a98cbb4aeb8ac131,0,0.0,0,0.0,0,1012.347,0,1397.981,4,13,128.1054401397705,RED,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,40006f15-b641-4fb5-9eb1-1816053075c1,"['RED_ps1co', 'RED_raspu', 'RED_and1FPS', 'RED_rustyzera']",13,2,1,1992.31469,764.84407,690.9563102722168,1061.7779999999998
3,1,4,307.22995,byplayer,1,5,4,1,3,51.52508,T1_Adder,account.5d864c62e7684826ab3fcdb4e641e512,1,6683.277,0,0.0,0,1489.028,0,2050.3599,7,4,289.3246593475342,T1,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,fc2c3f39-1826-45d9-b4ae-9e916451f8b7,"['T1_Adder', 'T1_Akad', 'T1_HelleN', 'T1_JeffLocka']",4,6,7,9369.34015,1301.20386,1097.5319509506226,1441.89625
4,3,7,655.73553,byplayer,0,12,11,1,2,40.494137,T1_Akad,account.387a296a77a14b55897f1493ddb4b52a,1,7460.6387,0,0.0,0,1604.66,0,2569.1458,6,4,387.30163860321045,T1,20dd615c-d240-47c9-9e13-573bd5b5983a,2019-11-09T05:01:12Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/09/05/32/5f97e99b-02b2-11ea-adac-0a586469f39e-telemetry.json,fc2c3f39-1826-45d9-b4ae-9e916451f8b7,"['T1_Adder', 'T1_Akad', 'T1_HelleN', 'T1_JeffLocka']",4,6,7,9369.34015,1301.20386,1097.5319509506226,1441.89625
