dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,6,156.77913,byplayer,2,2,10,1,2,238.04388,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,0,6956.2207,0,0.0,0,1226,0,597.86145,7,10,255.83630180358887,TMA,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,859ea0f1-0a7e-4729-918c-0ce26e5d8809,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",10,3,4,7467.4124825,372.52854,720.7298946380615,1224.5
2,1,2,79.87941,byplayer,1,1,32,1,1,17.139627,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,0,6738.1494,0,0.0,0,1226,0,426.17142,4,10,154.12000465393066,TMA,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,859ea0f1-0a7e-4729-918c-0ce26e5d8809,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",10,3,4,7467.4124825,372.52854,720.7298946380615,1224.5
0,2,2,109.47,byplayer,0,0,48,0,0,0.0,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,6766.0015,0,0.0,0,1220,0,465.92493,4,10,131.57358741760254,TMA,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,859ea0f1-0a7e-4729-918c-0ce26e5d8809,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",10,3,4,7467.4124825,372.52854,720.7298946380615,1224.5
0,0,5,26.4,byplayer,0,1,47,0,0,0.0,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,1,7436.073,0,0.0,0,1226,0,483.24753,4,10,179.20000076293945,TMA,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,859ea0f1-0a7e-4729-918c-0ce26e5d8809,"['TMA_LuLualways', 'TMA_YUPPIE', 'TMA_Xiaoha1xxxx', 'TMA_CRAZY112']",10,3,4,7467.4124825,372.52854,720.7298946380615,1224.5
0,1,5,33.109272,byplayer,0,9,54,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,7495.311,0,0.0,0,1150,0,874.96326,4,13,143.09349822998047,DAY,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,bc348b2e-f819-47c1-b498-6ce16835f8a3,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,1,1,8768.924223750002,152.90927200000002,412.09349632263184,1113.5
1,0,4,100.0,byplayer,0,6,36,1,1,161.68999,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,9294.494,0,0.0,0,1133,0,997.2319,5,13,98.99999809265137,DAY,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,bc348b2e-f819-47c1-b498-6ce16835f8a3,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,1,1,8768.924223750002,152.90927200000002,412.09349632263184,1113.5
0,0,4,0.0,byplayer,0,3,56,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,6294.364,0,125.728035,0,1036,0,1088.7206,4,13,87.0,DAY,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,bc348b2e-f819-47c1-b498-6ce16835f8a3,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,1,1,8768.924223750002,152.90927200000002,412.09349632263184,1113.5
0,0,6,19.8,byplayer,0,7,55,0,0,0.0,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,8049.734,0,0.0,0,1135,0,855.1501,4,13,83.0,DAY,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,bc348b2e-f819-47c1-b498-6ce16835f8a3,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,1,1,8768.924223750002,152.90927200000002,412.09349632263184,1113.5
2,0,3,489.72134,alive,0,5,14,1,1,71.27871,YAHO_Shinboi,account.fd002b9cf2744b4cb296fa1d4a98c6d5,1,7052.6646,0,0.0,0,1827,1,1968.4922,7,1,107.83220481872559,YAHO,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,242327b8-0242-4a2d-8e49-43996ae6a6bb,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_sparkingg', 'YAHO_Balefrost']",1,4,2,7073.118775000001,1531.2410300000001,1115.5711994171143,1815.5
1,0,6,311.0291,alive,1,9,15,1,1,260.54913,YAHO_Poonage,account.55755dd6b79e457ea23c25809980e806,0,5242.9985,0,0.0,0,1781,1,1966.6082,5,1,465.4913101196289,YAHO,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,242327b8-0242-4a2d-8e49-43996ae6a6bb,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_sparkingg', 'YAHO_Balefrost']",1,4,2,7073.118775000001,1531.2410300000001,1115.5711994171143,1815.5
0,1,8,205.35849,alive,0,8,12,1,1,228.19994,YAHO_sparkingg,account.51e478d83bfb4084bd3a336f519aae95,0,4363.4824,0,0.0,0,1827,0,1397.2125,7,1,267.82878494262695,YAHO,228c9a84-20b3-4dc7-b6bf-8feb5606821b,2022-11-18T15:54:51Z,Erangel (Remastered),1827,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/18/16/27/de0cff43-675d-11ed-a4c3-16512f2173af-telemetry.json,242327b8-0242-4a2d-8e49-43996ae6a6bb,"['YAHO_Shinboi', 'YAHO_Poonage', 'YAHO_sparkingg', 'YAHO_Balefrost']",1,4,2,7073.118775000001,1531.2410300000001,1115.5711994171143,1815.5
