dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,2,6,475.2652,alive,1,8,8,1,2,158.44064,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,1,7649.217,0,0,0,1868,0,2223.3684,6,1,462.42584228515625,HERO,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,8a5f4160-c8a3-49d0-b17f-a5e1e8872862,"['HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3', 'HERO_curexi']",1,14,8,9544.38895,2568.85413,1460.8818950653076,1837.25
6,3,6,1059.4617,alive,0,4,1,2,5,467.89774,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,5256.5527,0,0,0,1868,1,2560.5857,4,1,230.76713180541992,HERO,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,8a5f4160-c8a3-49d0-b17f-a5e1e8872862,"['HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3', 'HERO_curexi']",1,14,8,9544.38895,2568.85413,1460.8818950653076,1837.25
4,2,7,615.0965,alive,0,5,2,3,5,91.88553,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,1,7974.893,0,0,0,1745,0,2935.407,9,1,485.5419445037842,HERO,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,8a5f4160-c8a3-49d0-b17f-a5e1e8872862,"['HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3', 'HERO_curexi']",1,14,8,9544.38895,2568.85413,1460.8818950653076,1837.25
1,1,6,419.03073,alive,0,5,7,2,2,115.75862,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,1,6331.3545,0,0,0,1868,0,3246.1775,6,1,282.14697647094727,HERO,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,8a5f4160-c8a3-49d0-b17f-a5e1e8872862,"['HERO_Beami', 'HERO_TeaBone', 'HERO_PaG3', 'HERO_curexi']",1,14,8,9544.38895,2568.85413,1460.8818950653076,1837.25
1,1,3,236.65279,byplayer,0,2,14,2,2,67.18353,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,1,3937.2441,0,0,0,1234,0,1290.4946,3,10,246.56605339050293,KPI,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,f0cc3439-6090-404b-882a-43ccf1724daf,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN', 'KPI_Em1hh']",10,3,4,4987.1365375000005,761.069471,1019.1203184127808,1155.25
3,2,6,455.89896,byplayer,1,3,26,1,1,7.2136803,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,2,4361.34,0,0,0,1226,0,1016.44275,4,10,290.4070043563843,KPI,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,f0cc3439-6090-404b-882a-43ccf1724daf,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN', 'KPI_Em1hh']",10,3,4,4987.1365375000005,761.069471,1019.1203184127808,1155.25
0,0,3,20.869226,byplayer,0,3,48,0,0,0.0,KPI_SzylzEN,account.934939055fa541f2a18383a0908166ee,1,2688.56,0,0,0,1234,0,1316.2975,5,10,273.74725341796875,KPI,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,f0cc3439-6090-404b-882a-43ccf1724daf,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN', 'KPI_Em1hh']",10,3,4,4987.1365375000005,761.069471,1019.1203184127808,1155.25
0,1,3,47.648495,byplayer,0,3,49,0,0,0.0,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,0,4190.0864,0,0,0,927,0,1148.0808,3,10,208.4000072479248,KPI,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,f0cc3439-6090-404b-882a-43ccf1724daf,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_SzylzEN', 'KPI_Em1hh']",10,3,4,4987.1365375000005,761.069471,1019.1203184127808,1155.25
1,0,4,162.65517,byplayer,0,1,29,1,1,67.54585,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,8568.5625,0,0,0,1143,0,873.8893,3,13,123.08159637451172,NH,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,11763e90-a766-4757-bb54-0ea357d0f919,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",13,3,0,9686.97501,468.75134699999995,581.4923496246338,1124.75
0,0,3,34.17477,byplayer,0,1,56,0,0,0.0,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,8269.551,0,0,0,1101,0,1407.2433,3,13,149.94174003601074,NH,243d743c-93cb-42c4-8f08-b3adf9e58474,2021-12-17T13:07:29Z,Miramar,1868,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/13/40/e59aa95b-5f3e-11ec-9c21-16512f2173af-telemetry.json,11763e90-a766-4757-bb54-0ea357d0f919,"['NH_MMing', 'NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm']",13,3,0,9686.97501,468.75134699999995,581.4923496246338,1124.75
