dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,1,133.47632,byplayer,0,1,15,1,2,43.831425,GEX_sophiya666,account.4bac7641987e4040b39a267cccb3e1d9,0,0.0,0,0.0,0,984.573,0,2569.3748,5,11,180.95999336242676,GEX,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,b9712d7e-3a6a-441c-a630-3400841129b2,"['GEX_sophiya666', 'GEX_ChiaWei1031', 'GEX_kane', 'GEX_Leo']",11,4,2,2544.5367,525.47875,631.3453674316406,980.6374999999999
1,1,3,146.79858,byzone,0,2,28,1,1,131.04309,GEX_ChiaWei1031,account.3dc0aa718a5d4306984627b6b54abb78,0,0.0,0,0.0,0,984.569,0,2387.9414,4,11,127.44425773620605,GEX,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,b9712d7e-3a6a-441c-a630-3400841129b2,"['GEX_sophiya666', 'GEX_ChiaWei1031', 'GEX_kane', 'GEX_Leo']",11,4,2,2544.5367,525.47875,631.3453674316406,980.6374999999999
1,0,3,75.07632,byplayer,0,1,29,1,1,7.2357607,GEX_kane,account.f3856cf67a924d0194f13b59e082ff33,0,495.2317,0,0.0,0,980.709,0,2419.0286,6,11,201.88111305236816,GEX,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,b9712d7e-3a6a-441c-a630-3400841129b2,"['GEX_sophiya666', 'GEX_ChiaWei1031', 'GEX_kane', 'GEX_Leo']",11,4,2,2544.5367,525.47875,631.3453674316406,980.6374999999999
0,1,1,170.12753,byplayer,0,0,90,0,0,0.0,GEX_Leo,account.88126986a8ba4668bfc44a6ce2fb5d74,0,0.0,0,0.0,0,972.699,0,2306.5703,3,11,121.06000328063965,GEX,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,b9712d7e-3a6a-441c-a630-3400841129b2,"['GEX_sophiya666', 'GEX_ChiaWei1031', 'GEX_kane', 'GEX_Leo']",11,4,2,2544.5367,525.47875,631.3453674316406,980.6374999999999
1,0,0,68.188034,byplayer,0,0,22,1,1,78.207016,ENF_indigo,account.76c4948070d3443686756d4071eb3ff6,0,1478.987,0,0.0,0,1123.375,0,1099.3634,5,5,99.99999809265137,ENF,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,ec5b5e09-c1a8-4a0f-a489-96712a9d652f,"['ENF_indigo', 'ENF_Seongjang', 'ENF_kAyle', 'ENF_DoYa']",5,7,3,2134.30441,876.8886239999999,613.8556699752808,965.7955000000001
1,2,1,441.90616,byplayer,0,1,10,1,2,38.46729,ENF_Seongjang,account.a85b0a8246984e8fa0f88d977fb9d3b1,1,978.38794,0,0.0,0,1235.305,0,1559.7733,6,5,111.22000026702881,ENF,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,ec5b5e09-c1a8-4a0f-a489-96712a9d652f,"['ENF_indigo', 'ENF_Seongjang', 'ENF_kAyle', 'ENF_DoYa']",5,7,3,2134.30441,876.8886239999999,613.8556699752808,965.7955000000001
4,1,2,366.79443,byplayer,0,3,1,2,4,106.28121,ENF_kAyle,account.c48dd8f1ec9649508b79466cc5f11e0a,0,760.50354,0,0.0,0,1201.571,0,1015.02026,2,5,302.6356716156006,ENF,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,ec5b5e09-c1a8-4a0f-a489-96712a9d652f,"['ENF_indigo', 'ENF_Seongjang', 'ENF_kAyle', 'ENF_DoYa']",5,7,3,2134.30441,876.8886239999999,613.8556699752808,965.7955000000001
0,0,0,0.0,byplayer,0,0,78,0,0,0.0,ENF_DoYa,account.814e736187024265b5f4177a639adf64,0,1368.1156,0,0.0,0,302.931,0,277.0666,3,5,100.0,ENF,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,ec5b5e09-c1a8-4a0f-a489-96712a9d652f,"['ENF_indigo', 'ENF_Seongjang', 'ENF_kAyle', 'ENF_DoYa']",5,7,3,2134.30441,876.8886239999999,613.8556699752808,965.7955000000001
2,1,0,352.2968,byzone,0,0,9,1,2,165.30212,RUM_Microfry,account.b861e41182044697a2481373afa90600,0,190.66301,0,0.0,0,1135.561,0,1434.4426,4,4,98.20000267028809,RUM,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,5c8de1d8-bb74-43e3-a415-64031370ddfb,"['RUM_Microfry', 'RUM_LosHD', 'RUM_Waldoe', 'RUM_CherryPoppin']",4,8,4,2301.95508,1034.470486,891.7329225540161,1173.424
2,1,5,373.01178,byplayer,0,2,5,3,3,121.864746,RUM_LosHD,account.1302383c76e4406493fe67737c8cc9d2,1,182.16754,0,0.0,0,1258.18,0,2463.9812,6,4,209.04313373565674,RUM,24f8decc-a768-4b8b-afef-96b5b68dfc9e,2019-11-25T03:36:37Z,Sanhok,1390,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/25/04/01/477969ac-0f38-11ea-8b2e-0a5864602270-telemetry.json,5c8de1d8-bb74-43e3-a415-64031370ddfb,"['RUM_Microfry', 'RUM_LosHD', 'RUM_Waldoe', 'RUM_CherryPoppin']",4,8,4,2301.95508,1034.470486,891.7329225540161,1173.424
