dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,4,103.75516,byplayer,0,2,42,0,0,0.0,GNL_Americano,account.2f99f4b4be7f440d8a4fc98fe40f2143,0,8610.246,0,0,0,1183,0,798.7365,4,9,86.99999618530273,GNL,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,4904e677-92c8-4034-93ec-94d30ba86a75,"['GNL_Americano', 'GNL_Tosi', 'GNL_Corn', 'GNL_Heaven']",9,0,1,7588.311734999999,352.074894,610.1771202087402,1179.0
1,1,3,54.904194,byplayer,0,0,43,0,0,0.0,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,6108.7993,0,0,0,1167,0,995.61304,4,9,100.0,GNL,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,4904e677-92c8-4034-93ec-94d30ba86a75,"['GNL_Americano', 'GNL_Tosi', 'GNL_Corn', 'GNL_Heaven']",9,0,1,7588.311734999999,352.074894,610.1771202087402,1179.0
0,0,3,0.0,byzone,0,1,44,0,0,0.0,GNL_Corn,account.15923c996fb440a4984764eb949a6f0d,0,5914.337,0,0,0,1128,0,1242.4855,3,9,132.64375495910645,GNL,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,4904e677-92c8-4034-93ec-94d30ba86a75,"['GNL_Americano', 'GNL_Tosi', 'GNL_Corn', 'GNL_Heaven']",9,0,1,7588.311734999999,352.074894,610.1771202087402,1179.0
0,0,4,193.41554,byplayer,0,5,41,0,0,0.0,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,5619.9355,0,0,0,1238,0,1063.0941,8,9,290.53336906433105,GNL,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,4904e677-92c8-4034-93ec-94d30ba86a75,"['GNL_Americano', 'GNL_Tosi', 'GNL_Corn', 'GNL_Heaven']",9,0,1,7588.311734999999,352.074894,610.1771202087402,1179.0
2,2,2,503.1384,byplayer,1,4,12,1,2,173.5254,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,0,3510.9148,0,0,0,1361,0,1450.1628,6,5,340.55949211120605,HERO,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,f2d79b5e-fcea-47fa-bb9b-feab703678e7,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",5,6,5,5394.67685,1253.95882,877.0716180801392,1284.25
2,1,3,210.99232,byplayer,2,1,7,1,3,302.04797,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,1,4002.675,0,0,0,1367,0,1592.1577,3,5,268.4784164428711,HERO,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,f2d79b5e-fcea-47fa-bb9b-feab703678e7,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",5,6,5,5394.67685,1253.95882,877.0716180801392,1284.25
1,0,3,155.66187,byplayer,0,1,23,1,1,35.838795,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,4511.4004,0,0,0,1167,0,1152.2007,7,5,148.69050979614258,HERO,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,f2d79b5e-fcea-47fa-bb9b-feab703678e7,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",5,6,5,5394.67685,1253.95882,877.0716180801392,1284.25
0,2,1,384.16623,byplayer,0,1,34,0,0,0.0,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,4125.292,0,0,0,1242,0,1233.904,4,5,119.34319972991943,HERO,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,f2d79b5e-fcea-47fa-bb9b-feab703678e7,"['HERO_Beami', 'HERO_PaG3', 'HERO_TeaBone', 'HERO_curexi']",5,6,5,5394.67685,1253.95882,877.0716180801392,1284.25
0,0,1,95.700005,byplayer,0,0,61,0,0,0.0,BRU_Eaddy,account.1e7348c8091d494bb5fe50d4298c5e9a,1,1918.0872,0,0,0,725,0,825.2773,4,15,115.00000381469727,BRU,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,79b59c37-f602-4506-9f30-c8d23a0a8a0a,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_GodMiao', 'BRU_Noardra']",15,0,0,3596.2237250000003,366.76052500000003,678.890869140625,732.75
0,0,1,0.0,byplayer,0,2,60,0,0,0.0,BRU_Conaxy,account.2af36fc5835d4156baaf109bbfd6baa2,1,2310.037,0,0,0,729,0,671.3025,7,15,237.3950595855713,BRU,267eb9af-d9a4-4ce6-8fca-e11242118708,2021-11-28T11:26:28Z,Miramar,1571,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/11/54/f2a66cea-5041-11ec-9c21-16512f2173af-telemetry.json,79b59c37-f602-4506-9f30-c8d23a0a8a0a,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_GodMiao', 'BRU_Noardra']",15,0,0,3596.2237250000003,366.76052500000003,678.890869140625,732.75
