dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,95.12999,byplayer,0,1,49,0,0,0.0,TE_Leviz,account.f9cd747bad7444a791b47b38baa99e48,0,1022.2368,0,17.358047,0,1129,0,2675.1775,4,10,155.55275440216064,TE,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,a0446c21-2a5a-4785-8b18-3b1bcd96167d,"['TE_Leviz', 'TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz']",10,1,1,2943.2753205,366.43115,459.55275440216064,848.5
0,0,0,0.0,byplayer,0,0,51,0,0,0.0,TE_777,account.6c5f7c1fe9094517bc4368b920b7ea69,0,187.07498,0,410.3322,0,438,0,852.64307,3,10,100.0,TE,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,a0446c21-2a5a-4785-8b18-3b1bcd96167d,"['TE_Leviz', 'TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz']",10,1,1,2943.2753205,366.43115,459.55275440216064,848.5
1,0,5,100.0,byplayer,0,0,25,1,1,5.1668367,TE_Ninja2K,account.d703aa4b7d46423aa6394adf282fd0cd,0,1175.5361,0,21.664305,0,1129,0,2553.5215,8,10,104.00000190734863,TE,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,a0446c21-2a5a-4785-8b18-3b1bcd96167d,"['TE_Leviz', 'TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz']",10,1,1,2943.2753205,366.43115,459.55275440216064,848.5
1,1,0,171.30116,byplayer,0,0,50,0,0,0.0,TE_DuCkHjeUz,account.52abce092f5844af8cec49e8a064c8d2,0,1398.793,0,20.09068,0,698,0,1438.6731,3,10,99.99999809265137,TE,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,a0446c21-2a5a-4785-8b18-3b1bcd96167d,"['TE_Leviz', 'TE_777', 'TE_Ninja2K', 'TE_DuCkHjeUz']",10,1,1,2943.2753205,366.43115,459.55275440216064,848.5
0,2,1,49.200005,byplayer,0,1,56,0,0,0.0,WC_GregShotGG,account.7de92369fe4f4f24874d719a4bf6895d,0,2067.8923,0,0.0,0,754,0,893.44446,5,12,127.11509323120117,WC,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,c4dc161b-7dd0-48cb-a972-83fc8b599eb7,"['WC_GregShotGG', 'WC_Adam', 'WC_nicoos', 'WC_Ykikamucow']",12,5,3,2278.7995300000002,748.82145,553.306224822998,663.0
1,0,0,121.008575,byplayer,1,0,26,1,1,22.834074,WC_Adam,account.6d861d09565241f5b2f4eda11744468d,0,2088.646,0,0.0,0,665,0,525.0631,3,12,100.0,WC,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,c4dc161b-7dd0-48cb-a972-83fc8b599eb7,"['WC_GregShotGG', 'WC_Adam', 'WC_nicoos', 'WC_Ykikamucow']",12,5,3,2278.7995300000002,748.82145,553.306224822998,663.0
3,1,1,470.92664,byplayer,1,7,7,3,3,42.994675,WC_nicoos,account.385216b5ffe54340951c5a9bebd532e4,0,1694.0793,0,0.0,0,817,0,976.89154,6,12,226.19113159179688,WC,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,c4dc161b-7dd0-48cb-a972-83fc8b599eb7,"['WC_GregShotGG', 'WC_Adam', 'WC_nicoos', 'WC_Ykikamucow']",12,5,3,2278.7995300000002,748.82145,553.306224822998,663.0
1,0,0,107.68623,byplayer,1,0,27,1,1,277.20587,WC_Ykikamucow,account.257ebd9a9e044d75a4bdaf6ef7334d68,0,558.1401,0,0.0,0,416,0,311.04132,3,12,100.0,WC,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,c4dc161b-7dd0-48cb-a972-83fc8b599eb7,"['WC_GregShotGG', 'WC_Adam', 'WC_nicoos', 'WC_Ykikamucow']",12,5,3,2278.7995300000002,748.82145,553.306224822998,663.0
2,1,3,442.6923,alive,0,3,9,1,2,303.4589,eU_Relo,account.ebd15758ff364ae490ae8d85b9b33c08,0,3132.17,0,0.0,0,1676,0,1900.5735,6,1,204.80254554748535,eU,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,8cdbba30-bdec-4dc1-9fc3-88637557e158,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,11,6,5660.205825,2374.6555,459.6332950592041,1676.0
1,1,6,781.7953,alive,0,2,4,1,3,82.61946,eU_Fludd,account.ce4a08811bee48a2a75851fe6545df8c,0,3126.7566,0,0.0,0,1676,0,2188.3994,6,1,48.36502265930176,eU,286c9b6f-5450-48df-8119-3d006a836fe6,2022-11-06T15:47:05Z,Erangel (Remastered),1676,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/06/16/16/70f4932f-5dee-11ed-a4c3-16512f2173af-telemetry.json,8cdbba30-bdec-4dc1-9fc3-88637557e158,"['eU_Relo', 'eU_Fludd', 'eU_Snakers', 'eU_Kickstart']",1,11,6,5660.205825,2374.6555,459.6332950592041,1676.0
