dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
3,1,7,349.97998,byplayer,0,1,4,2,3,33.522606,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,1929.2584,0,0,0,1919,0,1625.8615,6,6,161.36036682128906,17,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,e0359931-bea1-4dfb-bb32-9b7a81601560,"['17_Xbei', '17_shou', '17_LilGhost', '17_SuJiu']",6,4,1,3619.9007,593.022476,506.0503797531128,1489.5
1,0,1,125.042496,byplayer,0,1,24,1,1,45.853462,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,1,2079.439,0,0,0,1689,0,1412.848,5,6,134.69001483917236,17,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,e0359931-bea1-4dfb-bb32-9b7a81601560,"['17_Xbei', '17_shou', '17_LilGhost', '17_SuJiu']",6,4,1,3619.9007,593.022476,506.0503797531128,1489.5
1,0,0,100.0,byplayer,0,0,45,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,3380.0752,0,0,0,1687,0,1376.288,5,6,110.0,17,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,e0359931-bea1-4dfb-bb32-9b7a81601560,"['17_Xbei', '17_shou', '17_LilGhost', '17_SuJiu']",6,4,1,3619.9007,593.022476,506.0503797531128,1489.5
0,0,1,18.0,byplayer,0,0,46,0,0,0.0,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,2227.4397,0,0,0,663,0,448.393,4,6,99.99999809265137,17,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,e0359931-bea1-4dfb-bb32-9b7a81601560,"['17_Xbei', '17_shou', '17_LilGhost', '17_SuJiu']",6,4,1,3619.9007,593.022476,506.0503797531128,1489.5
0,0,3,30.157665,byplayer,0,1,53,0,0,0.0,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,1443.6525,0,0,0,1659,0,1310.1099,11,11,177.72010803222656,NH,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,efda9e3b-6646-4647-b915-527d5a95d247,"['NH_ZpYan1', 'NH_MMing', 'NH_HSmm', 'NH_Nannnnn']",11,1,0,2176.77750375,347.619569,769.787693977356,1278.75
0,0,3,18.941824,byplayer,0,1,30,1,1,4.4746366,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,1716.9716,0,0,0,1626,0,1486.8812,8,11,201.6706132888794,NH,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,efda9e3b-6646-4647-b915-527d5a95d247,"['NH_ZpYan1', 'NH_MMing', 'NH_HSmm', 'NH_Nannnnn']",11,1,0,2176.77750375,347.619569,769.787693977356,1278.75
1,0,3,298.52008,byplayer,0,4,52,0,0,0.0,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,201.35765,0,0,0,1716,0,1805.706,11,11,292.46117401123047,NH,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,efda9e3b-6646-4647-b915-527d5a95d247,"['NH_ZpYan1', 'NH_MMing', 'NH_HSmm', 'NH_Nannnnn']",11,1,0,2176.77750375,347.619569,769.787693977356,1278.75
0,0,0,0.0,byplayer,0,0,54,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,730.48517,0,0,0,114,0,11.945995,0,11,97.93579864501953,NH,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,efda9e3b-6646-4647-b915-527d5a95d247,"['NH_ZpYan1', 'NH_MMing', 'NH_HSmm', 'NH_Nannnnn']",11,1,0,2176.77750375,347.619569,769.787693977356,1278.75
0,1,3,69.6,byplayer,0,1,55,0,0,0.0,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,1,2546.824,0,0,0,1654,0,917.9749,4,12,157.69523811340332,GEX,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,bddc4f5f-a7ba-42bd-8210-d23307ad36a3,"['GEX_SSR', 'GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan']",12,2,1,3087.5911125000002,517.237759,900.4776878356934,1238.25
0,0,5,29.609999,byplayer,0,3,56,0,0,0.0,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,2438.398,0,0,0,1616,0,1070.2621,7,12,310.4235420227051,GEX,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,bddc4f5f-a7ba-42bd-8210-d23307ad36a3,"['GEX_SSR', 'GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan']",12,2,1,3087.5911125000002,517.237759,900.4776878356934,1238.25
2,0,0,184.7072,byplayer,1,2,31,1,1,7.243511,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,1871.5869,0,0,0,1681,0,773.6141,2,12,218.55999565124512,GEX,2895db28-1af5-4040-bace-235058cc1aa7,2021-12-01T13:22:31Z,Miramar,1966,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/13/57/937a672b-52ae-11ec-9c21-16512f2173af-telemetry.json,bddc4f5f-a7ba-42bd-8210-d23307ad36a3,"['GEX_SSR', 'GEX_Savior', 'GEX_YanLi', 'GEX_ZhenNan']",12,2,1,3087.5911125000002,517.237759,900.4776878356934,1238.25
