dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,5,80.34737,byplayer,0,8,37,0,0,0.0,DIG_Shinboi,account.c35106154a3f49c29a71106c473e8559,2,6676.726,0,0,0,1569,1,1330.9404,3,5,358.05058193206787,DIG,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,2e4a87ca-e882-4a92-92fa-dbbb538489c2,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",5,2,1,8067.102489999999,1200.19374,1172.757863998413,1572.5
2,1,3,623.74945,byplayer,0,3,24,1,1,216.63538,DIG_sparkingg,account.2bf211401351438c987b6846009db9ba,0,6561.7417,0,0,0,1597,0,1165.6212,3,5,235.61125564575195,DIG,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,2e4a87ca-e882-4a92-92fa-dbbb538489c2,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",5,2,1,8067.102489999999,1200.19374,1172.757863998413,1572.5
0,0,4,284.40414,byplayer,0,7,38,0,0,0.0,DIG_Poonage,account.3ce60a1053dd45c79a8deb4e29fa32bb,0,6748.2627,0,0,0,1546,0,1421.9252,5,5,402.4639959335327,DIG,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,2e4a87ca-e882-4a92-92fa-dbbb538489c2,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",5,2,1,8067.102489999999,1200.19374,1172.757863998413,1572.5
0,0,2,211.69278,byplayer,0,1,25,1,1,211.48198,DIG_HoneyBadger,account.eaeaba953a094607b60bd205ea2dd889,0,7437.037,0,0,0,1578,0,926.15576,4,5,176.63203048706055,DIG,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,2e4a87ca-e882-4a92-92fa-dbbb538489c2,"['DIG_Shinboi', 'DIG_sparkingg', 'DIG_Poonage', 'DIG_HoneyBadger']",5,2,1,8067.102489999999,1200.19374,1172.757863998413,1572.5
2,1,3,200.33,byplayer,1,1,18,2,2,47.77757,AAP_Kalbs,account.3c698dd945184dbb8fe3a3a23ef6a20f,0,4938.7183,0,0,0,661,0,1117.7034,9,14,75.99999809265137,AAP,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,03148cc7-f8fd-42f7-990e-6a8202240bd2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_SilentKnight', 'AAP_AljnBOTz']",14,5,3,6126.922525,702.8926819999999,425.8000679016113,916.5
1,1,2,245.2,byplayer,0,2,31,1,1,29.2129,AAP_CeeJay18,account.859429c3a9ef4cf787193ee3b69ebe86,0,4522.7397,0,0,0,974,0,855.8816,4,14,153.8753776550293,AAP,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,03148cc7-f8fd-42f7-990e-6a8202240bd2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_SilentKnight', 'AAP_AljnBOTz']",14,5,3,6126.922525,702.8926819999999,425.8000679016113,916.5
2,1,3,200.0,byplayer,0,1,17,1,2,56.732075,AAP_SilentKnight,account.67002b09bba94a0eb3ab1d6132bbaeb0,0,4828.289,0,0,0,1087,0,1119.8292,4,14,118.4268913269043,AAP,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,03148cc7-f8fd-42f7-990e-6a8202240bd2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_SilentKnight', 'AAP_AljnBOTz']",14,5,3,6126.922525,702.8926819999999,425.8000679016113,916.5
0,0,2,57.362682,byplayer,0,0,58,0,0,0.0,AAP_AljnBOTz,account.6359ba7e82d34f2b85dbcfc61e9ccf59,0,6276.3267,0,0,0,944,0,848.2022,4,14,77.49780082702637,AAP,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,03148cc7-f8fd-42f7-990e-6a8202240bd2,"['AAP_Kalbs', 'AAP_CeeJay18', 'AAP_SilentKnight', 'AAP_AljnBOTz']",14,5,3,6126.922525,702.8926819999999,425.8000679016113,916.5
1,0,2,394.31363,alive,0,1,1,2,4,121.58733,BRU_Eaddy,account.e1c31aaef15d476e851c1118ea00cb4d,0,1658.2449,0,0,0,1812,1,2232.067,5,1,100.0,BRU,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,8d3e325c-fe67-4e2d-99cd-287fa4677ff3,"['BRU_Eaddy', 'BRU_GodMiao', 'BRU_Conaxy', 'BRU_Noardra']",1,8,3,5005.152825,1596.22372,548.3434867858887,1812.0
3,0,6,506.69366,alive,0,2,7,2,2,72.988716,BRU_GodMiao,account.8fca47b04daf43e6aba289413db95d01,0,2604.7336,0,0,0,1812,0,2666.8162,7,1,211.6458396911621,BRU,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,8d3e325c-fe67-4e2d-99cd-287fa4677ff3,"['BRU_Eaddy', 'BRU_GodMiao', 'BRU_Conaxy', 'BRU_Noardra']",1,8,3,5005.152825,1596.22372,548.3434867858887,1812.0
0,2,3,367.40665,alive,0,1,20,1,1,66.511154,BRU_Conaxy,account.4b54a2259d454d50a800ee4248a18fd2,1,3162.1028,0,0,0,1812,1,2258.265,3,1,61.129150390625,BRU,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,8d3e325c-fe67-4e2d-99cd-287fa4677ff3,"['BRU_Eaddy', 'BRU_GodMiao', 'BRU_Conaxy', 'BRU_Noardra']",1,8,3,5005.152825,1596.22372,548.3434867858887,1812.0
1,1,7,327.80978,alive,0,4,21,1,1,39.08369,BRU_Noardra,account.f606f249b0574583869ad76f05381161,0,3010.758,0,0,0,1812,0,2427.6238,2,1,175.56849670410156,BRU,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,8d3e325c-fe67-4e2d-99cd-287fa4677ff3,"['BRU_Eaddy', 'BRU_GodMiao', 'BRU_Conaxy', 'BRU_Noardra']",1,8,3,5005.152825,1596.22372,548.3434867858887,1812.0
4,1,5,283.12476,byplayer,1,1,16,1,2,155.42119,PeRo_Myl,account.c12ed0be526b463ca97ceb41b0cbbfe5,0,9533.931,0,0,0,1137,1,709.7584,4,13,132.6223373413086,PeRo,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,a63b5013-e102-4ac0-b8d0-48ec8c970c07,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1']",13,2,3,9957.5422825,460.93896399999994,578.3198432922363,1063.75
0,2,3,147.77237,byplayer,0,2,56,0,0,0.0,PeRo_Aixleft,account.5f204ec2d736445490ccc3a43fae700e,0,9653.253,0,0,0,1137,0,866.9175,7,13,149.53165435791016,PeRo,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,a63b5013-e102-4ac0-b8d0-48ec8c970c07,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1']",13,2,3,9957.5422825,460.93896399999994,578.3198432922363,1063.75
0,0,2,0.0,byplayer,0,0,57,0,0,0.0,PeRo_Mamu,account.4b6cdac82d4846d4a160ee7e54bf38e5,0,7332.8213,0,0,0,844,0,659.0634,3,13,100.0,PeRo,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,a63b5013-e102-4ac0-b8d0-48ec8c970c07,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1']",13,2,3,9957.5422825,460.93896399999994,578.3198432922363,1063.75
0,0,4,30.041834,byplayer,0,2,55,0,0,0.0,PeRo_mingz1,account.a19adf3652f34573a5dd707b9828dae6,0,10306.853,0,0,0,1137,0,767.57153,5,13,196.16585159301758,PeRo,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,a63b5013-e102-4ac0-b8d0-48ec8c970c07,"['PeRo_Myl', 'PeRo_Aixleft', 'PeRo_Mamu', 'PeRo_mingz1']",13,2,3,9957.5422825,460.93896399999994,578.3198432922363,1063.75
0,0,1,56.399998,byplayer,0,0,36,0,0,0.0,TL_mxey,account.e0eb2ef6f3834862bea364b261552568,0,5866.5864,0,0,0,571,0,223.87187,4,3,99.99999809265137,TL,2ad7e9d2-2e99-4649-9a75-10c3ab9e62c5,2021-11-20T11:08:40Z,Erangel (Remastered),1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/11/40/b426c989-49f6-11ec-9c21-16512f2173af-telemetry.json,02cc447e-d7a4-4eeb-92e9-8c64ebc84d27,"['TL_mxey', 'TL_ibiza', 'TL_jeemzz', 'TL_clib']",3,3,1,6812.1708225,432.552308,527.7326793670654,894.75
