dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,41.79023,byplayer,0,0,38,0,0,0.0,KX_YUPPIE,account.b70e24fc050242b4a2b27553d319cd70,0,7035.4873,0,0.0,0,742,0,507.67435,4,6,100.00000190734863,KX,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,9028a3dd-9991-4cdc-8b9a-2c879dfbb292,"['KX_YUPPIE', 'KX_Cobra', 'KX_Yuren', 'KX_Lanren']",6,3,0,7659.1501475,385.74001999999996,566.4370536804199,1017.25
1,0,1,247.56451,byplayer,1,2,11,1,2,214.13356,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,6903.7744,0,0.0,0,1406,0,1513.8633,6,6,246.07043838500977,KX,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,9028a3dd-9991-4cdc-8b9a-2c879dfbb292,"['KX_YUPPIE', 'KX_Cobra', 'KX_Yuren', 'KX_Lanren']",6,3,0,7659.1501475,385.74001999999996,566.4370536804199,1017.25
0,0,1,0.0,byplayer,0,0,39,0,0,0.0,KX_Yuren,account.06509a78c5f841e98d0900cd693b71e1,0,4681.87,0,0.0,0,515,0,522.12634,7,6,100.0,KX,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,9028a3dd-9991-4cdc-8b9a-2c879dfbb292,"['KX_YUPPIE', 'KX_Cobra', 'KX_Yuren', 'KX_Lanren']",6,3,0,7659.1501475,385.74001999999996,566.4370536804199,1017.25
0,0,3,96.38528,byplayer,0,0,21,1,1,435.14407,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,1,7864.344,0,0.0,0,1406,0,1607.4609,8,6,120.36661338806152,KX,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,9028a3dd-9991-4cdc-8b9a-2c879dfbb292,"['KX_YUPPIE', 'KX_Cobra', 'KX_Yuren', 'KX_Lanren']",6,3,0,7659.1501475,385.74001999999996,566.4370536804199,1017.25
1,0,1,117.200005,byplayer,1,0,10,1,2,151.78783,SSG_Sharpshot4k,account.670f0c169bfe43acb48094a3a1cb42b3,0,2390.1125,0,0.0,0,707,0,851.4911,6,5,0.0,SSG,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,edba797d-ef3d-425a-8f88-d9823d633974,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",5,3,0,2730.6467815,425.63394500000004,375.03997707366943,781.75
0,0,1,74.06525,byplayer,0,0,36,0,0,0.0,SSG_Roth,account.c502c0615ed54582a75dbd44f3eb1fb6,0,2125.766,0,0.0,0,647,0,810.825,3,5,100.00000286102295,SSG,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,edba797d-ef3d-425a-8f88-d9823d633974,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",5,3,0,2730.6467815,425.63394500000004,375.03997707366943,781.75
0,0,3,134.3687,byplayer,0,1,20,1,1,24.309612,SSG_Keenan,account.d41d767940c24b6dab6b1cd04b6790fd,0,2036.009,0,0.0,0,1421,0,1913.9751,6,5,175.03997421264648,SSG,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,edba797d-ef3d-425a-8f88-d9823d633974,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",5,3,0,2730.6467815,425.63394500000004,375.03997707366943,781.75
1,0,0,99.99999,byplayer,0,0,37,0,0,0.0,SSG_oldless,account.895937195477442b85686956ada8cd61,0,10.606326,0,0.0,0,352,0,783.8021,3,5,100.0,SSG,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,edba797d-ef3d-425a-8f88-d9823d633974,"['SSG_Sharpshot4k', 'SSG_Roth', 'SSG_Keenan', 'SSG_oldless']",5,3,0,2730.6467815,425.63394500000004,375.03997707366943,781.75
0,1,0,74.7,byplayer,0,0,65,0,0,0.0,NAVI_xmpl,account.17c1a48864e44944947c6fd4177425a6,0,1251.7733,0,0.0,0,314,0,357.7826,6,16,99.99999809265137,NAVI,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,3d1586b7-e48d-47b5-be24-60b6f7f2fb63,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy']",16,1,1,2051.308275,181.78000050000003,399.9999942779541,314.0
0,0,0,81.78,byplayer,0,0,64,0,0,0.0,NAVI_alya,account.da27ef080a6d4a5e8bc78a6a38e3b0a9,0,1568.9965,0,0.0,0,314,0,282.808,2,16,99.99999809265137,NAVI,2c4be80e-feb7-4b84-a074-c986d2bd681d,2021-11-21T10:39:51Z,Erangel (Remastered),1679,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/21/11/09/880b3b8a-4abb-11ec-9c21-16512f2173af-telemetry.json,3d1586b7-e48d-47b5-be24-60b6f7f2fb63,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy']",16,1,1,2051.308275,181.78000050000003,399.9999942779541,314.0
