dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,2,100.0,byplayer,0,1,26,1,1,14.8976,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,5964.5693,0,0.0,0,721,0,398.51712,4,15,117.20199966430664,TSM,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,e6002f2f-dc04-4167-ab86-376e45dc986d,"['TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta']",15,2,2,6013.9892549999995,300.0,430.25188159942627,697.5
1,1,0,100.0,byplayer,0,0,63,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,5407.815,0,0.0,0,703,0,500.7828,2,15,100.0000057220459,TSM,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,e6002f2f-dc04-4167-ab86-376e45dc986d,"['TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta']",15,2,2,6013.9892549999995,300.0,430.25188159942627,697.5
0,0,1,0.0,byplayer,0,0,62,0,0,0.0,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,5198.286,0,0.0,0,721,0,576.4876,5,15,113.04988193511963,TSM,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,e6002f2f-dc04-4167-ab86-376e45dc986d,"['TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta']",15,2,2,6013.9892549999995,300.0,430.25188159942627,697.5
1,0,0,100.0,byplayer,1,0,27,1,1,12.270487,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,5446.306,0,0.0,0,645,0,563.1932,4,15,99.9999942779541,TSM,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,e6002f2f-dc04-4167-ab86-376e45dc986d,"['TSM_FTX_ALOW', 'TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta']",15,2,2,6013.9892549999995,300.0,430.25188159942627,697.5
3,2,2,553.80756,byplayer,2,2,10,1,3,237.92438,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,2,2812.13,0,0.0,0,1528,0,2118.6213,4,5,276.25929832458496,HERO,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,aca89ebf-f5f6-4e3f-af9e-7b27c31969b6,"['HERO_Beami', 'HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone']",5,14,12,5282.754075,1891.7287,1139.4543628692627,1542.75
5,1,3,575.9241,byplayer,1,4,1,1,6,94.902725,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,0,3443.145,0,0.0,0,1583,1,2487.7263,5,5,313.4376449584961,HERO,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,aca89ebf-f5f6-4e3f-af9e-7b27c31969b6,"['HERO_Beami', 'HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone']",5,14,12,5282.754075,1891.7287,1139.4543628692627,1542.75
2,3,3,470.3714,byplayer,0,4,9,2,3,77.53478,HERO_PaG3,account.e4854eb038a24f0e892229b66bc86a46,2,2078.376,0,0.0,0,1535,0,2972.624,4,5,309.4233913421631,HERO,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,aca89ebf-f5f6-4e3f-af9e-7b27c31969b6,"['HERO_Beami', 'HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone']",5,14,12,5282.754075,1891.7287,1139.4543628692627,1542.75
2,6,8,291.62564,byplayer,0,2,15,1,2,172.09047,HERO_TeaBone,account.b32ca34bce66479998f828724b99aabe,0,2420.7957,0,0.0,0,1525,0,2797.598,6,5,240.33402824401855,HERO,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,aca89ebf-f5f6-4e3f-af9e-7b27c31969b6,"['HERO_Beami', 'HERO_curexi', 'HERO_PaG3', 'HERO_TeaBone']",5,14,12,5282.754075,1891.7287,1139.4543628692627,1542.75
1,2,0,370.65616,byplayer,0,0,21,1,1,177.37277,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,1755.5106,0,0.0,0,1507,0,1268.3512,3,7,100.0,GBL,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,2ea047aa-0e95-4744-aab2-d9567724e6ba,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",7,1,4,3388.540175,1080.7113,585.5848255157471,1502.5
2,1,3,230.25722,byplayer,0,1,38,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,2049.579,0,0.0,0,1507,0,2486.3547,3,7,180.56114196777344,GBL,2e7e7ee4-a72a-4acf-b3a8-e0b1c2013437,2021-12-19T11:23:59Z,Erangel (Remastered),1902,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/11/57/d9918c89-60c2-11ec-9c21-16512f2173af-telemetry.json,2ea047aa-0e95-4744-aab2-d9567724e6ba,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",7,1,4,3388.540175,1080.7113,585.5848255157471,1502.5
