dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
4,3,6,523.71326,byplayer,0,7,2,1,5,286.93576,CES_HaiSaki,account.1bc5a0f2e4874ff791f9f0dd19328a82,0,2650.6829,0,0.0,0,1397,0,2631.9006,5,3,464.9278907775879,CES,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,02f614d6-b848-4542-955d-f10c9abf7d36,"['CES_HaiSaki', 'CES_YmCud', 'CES_Himass', 'CES_Taikonn']",3,16,10,4775.734675575,1661.63688,1666.9646606445312,1634.75
2,2,6,411.00272,byplayer,1,16,6,1,3,100.58543,CES_YmCud,account.b8c5905fab3644d3aacfbb6a31a04deb,3,1255.0278,0,3.1195877,0,1749,1,3390.6104,7,3,569.1724739074707,CES,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,02f614d6-b848-4542-955d-f10c9abf7d36,"['CES_HaiSaki', 'CES_YmCud', 'CES_Himass', 'CES_Taikonn']",3,16,10,4775.734675575,1661.63688,1666.9646606445312,1634.75
1,3,7,262.57495,byplayer,0,7,8,1,2,197.8307,CES_Himass,account.6e952239d81845e3b14f1c522231489d,0,1801.3242,0,0.0,0,1778,1,2970.5952,4,3,316.1693706512451,CES,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,02f614d6-b848-4542-955d-f10c9abf7d36,"['CES_HaiSaki', 'CES_YmCud', 'CES_Himass', 'CES_Taikonn']",3,16,10,4775.734675575,1661.63688,1666.9646606445312,1634.75
4,2,5,464.34595,byplayer,1,2,1,2,6,230.37674,CES_Taikonn,account.85802609a51743258c4b01f8a48069e8,1,639.33844,0,3.5795746,0,1615,0,3756.76,3,3,316.69492530822754,CES,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,02f614d6-b848-4542-955d-f10c9abf7d36,"['CES_HaiSaki', 'CES_YmCud', 'CES_Himass', 'CES_Taikonn']",3,16,10,4775.734675575,1661.63688,1666.9646606445312,1634.75
0,0,0,45.51,byplayer,0,1,66,0,0,0.0,TWIS_BatulinS,account.b99c743e8b5740e6aa7c796f3da58036,0,2331.1416,0,0.0,0,704,0,598.52344,5,16,151.13972282409668,TWIS,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,954aa720-a69a-435a-885d-9953b026c3df,"['TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro', 'TWIS_Lu']",16,3,3,2944.746585,542.6333159999999,475.1397285461426,704.0
1,0,1,85.061386,byplayer,0,0,30,1,1,131.08408,TWIS_Perfect1ks,account.ecfeaaa6808b4c61bb0174805176d359,0,1851.647,0,0.0,0,704,0,1063.1337,4,16,120.00000381469727,TWIS,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,954aa720-a69a-435a-885d-9953b026c3df,"['TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro', 'TWIS_Lu']",16,3,3,2944.746585,542.6333159999999,475.1397285461426,704.0
0,1,1,79.17707,byplayer,1,0,31,1,1,3.0004284,TWIS_spyrro,account.8dd02bf1316940e99c2374e931d68bf3,0,2531.5667,0,0.0,0,704,0,514.1859,3,16,100.0,TWIS,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,954aa720-a69a-435a-885d-9953b026c3df,"['TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro', 'TWIS_Lu']",16,3,3,2944.746585,542.6333159999999,475.1397285461426,704.0
2,2,1,332.88486,byplayer,1,0,32,1,1,53.85355,TWIS_Lu,account.7423d4656511452b9100507322af1929,0,2209.4312,0,0.0,0,704,0,679.3568,4,16,104.00000190734863,TWIS,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,954aa720-a69a-435a-885d-9953b026c3df,"['TWIS_BatulinS', 'TWIS_Perfect1ks', 'TWIS_spyrro', 'TWIS_Lu']",16,3,3,2944.746585,542.6333159999999,475.1397285461426,704.0
0,0,2,55.16784,byzone,0,3,57,0,0,0.0,SGD_Jervis,account.18ddfd6a61cf4151b48fd6502173b103,0,2755.7434,0,0.0,0,1079,0,841.8198,5,13,164.27549743652344,SGD,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,ca863eca-3ed0-4e90-80f3-3f14c268614d,"['SGD_Jervis', 'SGD_Shen', 'SGD_Sophiya', 'SGD_Leo']",13,0,0,4228.589225,293.01835,552.5740928649902,1073.5
1,0,2,119.307205,byplayer,0,0,56,0,0,0.0,SGD_Shen,account.72ce5e33cace45f988cd06a52d30c213,0,3030.9343,0,0.0,0,1083,0,1232.4674,5,13,110.0,SGD,3331a92f-f89b-4417-a9ad-35777bf43490,2022-11-03T15:54:16Z,Erangel (Remastered),1793,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/16/26/3739a10f-5b94-11ed-a4c3-16512f2173af-telemetry.json,ca863eca-3ed0-4e90-80f3-3f14c268614d,"['SGD_Jervis', 'SGD_Shen', 'SGD_Sophiya', 'SGD_Leo']",13,0,0,4228.589225,293.01835,552.5740928649902,1073.5
