dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,11.743487,byplayer,0,1,63,0,0,0.0,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,6265.6987,0,0,0,837,0,594.3553,4,15,136.82021713256836,FURY,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,1cdd57af-6710-4d97-8a92-ad36b60eb6d5,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",15,0,0,6357.8971624999995,263.822497,521.7607765197754,890.5
0,0,2,93.5578,byplayer,0,1,60,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,6051.73,0,0,0,1023,0,734.02295,7,15,158.89710235595703,FURY,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,1cdd57af-6710-4d97-8a92-ad36b60eb6d5,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",15,0,0,6357.8971624999995,263.822497,521.7607765197754,890.5
0,0,0,158.52121,byplayer,0,1,61,0,0,0.0,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,4256.912,0,0,0,858,0,918.5044,4,15,126.04345512390137,FURY,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,1cdd57af-6710-4d97-8a92-ad36b60eb6d5,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",15,0,0,6357.8971624999995,263.822497,521.7607765197754,890.5
0,0,0,0.0,byplayer,0,0,62,0,0,0.0,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,0,6021.5596,0,0,0,844,0,588.8057,4,15,100.00000190734863,FURY,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,1cdd57af-6710-4d97-8a92-ad36b60eb6d5,"['FURY_Ykikamucow', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ronon']",15,0,0,6357.8971624999995,263.822497,521.7607765197754,890.5
0,0,1,0.0,byplayer,0,0,45,0,0,0.0,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,3765.7822,0,0,0,727,0,671.1133,5,9,82.79901123046875,NH,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,5c2149a7-f371-44bf-a200-38b568ae9135,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm', 'NH_MMing']",9,8,3,5192.8822875000005,813.798252,702.2250366210938,987.25
1,2,8,264.1204,byplayer,0,5,19,1,1,8.881995,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,4312.9614,0,0,0,1255,0,1578.0585,5,9,309.6550178527832,NH,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,5c2149a7-f371-44bf-a200-38b568ae9135,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm', 'NH_MMing']",9,8,3,5192.8822875000005,813.798252,702.2250366210938,987.25
0,0,0,25.783852,byplayer,0,0,46,0,0,0.0,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,4575.752,0,0,0,721,0,478.52835,3,9,100.0,NH,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,5c2149a7-f371-44bf-a200-38b568ae9135,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm', 'NH_MMing']",9,8,3,5192.8822875000005,813.798252,702.2250366210938,987.25
4,1,6,523.894,byplayer,0,2,1,3,7,314.65512,NH_MMing,account.7ad389e823c4417abf2d58080546627c,1,3871.7524,0,0,0,1246,0,1517.581,4,9,209.7710075378418,NH,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,5c2149a7-f371-44bf-a200-38b568ae9135,"['NH_ZpYan1', 'NH_Nannnnn', 'NH_HSmm', 'NH_MMing']",9,8,3,5192.8822875000005,813.798252,702.2250366210938,987.25
0,0,1,118.29561,byplayer,0,0,43,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,5158.89,0,0,0,714,0,611.4281,5,8,100.0,SSG,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,c655dc3a-f995-479c-ba55-7bbfa836b3cb,"['SSG_Roth', 'SSG_oldless', 'SSG_Keenan', 'SSG_Sharpshot4k']",8,2,0,4798.9197775,393.94509,657.6289548873901,1001.5
0,0,0,0.0,byplayer,0,1,44,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,3055.1704,0,0,0,693,0,452.04297,3,8,150.5699977874756,SSG,33febdf8-88c7-4fbd-8ec0-eb809134f83d,2021-12-19T09:56:45Z,Erangel (Remastered),1804,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/10/28/6df604a8-60b6-11ec-9c21-16512f2173af-telemetry.json,c655dc3a-f995-479c-ba55-7bbfa836b3cb,"['SSG_Roth', 'SSG_oldless', 'SSG_Keenan', 'SSG_Sharpshot4k']",8,2,0,4798.9197775,393.94509,657.6289548873901,1001.5
