dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,2,44.17691,byplayer,0,0,57,0,0,0.0,DAY_Flash,account.cfe54eb81f1240108673bfa04304580d,0,7345.4307,0,0,0,1072,0,880.30994,5,13,110.87222480773926,DAY,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,0267482f-c77e-4ebb-9a3c-8fe923bc33cf,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,0,2,7818.70831,367.81937999999997,494.5289478302002,1072.0
2,1,1,152.71855,byplayer,0,1,55,0,0,0.0,DAY_Nourinz,account.77a9426605734fb197ad2f27012d098e,0,7322.007,0,0,0,1072,0,1084.8423,5,13,153.43550872802734,DAY,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,0267482f-c77e-4ebb-9a3c-8fe923bc33cf,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,0,2,7818.70831,367.81937999999997,494.5289478302002,1072.0
0,0,2,94.36392,byplayer,0,0,56,0,0,0.0,DAY_PuuChiwz,account.aa926bda70894a5597ce44e11faf5ae1,0,5852.483,0,0,0,1072,0,1082.0281,7,13,130.2212142944336,DAY,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,0267482f-c77e-4ebb-9a3c-8fe923bc33cf,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,0,2,7818.70831,367.81937999999997,494.5289478302002,1072.0
0,1,1,76.56,byplayer,0,0,54,0,0,0.0,DAY_Belmoth,account.ca498222d9684d96ae46691459ae1035,0,6625.1206,0,0,0,1072,0,1082.6116,6,13,100.0,DAY,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,0267482f-c77e-4ebb-9a3c-8fe923bc33cf,"['DAY_Flash', 'DAY_Nourinz', 'DAY_PuuChiwz', 'DAY_Belmoth']",13,0,2,7818.70831,367.81937999999997,494.5289478302002,1072.0
0,1,2,146.3875,byplayer,0,5,52,0,0,0.0,TMA_Xiaoha1xxxx,account.a66ea3e14f5a4b94a9bd8eeb01e7bc99,0,3307.4004,0,0,0,1150,0,1577.3735,4,12,363.8079586029053,TMA,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,779440c8-248c-4ebe-864a-128aaf5834d2,"['TMA_Xiaoha1xxxx', 'TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112']",12,3,2,5281.147025,740.5935999999999,1137.1750030517578,1146.75
1,0,7,27.44964,byplayer,0,2,23,1,1,3.5302103,TMA_YUPPIE,account.136f97755ea04150adb72686d5d80398,2,4318.931,0,0,0,1150,0,1194.3774,6,12,166.2394199371338,TMA,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,779440c8-248c-4ebe-864a-128aaf5834d2,"['TMA_Xiaoha1xxxx', 'TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112']",12,3,2,5281.147025,740.5935999999999,1137.1750030517578,1146.75
2,0,4,320.6314,byplayer,0,3,17,1,2,51.834072,TMA_LuLualways,account.88f69f9f883e475ba141afc5cdcfa2ed,1,3346.674,0,0,0,1150,0,1840.9435,3,12,249.83749389648438,TMA,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,779440c8-248c-4ebe-864a-128aaf5834d2,"['TMA_Xiaoha1xxxx', 'TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112']",12,3,2,5281.147025,740.5935999999999,1137.1750030517578,1146.75
1,1,5,246.12506,byzone,0,3,53,0,0,0.0,TMA_CRAZY112,account.39cefaacd918414cb365cefa6d596f8d,1,3933.9707,0,0,0,1137,0,1604.9176,6,12,357.2901306152344,TMA,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,779440c8-248c-4ebe-864a-128aaf5834d2,"['TMA_Xiaoha1xxxx', 'TMA_YUPPIE', 'TMA_LuLualways', 'TMA_CRAZY112']",12,3,2,5281.147025,740.5935999999999,1137.1750030517578,1146.75
0,0,4,44.557014,byplayer,0,1,31,0,0,0.0,QM_HoBBitEz,account.4fbd5a8236b54beaab4fc9f606260965,0,5690.4224,0,0,0,1462,0,1696.9194,6,3,165.24365997314453,QM,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,044c5f68-3ba6-415f-a532-b5d5b2bd602b,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_DaNte']",3,4,0,7760.844375000001,1360.5684840000001,1114.6782207489014,1628.25
3,0,4,695.4587,byplayer,2,4,5,1,3,256.38565,QM_F1lfirst,account.e59e5914ee7b45499702b0632aaeaee5,0,6036.0396,0,0,0,1684,0,1872.1335,5,3,374.8904266357422,QM,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,044c5f68-3ba6-415f-a532-b5d5b2bd602b,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_DaNte']",3,4,0,7760.844375000001,1360.5684840000001,1114.6782207489014,1628.25
0,0,6,348.67697,byplayer,0,10,19,1,1,57.188477,QM_ADOUZ1E,account.46808f45b4834bcb9e91751a3df9aceb,3,4639.713,0,0,0,1683,0,2676.1548,5,3,271.12449836730957,QM,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,044c5f68-3ba6-415f-a532-b5d5b2bd602b,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_DaNte']",3,4,0,7760.844375000001,1360.5684840000001,1114.6782207489014,1628.25
1,0,3,271.8758,byplayer,0,3,30,0,0,0.0,QM_DaNte,account.726610ed4e384ccea442b02e601be327,0,6955.1567,0,0,0,1684,0,1476.8381,3,3,303.4196357727051,QM,3606eb13-85ec-4406-a50a-b71a8515c702,2022-11-17T15:10:33Z,Miramar,1812,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/17/15/42/7a73c146-668e-11ed-a4c3-16512f2173af-telemetry.json,044c5f68-3ba6-415f-a532-b5d5b2bd602b,"['QM_HoBBitEz', 'QM_F1lfirst', 'QM_ADOUZ1E', 'QM_DaNte']",3,4,0,7760.844375000001,1360.5684840000001,1114.6782207489014,1628.25
