dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,9,372.3806,byplayer,1,10,4,1,3,65.51179,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,10241.435,0,0.0,0,1906,0,1637.8813,5,2,606.285252571106,FURY,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e11c6f6b-e5ff-4d6d-87dc-78edea7d8b56,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",2,8,1,12020.50545,1736.66817,1447.7229208946228,1701.0
0,0,1,133.72902,byplayer,0,1,19,1,1,327.96136,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,10763.505,0,0.0,0,1086,0,748.8081,4,2,173.90903282165527,FURY,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e11c6f6b-e5ff-4d6d-87dc-78edea7d8b56,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",2,8,1,12020.50545,1736.66817,1447.7229208946228,1701.0
3,0,5,816.7777,byplayer,1,3,5,1,3,61.67031,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,11378.866,0,0.0,0,1906,0,1318.9465,4,2,287.48938941955566,FURY,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e11c6f6b-e5ff-4d6d-87dc-78edea7d8b56,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",2,8,1,12020.50545,1736.66817,1447.7229208946228,1701.0
2,0,7,413.78085,byplayer,0,11,18,1,1,59.73438,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,1,10338.555,0,0.0,0,1906,2,1654.0249,6,2,380.0392460823059,FURY,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e11c6f6b-e5ff-4d6d-87dc-78edea7d8b56,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",2,8,1,12020.50545,1736.66817,1447.7229208946228,1701.0
1,0,6,230.6353,byplayer,0,12,20,1,1,57.229992,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,668.7185,0,0.0,0,1450,0,1067.8665,6,3,435.6377182006836,DNW,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,d9b3d12a-63ff-44d1-9352-403d8486bb88,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",3,6,4,2574.76336,1416.14946,1410.9851274490356,1642.0
2,3,9,490.66107,byplayer,0,5,33,0,0,0.0,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,893.25464,0,0.0,0,1869,1,1742.4152,2,3,428.619402885437,DNW,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,d9b3d12a-63ff-44d1-9352-403d8486bb88,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",3,6,4,2574.76336,1416.14946,1410.9851274490356,1642.0
1,0,2,163.15689,byplayer,0,3,21,1,1,46.260353,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,1536.9775,0,0.0,0,1359,0,1040.4167,5,3,291.3818645477295,DNW,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,d9b3d12a-63ff-44d1-9352-403d8486bb88,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",3,6,4,2574.76336,1416.14946,1410.9851274490356,1642.0
4,1,8,531.6962,byplayer,1,3,2,2,4,114.06416,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,2,1296.317,0,0.0,0,1890,0,2053.0874,5,3,255.34614181518555,DNW,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,d9b3d12a-63ff-44d1-9352-403d8486bb88,"['DNW_Salute', 'DNW_seoul', 'DNW_Rex', 'DNW_LeClo']",3,6,4,2574.76336,1416.14946,1410.9851274490356,1642.0
0,0,2,0.0,byzone,0,5,42,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,2411.1748,0,0.0,0,1524,0,1084.7935,8,6,169.46856498718262,SSG,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e745531d-80f3-46ea-bebc-889f5b3163d3,"['SSG_oldless', 'SSG_Keenan', 'SSG_Sharpshot4k', 'SSG_Roth']",6,0,1,3625.3632749999997,418.89838,795.5313663482666,1617.0
0,0,5,170.163,byplayer,0,5,40,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,1,2802.2131,0,0.0,0,1676,0,1137.3109,4,6,206.94941329956055,SSG,3624cd94-89ad-4532-b0a4-3df64159f7fa,2021-11-30T09:52:47Z,Erangel (Remastered),1906,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/30/10/26/f9c5b533-51c7-11ec-9c21-16512f2173af-telemetry.json,e745531d-80f3-46ea-bebc-889f5b3163d3,"['SSG_oldless', 'SSG_Keenan', 'SSG_Sharpshot4k', 'SSG_Roth']",6,0,1,3625.3632749999997,418.89838,795.5313663482666,1617.0
