dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,66,0,0,0.0,KDF_Hikari,account.05e75b5790664e59a518a15e5e0afe8e,0,507.2938,0,0.0,0,188,0,274.53943,1,16,100.0,KDF,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,9d2290e0-ac15-4279-a736-e4f505fff05f,"['KDF_Hikari', 'KDF_Akad', 'KDF_LashK', 'KDF_EEND']",16,0,0,1147.99616625,47.879997,399.99999046325684,234.5
0,0,0,47.879997,byplayer,0,0,63,0,0,0.0,KDF_Akad,account.1139a3f17e8e478c9bf6e4ff982341ee,0,908.44653,0,0.0,0,299,0,184.40627,2,16,99.9999942779541,KDF,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,9d2290e0-ac15-4279-a736-e4f505fff05f,"['KDF_Hikari', 'KDF_Akad', 'KDF_LashK', 'KDF_EEND']",16,0,0,1147.99616625,47.879997,399.99999046325684,234.5
0,0,0,0.0,byplayer,0,0,64,0,0,0.0,KDF_LashK,account.18a578577b6343e0ba02958e7228b680,0,1465.0863,0,0.0,0,227,0,22.453575,0,16,100.0,KDF,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,9d2290e0-ac15-4279-a736-e4f505fff05f,"['KDF_Hikari', 'KDF_Akad', 'KDF_LashK', 'KDF_EEND']",16,0,0,1147.99616625,47.879997,399.99999046325684,234.5
0,0,0,0.0,byplayer,0,0,65,0,0,0.0,KDF_EEND,account.296ae73a09144f949505b831843253ca,0,1103.8032,0,0.0,0,224,0,125.95556,2,16,99.99999618530273,KDF,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,9d2290e0-ac15-4279-a736-e4f505fff05f,"['KDF_Hikari', 'KDF_Akad', 'KDF_LashK', 'KDF_EEND']",16,0,0,1147.99616625,47.879997,399.99999046325684,234.5
3,1,4,362.64627,byplayer,1,5,4,2,4,240.77429,FaZe_D1gg3r1,account.be21a1914543479f82536578cbb62929,0,6913.619,0,0.0,0,1450,0,1308.8165,5,4,339.6201477050781,FaZe,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,0f26ffee-20cc-42e7-9c08-35632671656b,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Aitzy']",4,6,2,8819.120675,938.07332,1045.5545740127563,1326.25
0,1,2,166.92853,byplayer,0,2,19,1,1,250.68549,FaZe_Fexx,account.0d211f1fa8fd4d17823c98be5d693ac4,0,7892.4956,0,0.0,0,1229,0,1480.5902,4,4,227.26901245117188,FaZe,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,0f26ffee-20cc-42e7-9c08-35632671656b,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Aitzy']",4,6,2,8819.120675,938.07332,1045.5545740127563,1326.25
1,0,7,304.16168,byplayer,1,3,18,1,1,101.91997,FaZe_Gustav,account.ba4dcfc4247641e2bef7e102fa19eaf5,0,7592.4907,0,0.0,0,1435,0,1655.17,3,4,385.0208559036255,FaZe,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,0f26ffee-20cc-42e7-9c08-35632671656b,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Aitzy']",4,6,2,8819.120675,938.07332,1045.5545740127563,1326.25
0,0,0,104.33684,byplayer,0,0,37,0,0,0.0,FaZe_Aitzy,account.d6769b94f5b84589a6a706d77edec3c4,1,6770.6177,0,0.0,0,1191,0,1662.683,4,4,93.64455795288086,FaZe,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,0f26ffee-20cc-42e7-9c08-35632671656b,"['FaZe_D1gg3r1', 'FaZe_Fexx', 'FaZe_Gustav', 'FaZe_Aitzy']",4,6,2,8819.120675,938.07332,1045.5545740127563,1326.25
0,0,0,63.96,byplayer,0,0,61,0,0,0.0,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,0,2230.282,0,0.0,0,702,0,569.1319,3,15,99.99999618530273,DNW,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,060567b2-58ac-415b-a867-a42bee0d9ead,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",15,1,2,2417.6053,299.572165,399.99999046325684,701.5
1,0,0,45.88,byplayer,1,0,31,1,1,60.16042,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,0,1986.8723,0,0.0,0,705,0,555.7903,5,15,99.99999618530273,DNW,36a6208b-5cbb-4298-8cb7-1f3b34c32f0c,2022-11-20T15:58:02Z,Erangel (Remastered),1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/16/29/880e9c85-68f0-11ed-a4c3-16512f2173af-telemetry.json,060567b2-58ac-415b-a867-a42bee0d9ead,"['DNW_Lambu', 'DNW_Salute', 'DNW_seoul', 'DNW_HelleN']",15,1,2,2417.6053,299.572165,399.99999046325684,701.5
