dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,2,4,367.03848,alive,0,3,13,1,1,16.135286,KX_Lanren,account.03f9c9ef7bee42169b07f8ef609fd43e,2,8150.465,0,0,0,1677,0,1760.8505,3,1,324.4475746154785,KX,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,9f445679-298f-4cf4-8633-419abf1f6dfb,"['KX_Lanren', 'KX_YUPPIE', 'KX_Cobra', 'KX_Yuren']",1,10,5,9302.1648075,1471.8862399999998,1039.817792892456,1523.75
0,0,3,0.0,alive,0,1,33,0,0,0.0,KX_YUPPIE,account.3dee89947aec409a9854988043fee975,0,8445.491,0,0,0,1064,0,772.66833,4,1,186.7114143371582,KX,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,9f445679-298f-4cf4-8633-419abf1f6dfb,"['KX_Lanren', 'KX_YUPPIE', 'KX_Cobra', 'KX_Yuren']",1,10,5,9302.1648075,1471.8862399999998,1039.817792892456,1523.75
2,1,6,548.66626,alive,2,5,3,2,4,218.2851,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,6797.7017,0,0,0,1677,0,2585.8586,6,1,258.1638526916504,KX,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,9f445679-298f-4cf4-8633-419abf1f6dfb,"['KX_Lanren', 'KX_YUPPIE', 'KX_Cobra', 'KX_Yuren']",1,10,5,9302.1648075,1471.8862399999998,1039.817792892456,1523.75
2,2,1,556.1815,alive,2,2,1,2,5,274.10788,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,7172.083,0,0,0,1677,0,1523.5411,7,1,270.49495124816895,KX,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,9f445679-298f-4cf4-8633-419abf1f6dfb,"['KX_Lanren', 'KX_YUPPIE', 'KX_Cobra', 'KX_Yuren']",1,10,5,9302.1648075,1471.8862399999998,1039.817792892456,1523.75
1,0,3,131.99428,byzone,0,8,23,1,1,20.401033,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,4699.476,0,0,0,1273,0,1805.0262,4,9,156.74864387512207,NAVI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,e03a4d4f-55de-4b54-acd4-9db63f5f31d0,"['NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_xmpl']",9,1,0,4975.223275,260.06678999999997,600.8496417999268,1004.0
0,0,2,128.07251,byplayer,0,2,46,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,4077.8674,0,0,0,986,0,1186.2905,4,9,239.10099601745605,NAVI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,e03a4d4f-55de-4b54-acd4-9db63f5f31d0,"['NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_xmpl']",9,1,0,4975.223275,260.06678999999997,600.8496417999268,1004.0
0,0,1,0.0,byplayer,0,1,47,0,0,0.0,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,3619.6963,0,0,0,947,0,807.4785,5,9,105.00000190734863,NAVI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,e03a4d4f-55de-4b54-acd4-9db63f5f31d0,"['NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_xmpl']",9,1,0,4975.223275,260.06678999999997,600.8496417999268,1004.0
0,0,0,0.0,byplayer,0,0,48,0,0,0.0,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,2859.7278,0,0,0,810,0,845.3304,6,9,100.0,NAVI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,e03a4d4f-55de-4b54-acd4-9db63f5f31d0,"['NAVI_Qwizzy', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_xmpl']",9,1,0,4975.223275,260.06678999999997,600.8496417999268,1004.0
1,2,8,241.57626,byplayer,0,3,19,1,1,59.123314,KPI_Capitan,account.41ed8d4ced7a425983957dc8945af089,1,4508.6523,0,0,0,1524,0,1290.1544,5,5,170.14182090759277,KPI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,f3a4ddae-aec3-4c95-9799-6c5a703c2ca7,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_SzylzEN']",5,6,6,5980.669475,1388.21018,959.8146286010742,1572.5
2,0,2,373.7606,byplayer,1,1,9,2,2,33.337887,KPI_Dr4FTk1NG,account.a459daaf69b44d6c891e4a2dc1554f04,1,5193.738,0,0,0,1609,0,1378.3955,6,5,130.59219360351562,KPI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,f3a4ddae-aec3-4c95-9799-6c5a703c2ca7,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_SzylzEN']",5,6,6,5980.669475,1388.21018,959.8146286010742,1572.5
1,1,8,185.34732,byplayer,0,2,38,0,0,0.0,KPI_Em1hh,account.f8ab36983e5b45fab39d06d49990728c,0,4581.627,0,0,0,1548,0,1001.0375,5,5,261.0400037765503,KPI,3779302e-9a96-4c94-a45a-3493efec5d14,2021-12-19T12:06:04Z,Miramar,1677,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/19/12/35/34d9eea7-60c8-11ec-9c21-16512f2173af-telemetry.json,f3a4ddae-aec3-4c95-9799-6c5a703c2ca7,"['KPI_Capitan', 'KPI_Dr4FTk1NG', 'KPI_Em1hh', 'KPI_SzylzEN']",5,6,6,5980.669475,1388.21018,959.8146286010742,1572.5
