dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,1,28.568893,byplayer,0,0,60,0,0,0.0,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,3224.253,0,0,0,511,0,273.2111,5,13,100.00000190734863,ENCE,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,e5f0c96b-b1b3-4ff0-a68c-5803f992e8ab,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",13,2,1,4088.7487325,738.307093,528.3174648284912,757.25
2,0,3,411.3382,byplayer,0,1,59,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,3976.4731,0,0,0,1046,0,943.10455,6,13,141.99999809265137,ENCE,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,e5f0c96b-b1b3-4ff0-a68c-5803f992e8ab,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",13,2,1,4088.7487325,738.307093,528.3174648284912,757.25
1,0,0,198.4,byplayer,0,0,30,1,1,25.401194,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,2485.2822,0,0,0,505,0,454.41968,5,13,100.0,ENCE,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,e5f0c96b-b1b3-4ff0-a68c-5803f992e8ab,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",13,2,1,4088.7487325,738.307093,528.3174648284912,757.25
1,0,3,100.0,byplayer,0,2,29,1,1,20.373226,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,3715.442,0,0,0,967,0,1282.8093,7,13,186.3174648284912,ENCE,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,e5f0c96b-b1b3-4ff0-a68c-5803f992e8ab,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",13,2,1,4088.7487325,738.307093,528.3174648284912,757.25
0,0,3,23.428043,byplayer,0,5,47,0,0,0.0,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,6211.1074,0,0,0,857,0,793.7163,4,8,194.82519817352295,DNW,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,c0669884-06c1-4975-902f-53e027267e61,"['DNW_seoul', 'DNW_Rex', 'DNW_Salute', 'DNW_LeClo']",8,2,1,6750.07048,566.763013,941.5393981933594,1084.5
0,0,5,205.76167,byplayer,1,3,24,1,1,107.81504,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,5616.6973,0,0,0,1299,0,1097.119,5,8,295.5224771499634,DNW,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,c0669884-06c1-4975-902f-53e027267e61,"['DNW_seoul', 'DNW_Rex', 'DNW_Salute', 'DNW_LeClo']",8,2,1,6750.07048,566.763013,941.5393981933594,1084.5
2,1,6,295.9933,byplayer,0,7,23,1,1,7.295451,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,1,6086.4883,0,0,0,1299,0,886.22955,6,8,347.19171714782715,DNW,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,c0669884-06c1-4975-902f-53e027267e61,"['DNW_seoul', 'DNW_Rex', 'DNW_Salute', 'DNW_LeClo']",8,2,1,6750.07048,566.763013,941.5393981933594,1084.5
0,0,3,41.58,byplayer,0,0,46,0,0,0.0,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,0,5473.768,0,0,0,883,0,835.15607,4,8,104.0000057220459,DNW,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,c0669884-06c1-4975-902f-53e027267e61,"['DNW_seoul', 'DNW_Rex', 'DNW_Salute', 'DNW_LeClo']",8,2,1,6750.07048,566.763013,941.5393981933594,1084.5
6,1,6,693.3962,alive,1,3,3,3,4,177.09216,HERO_Beami,account.2ea6d149fa8c4c00864b5beb234da964,0,6945.0483,0,0,0,1817,0,1641.5101,7,1,264.88213539123535,HERO,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,febc002b-d807-4bf8-8675-9aaaf06463ab,"['HERO_Beami', 'HERO_curexi', 'HERO_TeaBone', 'HERO_PaG3']",1,8,6,8907.125624999999,1999.5776,1183.3170816898346,1817.0
1,3,8,525.4859,alive,1,3,12,1,1,83.58541,HERO_curexi,account.4fdab66530644ba2aba72d2ca98eb90a,1,7257.7573,0,0,0,1817,0,1411.924,4,1,186.76693153381348,HERO,38f19ff8-6450-45a4-8116-9126a7426797,2021-12-07T11:50:38Z,Erangel (Remastered),1817,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/07/12/22/636eb68b-5758-11ec-9c21-16512f2173af-telemetry.json,febc002b-d807-4bf8-8675-9aaaf06463ab,"['HERO_Beami', 'HERO_curexi', 'HERO_TeaBone', 'HERO_PaG3']",1,8,6,8907.125624999999,1999.5776,1183.3170816898346,1817.0
