dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,5,499.8596,byplayer,0,3,3,1,4,409.3562,GNL_Heaven,account.cd465904d99b4669a9e43f368d7c0e71,0,1138.201,0,0,0,1489,0,1896.0944,5,4,302.9353275299072,GNL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,3d388018-e6e3-4bcd-ae1f-ec3df58bb0fe,"['GNL_Heaven', 'GNL_Americano', 'GNL_Corn', 'GNL_Tosi']",4,6,4,3308.9281,1346.9393599999999,1006.703616142273,1537.75
0,2,3,382.0851,byplayer,0,2,19,1,1,61.649445,GNL_Americano,account.2f99f4b4be7f440d8a4fc98fe40f2143,0,1992.4689,0,0,0,1650,0,1650.292,5,4,198.2553882598877,GNL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,3d388018-e6e3-4bcd-ae1f-ec3df58bb0fe,"['GNL_Heaven', 'GNL_Americano', 'GNL_Corn', 'GNL_Tosi']",4,6,4,3308.9281,1346.9393599999999,1006.703616142273,1537.75
1,1,6,198.0499,byplayer,0,4,18,1,1,237.17145,GNL_Corn,account.15923c996fb440a4984764eb949a6f0d,0,1459.6245,0,0,0,1650,0,1846.6467,5,4,338.6961307525635,GNL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,3d388018-e6e3-4bcd-ae1f-ec3df58bb0fe,"['GNL_Heaven', 'GNL_Americano', 'GNL_Corn', 'GNL_Tosi']",4,6,4,3308.9281,1346.9393599999999,1006.703616142273,1537.75
1,0,4,266.94476,byplayer,0,0,38,0,0,0.0,GNL_Tosi,account.0fed1c0f03eb4b2d84a90eae6c2360cc,0,1724.4263,0,0,0,1362,0,1527.9586,4,4,166.81676959991455,GNL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,3d388018-e6e3-4bcd-ae1f-ec3df58bb0fe,"['GNL_Heaven', 'GNL_Americano', 'GNL_Corn', 'GNL_Tosi']",4,6,4,3308.9281,1346.9393599999999,1006.703616142273,1537.75
0,0,1,175.32834,byplayer,0,1,66,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,5928.215,0,0,0,887,0,954.11884,5,16,165.2489776611328,NH,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,31eff1ac-70bb-40b3-b3ff-d6b03e9cba7d,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",16,2,0,5644.26196,554.9958260000001,508.76989459991455,792.25
2,0,2,265.6658,byplayer,1,2,32,1,1,284.34705,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,6436.522,0,0,0,893,0,961.84796,6,16,132.9212474822998,NH,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,31eff1ac-70bb-40b3-b3ff-d6b03e9cba7d,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",16,2,0,5644.26196,554.9958260000001,508.76989459991455,792.25
0,0,2,0.0,byplayer,0,1,67,0,0,0.0,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,2188.1382,0,0,0,496,0,460.6201,5,16,100.00000190734863,NH,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,31eff1ac-70bb-40b3-b3ff-d6b03e9cba7d,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",16,2,0,5644.26196,554.9958260000001,508.76989459991455,792.25
1,0,2,114.001686,byplayer,1,0,31,1,1,18.44794,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,4755.5327,0,0,0,893,0,892.05304,6,16,110.5996675491333,NH,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,31eff1ac-70bb-40b3-b3ff-d6b03e9cba7d,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",16,2,0,5644.26196,554.9958260000001,508.76989459991455,792.25
2,2,5,389.89615,byplayer,0,0,9,1,2,214.0368,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,1,2970.0837,0,0,0,1499,0,1314.4509,4,3,106.0,BBL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,8698a6be-3a84-4e2a-b61a-817eb794f20e,"['BBL_Mitraleius', 'BBL_Smash', 'BBL_mert', 'BBL_CodeMarco']",3,8,5,3574.911209,1473.54455,1230.1959838867188,1246.25
4,0,10,583.6144,byplayer,1,8,1,2,5,299.88846,BBL_Smash,account.c75b809eb47e4345843058494674d64c,1,2923.432,0,0,0,1675,1,1762.5881,6,3,632.9180278778076,BBL,3903fecc-22d3-4f85-b84b-f34c2d010dba,2021-12-04T13:09:55Z,Miramar,1773,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/04/13/41/ddd13fec-5507-11ec-9c21-16512f2173af-telemetry.json,8698a6be-3a84-4e2a-b61a-817eb794f20e,"['BBL_Mitraleius', 'BBL_Smash', 'BBL_mert', 'BBL_CodeMarco']",3,8,5,3574.911209,1473.54455,1230.1959838867188,1246.25
