dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,6,481.82608,byplayer,1,5,19,1,1,33.741245,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,8873.735,0,0,0,1688,0,748.0089,7,4,380.8341007232666,NH,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,763ab27d-e312-4f9d-930a-9005a2971593,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",4,2,0,9688.75246,766.43164,833.7795581817627,1472.0
0,0,2,101.72064,byplayer,0,0,41,0,0,0.0,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,8549.968,0,0,0,1545,0,805.28314,6,5,100.0,NH,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,763ab27d-e312-4f9d-930a-9005a2971593,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",4,2,0,9688.75246,766.43164,833.7795581817627,1472.0
0,0,2,0.0,byplayer,0,0,38,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,9206.259,0,0,0,967,0,583.483,6,4,106.00000190734863,NH,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,763ab27d-e312-4f9d-930a-9005a2971593,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",4,2,0,9688.75246,766.43164,833.7795581817627,1472.0
1,0,4,182.88492,byplayer,0,3,18,1,1,38.25976,NH_MMing,account.7ad389e823c4417abf2d58080546627c,4,8648.369,0,0,0,1688,0,1339.9038,5,4,246.94545555114746,NH,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,763ab27d-e312-4f9d-930a-9005a2971593,"['NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn', 'NH_MMing']",4,2,0,9688.75246,766.43164,833.7795581817627,1472.0
1,1,5,122.325,byplayer,0,1,24,1,1,206.10846,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,4017.3508,0,0,0,1422,0,1276.3212,3,10,188.73548889160156,VP,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,182064df-a3a4-4b1f-8b88-5210c062ab04,"['VP_BatulinS', 'VP_Lu', 'VP_spyrro', 'VP_Perfect1ks']",10,3,1,5507.8369999999995,711.383776,951.7200813293457,1271.0
1,0,4,126.031746,byplayer,0,3,51,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,2,4378.861,0,0,0,1437,0,1446.6495,4,10,221.01708984375,VP,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,182064df-a3a4-4b1f-8b88-5210c062ab04,"['VP_BatulinS', 'VP_Lu', 'VP_spyrro', 'VP_Perfect1ks']",10,3,1,5507.8369999999995,711.383776,951.7200813293457,1271.0
1,0,6,133.976,byplayer,0,4,23,1,1,42.582977,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,3381.384,0,0,0,1437,0,1607.6189,6,10,293.35330390930176,VP,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,182064df-a3a4-4b1f-8b88-5210c062ab04,"['VP_BatulinS', 'VP_Lu', 'VP_spyrro', 'VP_Perfect1ks']",10,3,1,5507.8369999999995,711.383776,951.7200813293457,1271.0
1,0,3,329.05103,byplayer,1,2,25,1,1,97.34852,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,3852.7356,0,0,0,788,0,2070.427,4,10,248.61419868469238,VP,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,182064df-a3a4-4b1f-8b88-5210c062ab04,"['VP_BatulinS', 'VP_Lu', 'VP_spyrro', 'VP_Perfect1ks']",10,3,1,5507.8369999999995,711.383776,951.7200813293457,1271.0
2,1,5,372.44754,byplayer,0,6,17,1,1,174.18742,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,1,3534.8623,0,0,0,1852,0,2039.553,4,2,389.0143394470215,SQ,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,f5dcfd95-a5bb-41fb-8e09-edb4c99696f8,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy']",2,2,2,5455.952450000001,1313.5138000000002,1636.023187637329,1862.25
0,1,4,191.84023,byplayer,0,11,36,0,0,0.0,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,3359.8535,0,0,0,1870,0,1903.68,4,2,530.4819393157959,SQ,3bedd155-902e-4293-8327-20695ef729ae,2021-12-01T11:30:10Z,Miramar,1870,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/12/03/a84a22a2-529e-11ec-9c21-16512f2173af-telemetry.json,f5dcfd95-a5bb-41fb-8e09-edb4c99696f8,"['SQ_TGLTN', 'SQ_M1ME', 'SQ_hwinn', 'SQ_Shrimzy']",2,2,2,5455.952450000001,1313.5138000000002,1636.023187637329,1862.25
