dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,2,294.3715,byplayer,0,7,18,1,1,281.1926,KX_Cobra,account.ebcf5ff34022402b8f8a578be4bd5d36,0,4106.7593,0,0,0,1407,0,1600.5778,5,5,303.18848419189453,KX,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,d389ea88-433c-4258-a163-1451938b2b9c,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",5,4,1,6225.709525,1014.8781799999999,1124.8746128082275,1548.75
2,1,4,238.40115,byplayer,0,3,40,0,0,0.0,KX_Yuren,account.06509a78c5f841e98d0900cd693b71e1,1,4951.0186,0,0,0,1602,0,1042.6389,6,5,268.7933883666992,KX,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,d389ea88-433c-4258-a163-1451938b2b9c,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",5,4,1,6225.709525,1014.8781799999999,1124.8746128082275,1548.75
1,0,5,100.0,byplayer,1,6,17,1,1,262.91983,KX_YUPPIE,account.b70e24fc050242b4a2b27553d319cd70,1,5146.5996,0,0,0,1415,0,1192.0247,3,5,226.2492275238037,KX,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,d389ea88-433c-4258-a163-1451938b2b9c,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",5,4,1,6225.709525,1014.8781799999999,1124.8746128082275,1548.75
1,0,6,382.10553,byplayer,0,3,11,2,2,75.871124,KX_Lanren,account.e6e5a4d2c56e4c10bea2d771493c493c,1,4881.2324,0,0,0,1771,2,1981.9868,7,5,326.6435127258301,KX,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,d389ea88-433c-4258-a163-1451938b2b9c,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",5,4,1,6225.709525,1014.8781799999999,1124.8746128082275,1548.75
1,3,3,407.3817,alive,1,1,9,1,2,344.14148,NH_Nannnnn,account.84c476ec067a486b93c9742b3facb698,0,913.76776,0,0,0,1908,0,1599.9153,4,1,188.0779266357422,NH,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,9a6867ab-06b5-4de7-a8a1-f0e734a326f7,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_HSmm', 'NH_MMing']",1,11,13,2970.1080150000003,2161.6650600000003,758.1747856140137,1908.0
3,2,7,533.9692,alive,1,5,5,1,3,176.4995,NH_ZpYan1,account.ed3274ce35d34aa6ae75e8fe56b909d8,0,804.6041,0,0,0,1908,0,2117.2478,5,1,406.74427032470703,NH,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,9a6867ab-06b5-4de7-a8a1-f0e734a326f7,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_HSmm', 'NH_MMing']",1,11,13,2970.1080150000003,2161.6650600000003,758.1747856140137,1908.0
4,4,1,524.6739,alive,0,1,3,1,3,54.44713,NH_HSmm,account.871410641fc74e78a81c75a46fe78405,0,2446.2844,0,0,0,1908,0,1161.7241,6,1,104.1325912475586,NH,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,9a6867ab-06b5-4de7-a8a1-f0e734a326f7,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_HSmm', 'NH_MMing']",1,11,13,2970.1080150000003,2161.6650600000003,758.1747856140137,1908.0
3,4,2,695.64026,alive,1,1,4,1,3,249.51352,NH_MMing,account.bc54127863064a93b679160661b94f3b,0,1730.211,0,0,0,1908,0,1106.6776,7,1,59.21999740600586,NH,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,9a6867ab-06b5-4de7-a8a1-f0e734a326f7,"['NH_Nannnnn', 'NH_ZpYan1', 'NH_HSmm', 'NH_MMing']",1,11,13,2970.1080150000003,2161.6650600000003,758.1747856140137,1908.0
0,0,4,0.0,byplayer,0,5,45,0,0,0.0,AAA_Glooms,account.9f7e265ae665404e837d562728d9d3cd,0,2828.3267,0,0,0,1335,0,1612.3594,5,8,274.58159255981445,AAA,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,29d2d3fb-fef6-4fc8-8d01-7b59b9b40a92,"['AAA_Glooms', 'AAA_J4nku2of', 'AAA_Gems', 'AAA_Jayers']",8,5,0,4755.771175,498.031736,782.9757347106934,1320.25
3,0,7,346.2,byplayer,1,3,2,2,4,21.196638,AAA_J4nku2of,account.00d747e690bd4a6281e241c11e1817ff,0,3804.3,0,0,0,1513,0,1458.0378,6,8,246.98218727111816,AAA,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,29d2d3fb-fef6-4fc8-8d01-7b59b9b40a92,"['AAA_Glooms', 'AAA_J4nku2of', 'AAA_Gems', 'AAA_Jayers']",8,5,0,4755.771175,498.031736,782.9757347106934,1320.25
0,0,3,69.78068,byplayer,0,0,22,1,1,11.70578,AAA_Gems,account.f157769d426b4481aef391abfde94f63,0,3886.185,0,0,0,1308,0,1617.7655,5,8,137.3918972015381,AAA,3cace53f-0004-4af0-91b5-5f53526615fb,2021-11-19T04:02:40Z,Erangel (Remastered),1908,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/19/04/36/3f7f1c4d-48f2-11ec-9c21-16512f2173af-telemetry.json,29d2d3fb-fef6-4fc8-8d01-7b59b9b40a92,"['AAA_Glooms', 'AAA_J4nku2of', 'AAA_Gems', 'AAA_Jayers']",8,5,0,4755.771175,498.031736,782.9757347106934,1320.25
