dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,3,6,539.56934,byplayer,0,4,17,1,1,50.3039,EIQ_Lukarux,account.328cbdc81ddf450fafc2432e3f7f3da4,0,6379.8423,0,0,0,1780,0,1536.3966,5,3,359.8079662322998,EIQ,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,86279f32-11e6-42c9-9aad-c6c71da7c599,"['EIQ_Lukarux', 'EIQ_Naylup', 'EIQ_Qbe', 'EIQ_ivas']",3,8,5,7701.171225000001,1667.9541299999999,1112.243709564209,1696.25
5,1,6,605.8992,byplayer,2,5,1,3,5,510.34833,EIQ_Naylup,account.7cf7d92744ee4b5aa14bd60bf2a3626b,0,5811.9155,0,0,0,1636,0,1631.7181,5,3,384.3129291534424,EIQ,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,86279f32-11e6-42c9-9aad-c6c71da7c599,"['EIQ_Lukarux', 'EIQ_Naylup', 'EIQ_Qbe', 'EIQ_ivas']",3,8,5,7701.171225000001,1667.9541299999999,1112.243709564209,1696.25
0,0,5,151.20593,byplayer,0,3,35,0,0,0.0,EIQ_Qbe,account.7bf189f560e24e43b9be7b74333fd931,0,6205.7607,0,0,0,1589,0,1407.712,4,3,178.4017162322998,EIQ,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,86279f32-11e6-42c9-9aad-c6c71da7c599,"['EIQ_Lukarux', 'EIQ_Naylup', 'EIQ_Qbe', 'EIQ_ivas']",3,8,5,7701.171225000001,1667.9541299999999,1112.243709564209,1696.25
0,1,4,371.27966,byplayer,0,2,11,1,2,236.21916,EIQ_ivas,account.425beae7fa9d409bbe07568010f55181,2,6496.7114,0,0,0,1780,0,1334.6283,5,3,189.721097946167,EIQ,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,86279f32-11e6-42c9-9aad-c6c71da7c599,"['EIQ_Lukarux', 'EIQ_Naylup', 'EIQ_Qbe', 'EIQ_ivas']",3,8,5,7701.171225000001,1667.9541299999999,1112.243709564209,1696.25
1,1,4,284.69888,byplayer,0,2,54,0,0,0.0,DNW_seoul,account.43aebbb76237427d838017e09fee0711,2,5545.188,0,0,0,1297,3,1481.8285,5,12,255.9936866760254,DNW,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,6bce2c09-53fc-4e6b-879e-271144fffd0b,"['DNW_seoul', 'DNW_HelleN', 'DNW_Salute', 'DNW_Lambu']",12,1,2,7323.833425,596.4161829999999,1199.4472389221191,1285.25
0,0,2,0.0,byplayer,0,2,55,0,0,0.0,DNW_HelleN,account.5f850d6edddc41259bd1f739cd2ef648,0,6247.6235,0,0,0,1278,0,1124.1423,6,12,202.2773265838623,DNW,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,6bce2c09-53fc-4e6b-879e-271144fffd0b,"['DNW_seoul', 'DNW_HelleN', 'DNW_Salute', 'DNW_Lambu']",12,1,2,7323.833425,596.4161829999999,1199.4472389221191,1285.25
0,0,5,272.98413,byplayer,0,5,53,0,0,0.0,DNW_Salute,account.d3bdf7ff059d49b39564b9294f6451ae,1,6232.4683,0,0,0,1297,0,1503.6431,8,12,380.7600402832031,DNW,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,6bce2c09-53fc-4e6b-879e-271144fffd0b,"['DNW_seoul', 'DNW_HelleN', 'DNW_Salute', 'DNW_Lambu']",12,1,2,7323.833425,596.4161829999999,1199.4472389221191,1285.25
2,1,4,38.733173,byplayer,1,3,26,1,1,136.12798,DNW_Lambu,account.311a45ffdf0f454eb146bebbf2169573,0,5935.4067,0,0,0,1269,0,1225.0333,6,12,360.4161853790283,DNW,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,6bce2c09-53fc-4e6b-879e-271144fffd0b,"['DNW_seoul', 'DNW_HelleN', 'DNW_Salute', 'DNW_Lambu']",12,1,2,7323.833425,596.4161829999999,1199.4472389221191,1285.25
3,0,1,574.6419,alive,1,0,3,2,4,111.4917,NAVI_xmpl,account.ba5311c89cd04394938935a9afa23a65,1,1836.496,0,0,0,1803,0,1895.7351,5,1,54.35267448425293,NAVI,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,29b938d2-54d0-4c7f-bb16-ea452a1c50a1,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mell', 'NAVI_ubah']",1,11,2,4036.1520499999997,1895.5938099999998,601.0064697265625,1803.0
0,0,6,205.92224,alive,0,2,16,1,1,58.94728,NAVI_alya,account.324e82760e13456bbffb2c0702c2e945,0,1851.9565,0,0,0,1803,0,1902.1954,4,1,173.12812614440918,NAVI,3db13e7b-e0d5-4f3f-b5cf-2769df97a1f6,2022-11-20T14:33:37Z,Miramar,1803,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/20/15/05/cb8ac4c6-68e4-11ed-a4c3-16512f2173af-telemetry.json,29b938d2-54d0-4c7f-bb16-ea452a1c50a1,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mell', 'NAVI_ubah']",1,11,2,4036.1520499999997,1895.5938099999998,601.0064697265625,1803.0
