dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,0,0.0,byplayer,0,0,56,0,0,0.0,KX_Lanren,account.03f9c9ef7bee42169b07f8ef609fd43e,0,752.02454,0,0,0,735,0,904.4146,4,12,100.0,KX,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,b6adf011-4c6f-4f1f-a368-056a18a073c0,"['KX_Lanren', 'KX_Yuren', 'KX_YUPPIE', 'KX_Cobra']",12,4,0,2219.7660024999996,665.19579,812.5972557067871,1106.75
1,0,2,304.2111,byplayer,0,2,27,1,1,33.241024,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,624.13727,0,0,0,1228,0,1821.4298,7,12,264.61040115356445,KX,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,b6adf011-4c6f-4f1f-a368-056a18a073c0,"['KX_Lanren', 'KX_Yuren', 'KX_YUPPIE', 'KX_Cobra']",12,4,0,2219.7660024999996,665.19579,812.5972557067871,1106.75
1,0,2,82.93821,byplayer,0,2,28,1,1,93.24579,KX_YUPPIE,account.3dee89947aec409a9854988043fee975,0,319.8156,0,0,0,1184,0,1421.4723,4,12,141.6932258605957,KX,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,b6adf011-4c6f-4f1f-a368-056a18a073c0,"['KX_Lanren', 'KX_Yuren', 'KX_YUPPIE', 'KX_Cobra']",12,4,0,2219.7660024999996,665.19579,812.5972557067871,1106.75
1,0,4,278.04648,byplayer,0,2,10,1,2,278.22226,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,1397.1215,0,0,0,1280,0,1638.6484,4,12,306.29362869262695,KX,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,b6adf011-4c6f-4f1f-a368-056a18a073c0,"['KX_Lanren', 'KX_Yuren', 'KX_YUPPIE', 'KX_Cobra']",12,4,0,2219.7660024999996,665.19579,812.5972557067871,1106.75
0,1,6,82.669914,byplayer,0,2,24,1,1,70.31559,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,2058.4512,0,0,0,1361,0,1829.2167,3,10,229.4787769317627,GBL,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,782fff2f-4115-406b-ab62-15f4e53296ba,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",10,4,2,3389.392675,608.339254,745.640022277832,1228.0
0,0,1,0.0,byplayer,0,2,52,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,1860.4304,0,0,0,837,0,1361.2784,3,10,140.61250114440918,GBL,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,782fff2f-4115-406b-ab62-15f4e53296ba,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",10,4,2,3389.392675,608.339254,745.640022277832,1228.0
0,0,3,358.06607,byplayer,0,1,25,1,1,40.748096,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,2268.262,0,0,0,1353,0,1965.6001,4,10,131.47232627868652,GBL,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,782fff2f-4115-406b-ab62-15f4e53296ba,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",10,4,2,3389.392675,608.339254,745.640022277832,1228.0
1,1,2,167.60327,byplayer,1,6,9,1,2,406.85477,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,892.8978,0,0,0,1361,0,1321.4341,3,10,244.07641792297363,GBL,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,782fff2f-4115-406b-ab62-15f4e53296ba,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",10,4,2,3389.392675,608.339254,745.640022277832,1228.0
1,0,6,100.0,byplayer,0,2,16,1,1,43.414272,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,6080.111,0,0,0,1295,0,704.7443,6,4,242.15723133087158,SQ,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,92abe954-10e7-4da4-b5d4-afd707fe4511,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",4,3,0,7536.632025,449.09271,1174.1417255401611,1526.5
0,0,8,105.30411,byplayer,0,6,40,0,0,0.0,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,1,6491.227,0,0,0,1616,0,1444.9653,5,4,382.9134883880615,SQ,3db45aea-7fba-4748-94bf-d180e7e031aa,2021-12-06T11:30:35Z,Miramar,1779,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/06/12/02/53ef2e0b-568c-11ec-9c21-16512f2173af-telemetry.json,92abe954-10e7-4da4-b5d4-afd707fe4511,"['SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN', 'SQ_Shrimzy']",4,3,0,7536.632025,449.09271,1174.1417255401611,1526.5
