dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,3,268.757,byplayer,0,1,16,1,2,341.52368,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,0,4698.24,0,0,0,1064,0,710.99133,5,14,136.399995803833,Uniq,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,782c716e-c97b-4507-a169-ad69f602ffdc,"['Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate']",14,3,2,4076.3599574999994,680.58019,471.0011444091797,1052.25
0,0,1,0.0,byplayer,1,0,31,1,1,285.24646,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,0,2781.9785,0,0,0,1017,0,1542.3821,3,14,123.17341232299805,Uniq,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,782c716e-c97b-4507-a169-ad69f602ffdc,"['Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate']",14,3,2,4076.3599574999994,680.58019,471.0011444091797,1052.25
1,1,1,63.66532,byplayer,0,0,60,0,0,0.0,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,0,2050.7502,0,0,0,1064,0,1309.0563,4,14,87.427734375,Uniq,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,782c716e-c97b-4507-a169-ad69f602ffdc,"['Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate']",14,3,2,4076.3599574999994,680.58019,471.0011444091797,1052.25
0,1,1,348.15787,byplayer,0,0,59,0,0,0.0,Uniq_Fate,account.053a51017bc94630b29b49ea3ca53945,0,1623.7423,0,0,0,1064,0,1588.2991,3,14,124.00000190734863,Uniq,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,782c716e-c97b-4507-a169-ad69f602ffdc,"['Uniq_ADOUZ1E', 'Uniq_DaNt3-', 'Uniq_Faultlessly', 'Uniq_Fate']",14,3,2,4076.3599574999994,680.58019,471.0011444091797,1052.25
3,0,4,399.19656,byplayer,0,1,25,1,1,33.388863,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,0,8756.288,0,0,0,1280,0,1093.6486,4,10,192.46389770507812,GHD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,eb784d8e-d562-4a83-ac1d-f2318f5873ee,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",10,2,0,9257.0227,630.285058,655.6508455276489,1217.75
1,0,5,196.49413,byplayer,1,0,26,1,1,49.051895,GHD_3007,account.3ba05a082b83466c89b3446e968de306,0,9410.337,0,0,0,1178,0,676.4191,3,10,121.73356056213379,GHD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,eb784d8e-d562-4a83-ac1d-f2318f5873ee,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",10,2,0,9257.0227,630.285058,655.6508455276489,1217.75
0,0,3,0.0,byplayer,0,7,50,0,0,0.0,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,0,8028.9014,0,0,0,1137,0,613.9967,5,10,218.4110345840454,GHD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,eb784d8e-d562-4a83-ac1d-f2318f5873ee,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",10,2,0,9257.0227,630.285058,655.6508455276489,1217.75
0,0,6,34.594368,byplayer,0,1,49,0,0,0.0,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,0,7644.7715,0,0,0,1276,0,803.7285,5,10,123.0423526763916,GHD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,eb784d8e-d562-4a83-ac1d-f2318f5873ee,"['GHD_Sylphyy', 'GHD_3007', 'GHD_McMoo', 'GHD_d1sgustingg']",10,2,0,9257.0227,630.285058,655.6508455276489,1217.75
4,3,9,757.02747,byplayer,1,8,3,2,3,245.53088,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,3024.3926,0,0,0,1879,0,1812.5986,7,3,421.54688358306885,MaD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,c53f17d0-64a6-477c-91e8-c6fdf33a9901,"['MaD_Lash', 'MaD_2tap', 'MaD_EEND', 'MaD_DAEVA']",3,8,5,4854.10235,1965.4482500000001,989.8874254226685,1744.5
0,1,2,149.16714,byplayer,0,1,36,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,3007.1248,0,0,0,1675,0,2116.5771,5,3,160.0228500366211,MaD,3dee7cbf-2990-4ab9-bb06-ac97b3fec3de,2021-11-29T11:24:52Z,Erangel (Remastered),1889,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/29/11/58/a1ada6cf-510b-11ec-9c21-16512f2173af-telemetry.json,c53f17d0-64a6-477c-91e8-c6fdf33a9901,"['MaD_Lash', 'MaD_2tap', 'MaD_EEND', 'MaD_DAEVA']",3,8,5,4854.10235,1965.4482500000001,989.8874254226685,1744.5
