dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,151.84572,byplayer,0,0,29,1,1,49.152515,FaZe_Gustav,account.f2c6d47dea894ca38e85274e14aa1b37,0,3359.2234,0,0.0,0,1262,0,1705.1108,4,8,146.1942081451416,FaZe,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,b27aa44d-b9e2-4f32-952f-1d0b1aefb884,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Aitzy']",8,2,2,5124.784449999999,579.085455,566.0283889770508,1289.5
0,0,0,124.744675,byplayer,0,0,50,0,0,0.0,FaZe_Fuzzface,account.da28ef29a86842699f10e246fb7b78de,0,3273.575,0,0.0,0,1319,0,1765.3315,7,8,99.99999618530273,FaZe,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,b27aa44d-b9e2-4f32-952f-1d0b1aefb884,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Aitzy']",8,2,2,5124.784449999999,579.085455,566.0283889770508,1289.5
0,1,1,172.46048,byplayer,0,0,51,0,0,0.0,FaZe_Fexx,account.89dfdfdc419a498c814a95565366eb32,0,4079.7188,0,0.0,0,1258,0,1517.9369,5,8,123.2649974822998,FaZe,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,b27aa44d-b9e2-4f32-952f-1d0b1aefb884,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Aitzy']",8,2,2,5124.784449999999,579.085455,566.0283889770508,1289.5
1,1,4,130.03458,byplayer,0,2,28,1,1,69.17042,FaZe_Aitzy,account.949745190ab045f38bea9bde565387ec,0,3375.998,0,0.0,0,1319,0,1422.2434,5,8,196.56918716430664,FaZe,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,b27aa44d-b9e2-4f32-952f-1d0b1aefb884,"['FaZe_Gustav', 'FaZe_Fuzzface', 'FaZe_Fexx', 'FaZe_Aitzy']",8,2,2,5124.784449999999,579.085455,566.0283889770508,1289.5
2,1,5,246.60219,byplayer,0,3,12,1,2,30.826876,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,3681.6382,0,0.0,0,1243,1,924.8189,6,9,287.12244415283203,17,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c1ab47c9-88d7-4b67-b709-7e9ed7cd949f,"['17_Xbei', '17_LilGhost', '17_SuJiu', '17_shou']",9,5,2,5058.01454,781.38707,856.4709072113037,1099.25
0,0,0,0.0,byplayer,0,0,52,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,4273.152,0,0.0,0,669,0,638.31036,2,9,99.99999809265137,17,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c1ab47c9-88d7-4b67-b709-7e9ed7cd949f,"['17_Xbei', '17_LilGhost', '17_SuJiu', '17_shou']",9,5,2,5058.01454,781.38707,856.4709072113037,1099.25
1,0,3,134.25192,byplayer,0,1,30,1,1,56.60477,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,4184.2197,0,0.0,0,1242,0,1044.223,5,9,200.14466667175293,17,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c1ab47c9-88d7-4b67-b709-7e9ed7cd949f,"['17_Xbei', '17_LilGhost', '17_SuJiu', '17_shou']",9,5,2,5058.01454,781.38707,856.4709072113037,1099.25
2,1,3,400.53296,byplayer,0,3,13,1,2,44.423115,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,4275.3267,0,0.0,0,1243,0,1210.3693,4,9,269.2037982940674,17,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c1ab47c9-88d7-4b67-b709-7e9ed7cd949f,"['17_Xbei', '17_LilGhost', '17_SuJiu', '17_shou']",9,5,2,5058.01454,781.38707,856.4709072113037,1099.25
2,0,6,218.17172,byplayer,0,2,15,2,2,7.2407312,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,5743.486,0,0.0,0,1184,0,723.7039,4,11,318.5849666595459,BBL,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,08fd77f7-6d0c-4705-81ab-190974b0f7ae,"['BBL_Smash', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Mitraleius']",11,2,0,5855.841225,242.17172,798.650465965271,893.25
0,0,0,24.0,byplayer,0,0,56,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,0,5048.6714,0,0.0,0,741,0,473.0507,3,11,99.99999904632568,BBL,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,08fd77f7-6d0c-4705-81ab-190974b0f7ae,"['BBL_Smash', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Mitraleius']",11,2,0,5855.841225,242.17172,798.650465965271,893.25
0,0,0,0.0,byplayer,0,2,55,0,0,0.0,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,1,4512.0576,0,0.0,0,822,0,577.6568,3,11,219.37951469421387,BBL,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,08fd77f7-6d0c-4705-81ab-190974b0f7ae,"['BBL_Smash', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Mitraleius']",11,2,0,5855.841225,242.17172,798.650465965271,893.25
0,0,2,0.0,byplayer,0,1,54,0,0,0.0,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,5827.123,0,0.0,0,826,0,517.6155,5,11,160.68598556518555,BBL,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,08fd77f7-6d0c-4705-81ab-190974b0f7ae,"['BBL_Smash', 'BBL_mert', 'BBL_CodeMarco', 'BBL_Mitraleius']",11,2,0,5855.841225,242.17172,798.650465965271,893.25
1,0,5,64.0,byplayer,0,10,59,0,0,0.0,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,7595.172,0,0.0,0,1093,0,767.6614,3,12,120.76000022888184,ENCE,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c32a755d-9801-407f-9ab3-ace844652bee,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",12,0,0,8410.589899999999,251.22673,697.5731964111328,1085.75
1,0,5,87.22673,byplayer,0,5,58,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,7705.7344,0,0.0,0,1164,0,940.78375,5,12,218.3682918548584,ENCE,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c32a755d-9801-407f-9ab3-ace844652bee,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",12,0,0,8410.589899999999,251.22673,697.5731964111328,1085.75
1,0,4,100.0,byplayer,0,14,57,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,8119.3306,0,0.0,0,1170,0,993.71857,3,12,290.7555122375488,ENCE,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c32a755d-9801-407f-9ab3-ace844652bee,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",12,0,0,8410.589899999999,251.22673,697.5731964111328,1085.75
0,0,4,0.0,byplayer,0,0,60,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,7045.2964,0,0.0,0,916,0,474.66248,3,12,67.68939208984375,ENCE,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,c32a755d-9801-407f-9ab3-ace844652bee,"['ENCE_SKUIJKE', 'ENCE_D1gg3r1', 'ENCE_Tiikzu', 'ENCE_Rustanmar']",12,0,0,8410.589899999999,251.22673,697.5731964111328,1085.75
0,0,3,148.57655,byplayer,0,1,47,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,4421.783,0,0.0,0,881,0,898.62585,2,4,160.75911331176758,TSM,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,18444ee1-c3ab-4a3b-89e3-40cf9c513b1b,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",4,4,2,6595.0662625,1050.11529,728.7936096191406,1273.5
1,0,5,130.45543,byplayer,0,1,22,1,1,135.72096,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,6579.3027,0,0.0,0,1274,0,1228.3868,4,4,240.4607162475586,TSM,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,18444ee1-c3ab-4a3b-89e3-40cf9c513b1b,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",4,4,2,6595.0662625,1050.11529,728.7936096191406,1273.5
1,0,4,92.46791,byplayer,0,0,46,0,0,0.0,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,5362.719,0,0.0,0,1168,0,934.4623,3,4,100.00000190734863,TSM,41092a7e-35a6-4ecd-8a82-ef4820e5eb35,2021-12-09T09:53:35Z,Erangel (Remastered),1860,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/09/10/26/7828aced-58da-11ec-9c21-16512f2173af-telemetry.json,18444ee1-c3ab-4a3b-89e3-40cf9c513b1b,"['TSM_FTX_Purdy', 'TSM_FTX_ALOW', 'TSM_FTX_penta', 'TSM_FTX_luke12']",4,4,2,6595.0662625,1050.11529,728.7936096191406,1273.5
