dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,4,154.38023,byzone,0,10,21,1,1,12.548527,DNW_LeClo,account.d809f466098c4dfd85be5180e088fa7f,0,2065.6953,0,0,0,1511,0,654.65985,9,6,314.6896381378174,DNW,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,28d9f44a-3185-461d-910b-debb4b8c11f8,"['DNW_LeClo', 'DNW_Rex', 'DNW_Salute', 'DNW_seoul']",6,3,0,3538.2302375,775.5776780000001,750.449592590332,1269.25
1,0,1,99.99999,byplayer,0,0,23,1,1,30.150066,DNW_Rex,account.f7f20e78ba10427e853a1ef85708ce41,0,4361.301,0,0,0,1232,0,1386.7141,4,6,100.0,DNW,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,28d9f44a-3185-461d-910b-debb4b8c11f8,"['DNW_LeClo', 'DNW_Rex', 'DNW_Salute', 'DNW_seoul']",6,3,0,3538.2302375,775.5776780000001,750.449592590332,1269.25
0,0,1,25.015818,byplayer,0,0,37,0,0,0.0,DNW_Salute,account.f004af2e9cd6472a82410810814ee08b,0,1212.8552,0,0,0,851,0,689.6833,5,6,99.99999618530273,DNW,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,28d9f44a-3185-461d-910b-debb4b8c11f8,"['DNW_LeClo', 'DNW_Rex', 'DNW_Salute', 'DNW_seoul']",6,3,0,3538.2302375,775.5776780000001,750.449592590332,1269.25
0,0,5,496.18164,byplayer,0,2,22,1,1,61.21036,DNW_seoul,account.0232512c00a341fb8a954ea8777b0cb6,0,2338.7825,0,0,0,1483,0,1443.2297,4,6,235.7599582672119,DNW,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,28d9f44a-3185-461d-910b-debb4b8c11f8,"['DNW_LeClo', 'DNW_Rex', 'DNW_Salute', 'DNW_seoul']",6,3,0,3538.2302375,775.5776780000001,750.449592590332,1269.25
1,1,3,591.59503,alive,0,1,16,1,1,242.39314,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,897.73975,0,0,0,1745,0,2435.818,6,1,73.0066909790039,NH,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6b71b95e-0c49-4733-bcb5-33d24ca0c6dc,"['NH_MMing', 'NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn']",1,9,6,2795.7223274999997,2348.69783,410.85364723205566,1745.0
3,0,4,720.3901,alive,2,1,4,1,3,81.81516,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,1019.3578,0,0,0,1745,1,2097.0984,7,1,83.15435218811035,NH,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6b71b95e-0c49-4733-bcb5-33d24ca0c6dc,"['NH_MMing', 'NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn']",1,9,6,2795.7223274999997,2348.69783,410.85364723205566,1745.0
1,2,1,354.4727,alive,1,2,9,1,2,177.24915,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,1365.7697,0,0,0,1745,0,1319.5383,4,1,116.23215293884277,NH,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6b71b95e-0c49-4733-bcb5-33d24ca0c6dc,"['NH_MMing', 'NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn']",1,9,6,2795.7223274999997,2348.69783,410.85364723205566,1745.0
3,3,5,682.24,alive,1,1,3,1,3,269.2679,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,280.26736,0,0,0,1745,0,1767.3,6,1,138.46045112609863,NH,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6b71b95e-0c49-4733-bcb5-33d24ca0c6dc,"['NH_MMing', 'NH_ZpYan1', 'NH_HSmm', 'NH_Nannnnn']",1,9,6,2795.7223274999997,2348.69783,410.85364723205566,1745.0
0,1,3,59.399998,byplayer,0,0,45,0,0,0.0,KX_Cobra,account.18b4ef357f174b37b313dcafbb6457f0,0,6285.7695,0,0,0,706,0,813.12537,4,10,120.52791595458984,KX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6789cbfd-c3f3-4855-b18b-32f1852dba9d,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",10,4,2,7835.28655,582.574256,1063.5008821487427,1153.75
4,0,6,337.14743,byplayer,2,7,7,2,3,55.9664,KX_Yuren,account.d599a04d3dd54e2285f1559f9d0e141a,0,8004.8877,0,0,0,1343,0,649.51013,4,10,474.61351203918457,KX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6789cbfd-c3f3-4855-b18b-32f1852dba9d,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",10,4,2,7835.28655,582.574256,1063.5008821487427,1153.75
0,1,2,43.559998,byplayer,0,1,28,1,1,31.009516,KX_YUPPIE,account.3dee89947aec409a9854988043fee975,3,6724.3843,0,0,0,1225,0,1024.624,4,10,128.74841022491455,KX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6789cbfd-c3f3-4855-b18b-32f1852dba9d,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",10,4,2,7835.28655,582.574256,1063.5008821487427,1153.75
0,0,4,142.46683,byplayer,0,4,44,0,0,0.0,KX_Lanren,account.03f9c9ef7bee42169b07f8ef609fd43e,0,6778.459,0,0,0,1341,0,1060.3862,4,10,339.6110439300537,KX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,6789cbfd-c3f3-4855-b18b-32f1852dba9d,"['KX_Cobra', 'KX_Yuren', 'KX_YUPPIE', 'KX_Lanren']",10,4,2,7835.28655,582.574256,1063.5008821487427,1153.75
1,0,8,444.24933,byplayer,1,2,6,1,3,72.19416,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,7666.7217,0,0,0,1559,0,1242.6667,4,5,372.25341510772705,GBL,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,0396a009-1476-4b55-bce6-6a7472afda12,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",5,7,3,7902.050702500001,996.4201029999999,1116.6772203445435,1368.0
3,3,6,490.35925,byplayer,0,3,13,1,2,58.09291,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,1,7310.33,0,0,0,1571,0,1278.9359,8,5,391.40499114990234,GBL,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,0396a009-1476-4b55-bce6-6a7472afda12,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",5,7,3,7902.050702500001,996.4201029999999,1116.6772203445435,1368.0
0,0,0,0.0,byplayer,0,0,36,0,0,0.0,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,5681.9673,0,0,0,771,0,895.78815,4,5,100.0000057220459,GBL,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,0396a009-1476-4b55-bce6-6a7472afda12,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",5,7,3,7902.050702500001,996.4201029999999,1116.6772203445435,1368.0
2,0,6,61.811523,byplayer,1,2,12,2,2,68.48245,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,1,6568.574,0,0,0,1571,0,963.21906,4,5,253.01880836486816,GBL,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,0396a009-1476-4b55-bce6-6a7472afda12,"['GBL_Lambu', 'GBL_Renba', 'GBL_Adder', 'GBL_Spear']",5,7,3,7902.050702500001,996.4201029999999,1116.6772203445435,1368.0
0,1,1,199.45349,byplayer,0,1,42,0,0,0.0,SSG_Roth,account.1e65ca52d3c34648bc9267036734ff7c,0,5159.559,0,0,0,1182,0,1319.4454,5,9,148.3357048034668,SSG,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,3f2ef0ee-bfcd-474e-ad6b-f3c19b983e0b,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",9,1,1,6360.5409500000005,372.93004799999994,558.0038166046143,1114.5
1,0,1,65.11623,byplayer,0,1,27,1,1,258.8046,SSG_Sharpshot4k,account.3498474793054e3eb8932c90734f5355,0,4581.8833,0,0,0,1180,0,1570.234,4,9,144.55599784851074,SSG,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,3f2ef0ee-bfcd-474e-ad6b-f3c19b983e0b,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",9,1,1,6360.5409500000005,372.93004799999994,558.0038166046143,1114.5
0,0,0,51.679718,byplayer,0,0,43,0,0,0.0,SSG_oldless,account.820fca10a2704eacb533f0c8d7feb0b0,0,4775.261,0,0,0,744,0,532.4531,3,9,100.0,SSG,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,3f2ef0ee-bfcd-474e-ad6b-f3c19b983e0b,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",9,1,1,6360.5409500000005,372.93004799999994,558.0038166046143,1114.5
0,0,3,56.68061,byplayer,0,2,41,0,0,0.0,SSG_Keenan,account.176e7fe6928c42b0ba8c12f332f38830,0,5480.6455,0,0,0,1352,0,2022.6825,5,9,165.11211395263672,SSG,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,3f2ef0ee-bfcd-474e-ad6b-f3c19b983e0b,"['SSG_Roth', 'SSG_Sharpshot4k', 'SSG_oldless', 'SSG_Keenan']",9,1,1,6360.5409500000005,372.93004799999994,558.0038166046143,1114.5
0,0,4,20.335026,byplayer,0,1,47,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,5700.1055,0,0,0,1246,0,969.35706,5,11,194.44061470031738,NAVI,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,1db78e09-31be-410f-be3a-6dd11d99bef5,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",11,1,0,6119.491362500001,157.725746,530.934588432312,1063.0
0,0,1,137.39072,byplayer,1,1,29,1,1,450.3843,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,4384.5464,0,0,0,1237,0,1100.8793,4,11,132.49398040771484,NAVI,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,1db78e09-31be-410f-be3a-6dd11d99bef5,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",11,1,0,6119.491362500001,157.725746,530.934588432312,1063.0
0,0,2,0.0,byplayer,0,0,46,0,0,0.0,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,6234.154,0,0,0,1248,0,976.83514,3,11,103.99999904632568,NAVI,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,1db78e09-31be-410f-be3a-6dd11d99bef5,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",11,1,0,6119.491362500001,157.725746,530.934588432312,1063.0
0,0,0,0.0,byplayer,0,0,48,0,0,0.0,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,4841.952,0,0,0,521,0,270.13605,4,11,99.9999942779541,NAVI,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,1db78e09-31be-410f-be3a-6dd11d99bef5,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",11,1,0,6119.491362500001,157.725746,530.934588432312,1063.0
1,1,6,356.01318,byplayer,0,4,39,0,0,0.0,GEX_ZhenNan,account.00b80af7b33645059af2c2bd4d48f23d,0,4151.899,0,0,0,1461,0,1470.2231,5,8,286.8761615753174,GEX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,e0b9e26f-2b34-41a7-b7ba-c4bda862c246,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior', 'GEX_SSR']",8,3,2,5758.10615,1016.39764,935.9104022979736,1435.25
0,1,3,377.915,byplayer,0,2,40,0,0,0.0,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,3873.9707,0,0,0,1448,0,1529.4191,4,8,231.21571922302246,GEX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,e0b9e26f-2b34-41a7-b7ba-c4bda862c246,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior', 'GEX_SSR']",8,3,2,5758.10615,1016.39764,935.9104022979736,1435.25
2,0,6,215.49014,byplayer,2,3,15,1,2,272.2303,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,3393.57,0,0,0,1408,0,2102.652,5,8,198.7474822998047,GEX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,e0b9e26f-2b34-41a7-b7ba-c4bda862c246,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior', 'GEX_SSR']",8,3,2,5758.10615,1016.39764,935.9104022979736,1435.25
1,0,4,66.97932,byplayer,0,3,26,1,1,53.942486,GEX_SSR,account.a9a531fed8754fe683f24727a0cd77c3,0,5065.779,0,0,0,1424,0,1444.9117,4,8,219.0710391998291,GEX,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,e0b9e26f-2b34-41a7-b7ba-c4bda862c246,"['GEX_ZhenNan', 'GEX_YanLi', 'GEX_Savior', 'GEX_SSR']",8,3,2,5758.10615,1016.39764,935.9104022979736,1435.25
0,0,3,0.0,byplayer,0,0,55,0,0,0.0,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,7654.152,0,0,1,1123,0,1021.21576,5,14,99.86150741577148,ENCE,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,9d8de2cf-00ad-4d32-a7c2-567c8edcc745,"['ENCE_SKUIJKE', 'ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",14,0,1,8220.4317825,277.32686,526.2795629501343,1118.0
0,0,0,39.54853,byplayer,0,1,57,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,7338.6094,0,0,0,1114,0,1086.2275,4,14,159.18584442138672,ENCE,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,9d8de2cf-00ad-4d32-a7c2-567c8edcc745,"['ENCE_SKUIJKE', 'ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",14,0,1,8220.4317825,277.32686,526.2795629501343,1118.0
2,1,3,216.61423,byplayer,0,1,56,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,7380.259,0,0,0,1123,0,1006.66077,4,14,167.23221111297607,ENCE,41ce9050-92e3-4ca4-badc-310b5672f767,2021-12-18T09:51:47Z,Miramar,1745,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/18/10/22/6fb8467b-5fec-11ec-9c21-16512f2173af-telemetry.json,9d8de2cf-00ad-4d32-a7c2-567c8edcc745,"['ENCE_SKUIJKE', 'ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_D1gg3r1']",14,0,1,8220.4317825,277.32686,526.2795629501343,1118.0
