dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,9,157.14124,byplayer,0,3,13,1,1,40.367214,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,1,5653.8887,0,0,0,1789,0,1471.3494,7,2,353.3105573654175,SQ,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,328fd2ad-3e00-4c19-a63f-058a4e1fe7a2,"['SQ_Shrimzy', 'SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN']",2,4,3,6589.705674999999,1323.62262,1030.6014003753662,1775.75
3,3,8,629.8483,byplayer,0,3,15,1,1,20.637123,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,0,5127.6753,0,0,0,1765,0,1466.3069,4,2,274.11548805236816,SQ,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,328fd2ad-3e00-4c19-a63f-058a4e1fe7a2,"['SQ_Shrimzy', 'SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN']",2,4,3,6589.705674999999,1323.62262,1030.6014003753662,1775.75
2,0,4,343.73676,byplayer,1,2,14,1,1,20.397537,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,4589.488,0,0,0,1789,0,1263.485,6,2,185.6314296722412,SQ,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,328fd2ad-3e00-4c19-a63f-058a4e1fe7a2,"['SQ_Shrimzy', 'SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN']",2,4,3,6589.705674999999,1323.62262,1030.6014003753662,1775.75
2,0,5,192.89632,byplayer,0,1,16,1,1,207.05664,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,1,5106.872,0,0,0,1760,0,1679.7574,4,2,217.54392528533936,SQ,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,328fd2ad-3e00-4c19-a63f-058a4e1fe7a2,"['SQ_Shrimzy', 'SQ_M1ME', 'SQ_hwinn', 'SQ_TGLTN']",2,4,3,6589.705674999999,1323.62262,1030.6014003753662,1775.75
1,2,5,224.03969,byplayer,0,2,17,1,1,92.92276,Uniq_ADOUZ1E,account.99cb628d57514f9a8e5dd941dc0e39d0,1,4963.6406,0,0,0,1775,2,1231.2412,6,3,290.3789520263672,Uniq,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,4dfe4e10-fe0a-4322-ba68-b3459b432586,"['Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_DaNt3-']",3,7,4,7917.701574999999,1455.73466,1107.326042175293,1774.0
1,0,4,502.04083,byplayer,0,2,29,0,0,0.0,Uniq_Faultlessly,account.bfef3b262d694036b6715b5819e72f4c,1,6596.6343,0,0,0,1774,0,1228.9944,4,3,195.99894905090332,Uniq,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,4dfe4e10-fe0a-4322-ba68-b3459b432586,"['Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_DaNt3-']",3,7,4,7917.701574999999,1455.73466,1107.326042175293,1774.0
1,1,3,283.00482,byplayer,0,2,9,1,2,139.55623,Uniq_Fate,account.053a51017bc94630b29b49ea3ca53945,1,7673.132,0,0,0,1772,0,1191.9337,4,3,293.16969299316406,Uniq,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,4dfe4e10-fe0a-4322-ba68-b3459b432586,"['Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_DaNt3-']",3,7,4,7917.701574999999,1455.73466,1107.326042175293,1774.0
3,1,7,446.64932,byplayer,2,3,5,1,4,145.76453,Uniq_DaNt3-,account.5a32c9c51dce4f26bfe37b8f056e9b91,0,7594.8286,0,0,0,1775,0,1190.4015,4,3,327.7784481048584,Uniq,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,4dfe4e10-fe0a-4322-ba68-b3459b432586,"['Uniq_ADOUZ1E', 'Uniq_Faultlessly', 'Uniq_Fate', 'Uniq_DaNt3-']",3,7,4,7917.701574999999,1455.73466,1107.326042175293,1774.0
2,1,6,232.64285,byplayer,0,3,7,1,3,187.19142,BBL_CodeMarco,account.47411353abba48069f8ba228cf18480b,0,5108.2305,0,0,0,1370,0,1149.7567,6,10,322.1039333343506,BBL,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,8e722ef3-7548-4b12-9007-7e72e4c5c21e,"['BBL_CodeMarco', 'BBL_Smash', 'BBL_Mitraleius', 'BBL_mert']",10,5,1,5372.2029999999995,832.58054,1136.7897853851318,1276.5
1,0,5,204.9012,byplayer,1,5,22,1,1,7.1752195,BBL_Smash,account.c75b809eb47e4345843058494674d64c,0,3904.8083,0,0,0,1370,0,1127.7257,7,10,370.115571975708,BBL,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,8e722ef3-7548-4b12-9007-7e72e4c5c21e,"['BBL_CodeMarco', 'BBL_Smash', 'BBL_Mitraleius', 'BBL_mert']",10,5,1,5372.2029999999995,832.58054,1136.7897853851318,1276.5
2,0,3,258.97845,byplayer,1,0,23,1,1,18.827171,BBL_Mitraleius,account.cda090f1dee84afcb037519399878904,0,3496.8752,0,0,0,996,0,755.7916,3,10,126.48542022705078,BBL,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,8e722ef3-7548-4b12-9007-7e72e4c5c21e,"['BBL_CodeMarco', 'BBL_Smash', 'BBL_Mitraleius', 'BBL_mert']",10,5,1,5372.2029999999995,832.58054,1136.7897853851318,1276.5
0,0,2,136.05804,byplayer,0,5,44,0,0,0.0,BBL_mert,account.2627e30d24684a46af41d22d2e3a2839,0,4701.265,0,0,0,1370,0,1244.359,6,10,318.08485984802246,BBL,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,8e722ef3-7548-4b12-9007-7e72e4c5c21e,"['BBL_CodeMarco', 'BBL_Smash', 'BBL_Mitraleius', 'BBL_mert']",10,5,1,5372.2029999999995,832.58054,1136.7897853851318,1276.5
0,0,6,168.75871,suicide,1,2,25,1,1,161.59946,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,3663.385,0,0,0,1185,0,1499.3198,3,13,198.89856719970703,17,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,7d11e8df-3555-4c58-bf9a-b70234fa25f9,"['17_SuJiu', '17_shou', '17_Xbei', '17_LilGhost']",13,1,0,3902.7284125,370.31668,491.14459800720215,972.0
0,0,0,0.0,byplayer,0,0,53,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,1546.4537,0,0,0,301,0,330.87625,5,13,91.42247009277344,17,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,7d11e8df-3555-4c58-bf9a-b70234fa25f9,"['17_SuJiu', '17_shou', '17_Xbei', '17_LilGhost']",13,1,0,3902.7284125,370.31668,491.14459800720215,972.0
0,0,5,70.27815,byzone,0,2,52,0,0,0.0,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,2757.2175,0,0,0,1194,0,1615.5222,4,13,76.33603096008301,17,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,7d11e8df-3555-4c58-bf9a-b70234fa25f9,"['17_SuJiu', '17_shou', '17_Xbei', '17_LilGhost']",13,1,0,3902.7284125,370.31668,491.14459800720215,972.0
0,0,3,131.27982,byplayer,0,5,51,0,0,0.0,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,2798.7195,0,0,0,1208,0,1399.4197,4,13,124.48752975463867,17,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,7d11e8df-3555-4c58-bf9a-b70234fa25f9,"['17_SuJiu', '17_shou', '17_Xbei', '17_LilGhost']",13,1,0,3902.7284125,370.31668,491.14459800720215,972.0
0,0,3,33.06269,byplayer,0,1,48,0,0,0.0,DIG_HoneyBadger,account.1c7e95a1f3d740edb5e38b2f2b900875,1,6685.649,0,0,0,1221,0,993.8125,7,12,160.37397956848145,DIG,45519663-bb87-4292-92f0-085de9bd44da,2021-12-16T12:50:39Z,Miramar,1790,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/16/13/22/334dfc08-5e73-11ec-9c21-16512f2173af-telemetry.json,c3a2c065-61d6-4601-92cd-216bde7539a8,"['DIG_HoneyBadger', 'DIG_sparkingg', 'DIG_Shinboi', 'DIG_Poonage']",12,1,1,6956.67606,242.17120899999998,931.6265506744385,1157.0
