dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,2,289.38486,byplayer,0,6,14,1,2,104.34615,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,7105.109,0,0.0,0,1246,0,1823.8688,3,10,98.00000190734863,GBL,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,d0bb240b-715f-4f7f-8718-36c7d0314483,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",10,2,1,5686.749831000001,321.30486,474.7931957244873,761.25
0,0,0,0.0,byplayer,0,0,54,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,0,1998.6129,0,0.0,0,275,0,97.203224,2,10,99.99999618530273,GBL,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,d0bb240b-715f-4f7f-8718-36c7d0314483,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",10,2,1,5686.749831000001,321.30486,474.7931957244873,761.25
0,1,3,31.92,byplayer,0,5,52,0,0,0.0,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,9610.374,0,0.0,0,1246,0,1336.3398,7,10,176.79319953918457,GBL,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,d0bb240b-715f-4f7f-8718-36c7d0314483,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",10,2,1,5686.749831000001,321.30486,474.7931957244873,761.25
0,0,0,0.0,byplayer,0,0,53,0,0,0.0,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,0.0,0,0.0,0,278,0,775.4916,3,10,99.99999809265137,GBL,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,d0bb240b-715f-4f7f-8718-36c7d0314483,"['GBL_Adder', 'GBL_Renba', 'GBL_Spear', 'GBL_Lambu']",10,2,1,5686.749831000001,321.30486,474.7931957244873,761.25
0,0,0,0.0,byplayer,0,0,57,0,0,0.0,BRU_Eaddy,account.1e7348c8091d494bb5fe50d4298c5e9a,0,3549.561,0,0.0,0,713,0,635.83514,7,13,100.00000190734863,BRU,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,83b4738b-c67d-43cc-93df-aaf0a4fce773,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_Noardra', 'BRU_GodMiao']",13,2,0,4962.694485,312.584256,445.8994722366333,915.25
1,0,2,87.57665,byplayer,0,2,31,1,1,17.435038,BRU_Conaxy,account.2af36fc5835d4156baaf109bbfd6baa2,0,4396.2417,0,0.0,0,1070,0,1100.1047,10,13,167.1305513381958,BRU,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,83b4738b-c67d-43cc-93df-aaf0a4fce773,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_Noardra', 'BRU_GodMiao']",13,2,0,4962.694485,312.584256,445.8994722366333,915.25
0,0,0,65.344406,byplayer,0,0,58,0,0,0.0,BRU_Noardra,account.04397540df064bd4a28cafd142d5d5db,0,3692.6812,0,0.0,0,710,0,711.23236,9,13,71.75138092041016,BRU,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,83b4738b-c67d-43cc-93df-aaf0a4fce773,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_Noardra', 'BRU_GodMiao']",13,2,0,4962.694485,312.584256,445.8994722366333,915.25
1,0,2,159.6632,byplayer,1,2,30,1,1,22.374939,BRU_GodMiao,account.4af2f0f4a9a24c2c80e0b99ce204b541,0,4806.7944,0,261.96274,0,1168,0,696.3647,6,13,107.01753807067871,BRU,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,83b4738b-c67d-43cc-93df-aaf0a4fce773,"['BRU_Eaddy', 'BRU_Conaxy', 'BRU_Noardra', 'BRU_GodMiao']",13,2,0,4962.694485,312.584256,445.8994722366333,915.25
0,1,7,245.67772,byplayer,0,4,38,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,1,2102.2922,0,0.0,0,1825,0,2381.888,5,2,423.9648742675781,ENCE,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,f6195ade-3492-447d-badc-4dbc648531f2,"['ENCE_Tiikzu', 'ENCE_D1gg3r1', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4435.811275,1578.421126,1217.9232025146484,1645.75
4,2,6,560.4969,byplayer,0,3,5,1,3,217.8644,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,2644.772,0,0.0,0,1825,0,2384.2085,4,2,229.4374237060547,ENCE,45796247-e537-4ee1-b086-d91a5224fde8,2021-11-28T12:09:26Z,Erangel (Remastered),1825,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/12/41/88d09e6d-5048-11ec-9c21-16512f2173af-telemetry.json,f6195ade-3492-447d-badc-4dbc648531f2,"['ENCE_Tiikzu', 'ENCE_D1gg3r1', 'ENCE_Rustanmar', 'ENCE_SKUIJKE']",2,9,3,4435.811275,1578.421126,1217.9232025146484,1645.75
