dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,125.81912,byplayer,0,3,63,0,0,0.0,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,0,0.0,0,0,0,615,0,705.8632,6,16,170.77211260795593,VP,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,93a6a665-5670-4db0-86ae-12cfe0fc0e59,"['VP_spyrro', 'VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu']",16,1,1,829.8411,442.765885,450.046728849411,528.25
2,0,0,82.31565,byplayer,1,0,25,1,1,78.64821,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,0,0.0,0,0,0,443,0,775.2933,5,16,100.0,VP,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,93a6a665-5670-4db0-86ae-12cfe0fc0e59,"['VP_spyrro', 'VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu']",16,1,1,829.8411,442.765885,450.046728849411,528.25
0,1,0,71.664345,byplayer,0,0,64,0,0,0.0,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,0.0,0,0,0,431,0,368.3682,3,16,100.0,VP,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,93a6a665-5670-4db0-86ae-12cfe0fc0e59,"['VP_spyrro', 'VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu']",16,1,1,829.8411,442.765885,450.046728849411,528.25
1,0,3,162.96677,byzone,0,0,62,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,0,0.0,0,0,0,624,0,1469.8397,3,16,79.27461624145508,VP,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,93a6a665-5670-4db0-86ae-12cfe0fc0e59,"['VP_spyrro', 'VP_BatulinS', 'VP_Perfect1ks', 'VP_Lu']",16,1,1,829.8411,442.765885,450.046728849411,528.25
0,0,2,19.839348,byplayer,0,3,44,0,0,0.0,TSM_FTX_Purdy,account.dabe664cde2d403e9b726857078cadc2,0,8516.871,0,0,0,1030,0,652.0954,5,10,100.00000190734863,TSM,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,5ae06cc6-edf0-468e-96a5-cbb2c3809e2c,"['TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",10,7,3,9373.7333425,661.036858,689.2874574661255,1106.25
2,1,8,224.39528,byplayer,1,9,9,2,3,208.25467,TSM_FTX_luke12,account.b8ae161ccc484b25ae64a3ef438b4e03,0,8901.32,0,0,0,1154,0,970.51917,4,10,162.7297592163086,TSM,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,5ae06cc6-edf0-468e-96a5-cbb2c3809e2c,"['TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",10,7,3,9373.7333425,661.036858,689.2874574661255,1106.25
1,1,4,181.05908,byzone,0,6,23,1,1,69.695145,TSM_FTX_penta,account.1e085ebc937e4bca8bd5fb2fad9fbfef,0,7748.0425,0,0,0,1087,0,1035.6415,6,10,147.44496154785156,TSM,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,5ae06cc6-edf0-468e-96a5-cbb2c3809e2c,"['TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",10,7,3,9373.7333425,661.036858,689.2874574661255,1106.25
1,1,5,235.74315,byplayer,1,11,8,2,3,192.34982,TSM_FTX_ALOW,account.d78793e0d9284d0c9db75a09203fefc2,0,8412.935,0,0,0,1154,0,1257.5088,4,10,279.1127347946167,TSM,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,5ae06cc6-edf0-468e-96a5-cbb2c3809e2c,"['TSM_FTX_Purdy', 'TSM_FTX_luke12', 'TSM_FTX_penta', 'TSM_FTX_ALOW']",10,7,3,9373.7333425,661.036858,689.2874574661255,1106.25
0,3,4,367.6263,byplayer,0,5,29,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,3835.6196,0,0,0,1456,0,1400.1782,3,5,206.14925575256348,17,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,fd8a873e-5fc6-4213-b12a-3a3523107548,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",5,5,4,4631.9205,1270.12615,823.2262144088745,1500.0
1,0,3,242.21202,byplayer,1,1,21,1,1,30.147297,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,2689.8118,0,0,0,1518,0,1250.9119,3,5,120.64899444580078,17,45f325a3-4723-44a6-a649-940345898e33,2021-11-28T09:59:27Z,Miramar,1753,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/28/10/30/366f208d-5036-11ec-9c21-16512f2173af-telemetry.json,fd8a873e-5fc6-4213-b12a-3a3523107548,"['17_shou', '17_Xbei', '17_LilGhost', '17_SuJiu']",5,5,4,4631.9205,1270.12615,823.2262144088745,1500.0
