dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,1,0,203.24211,byplayer,0,0,21,1,1,151.7582,GNS_hwinn,account.ee16df41e70c4e9c8b676a9ced840668,0,164.0895,0,0.0,0,1235.737,0,2040.6842,6,4,100.00000381469727,GNS,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,97c4d4cd-1e80-48f1-9a58-12b525fb39a3,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Kaymind', 'GNS_Pr0phie']",4,3,6,2487.625,683.32607,531.959716796875,1235.73825
0,1,1,63.72015,byplayer,0,0,22,1,1,135.2623,GNS_Nerf,account.c05392d139b047018f59a7b62d2b29cb,0,1028.2853,0,0.0,0,1235.734,0,1422.4927,3,4,100.00000381469727,GNS,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,97c4d4cd-1e80-48f1-9a58-12b525fb39a3,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Kaymind', 'GNS_Pr0phie']",4,3,6,2487.625,683.32607,531.959716796875,1235.73825
2,2,2,179.83885,suicide,0,2,71,0,0,0.0,GNS_Kaymind,account.8476c8b8df21479d96f1d89083166234,1,968.9073,0,0.0,1,1235.74,0,1660.8894,5,4,195.95970916748047,GNS,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,97c4d4cd-1e80-48f1-9a58-12b525fb39a3,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Kaymind', 'GNS_Pr0phie']",4,3,6,2487.625,683.32607,531.959716796875,1235.73825
2,2,1,236.52496,byplayer,1,1,20,1,1,137.71455,GNS_Pr0phie,account.6215a8dc42c34975b4be87aaa99c30e2,1,598.7969,0,0.0,0,1235.742,0,2066.3547,4,4,136.0,GNS,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,97c4d4cd-1e80-48f1-9a58-12b525fb39a3,"['GNS_hwinn', 'GNS_Nerf', 'GNS_Kaymind', 'GNS_Pr0phie']",4,3,6,2487.625,683.32607,531.959716796875,1235.73825
2,2,3,414.44864,alive,1,5,3,1,3,185.2313,TSM_rawryy,account.6017d51e985f4b37aab42d99e30b2033,0,2100.2703,0,0.0,0,1285.322,0,2458.2285,4,1,169.1750602722168,TSM,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,aa743a79-dfb5-400f-ba10-ace6bb46863d,"['TSM_rawryy', 'TSM_Gustav', 'TSM_mykLe', 'TSM_Iroh']",1,15,7,3088.0011000000004,2016.1526700000002,851.3907947540283,1070.24175
1,1,2,95.263,byplayer,0,1,16,1,1,6.2607317,TSM_Gustav,account.5efb30a2608144a089191bd092f412a5,0,1443.2003,0,0.0,0,425.001,0,682.0994,4,1,187.00000190734863,TSM,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,aa743a79-dfb5-400f-ba10-ace6bb46863d,"['TSM_rawryy', 'TSM_Gustav', 'TSM_mykLe', 'TSM_Iroh']",1,15,7,3088.0011000000004,2016.1526700000002,851.3907947540283,1070.24175
4,0,4,664.0194,alive,1,6,2,2,4,130.94893,TSM_mykLe,account.6a94ab85409d45658d2634da39c0f526,0,1286.7466,0,0.0,0,1285.322,0,1258.8778,3,1,284.4869689941406,TSM,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,aa743a79-dfb5-400f-ba10-ace6bb46863d,"['TSM_rawryy', 'TSM_Gustav', 'TSM_mykLe', 'TSM_Iroh']",1,15,7,3088.0011000000004,2016.1526700000002,851.3907947540283,1070.24175
3,4,6,842.42163,alive,1,3,1,3,7,237.07062,TSM_Iroh,account.794aa5d7b0b443949366b8c2bd3efe55,2,1360.6034,0,0.0,0,1285.322,0,1761.9781,4,1,210.72876358032227,TSM,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,aa743a79-dfb5-400f-ba10-ace6bb46863d,"['TSM_rawryy', 'TSM_Gustav', 'TSM_mykLe', 'TSM_Iroh']",1,15,7,3088.0011000000004,2016.1526700000002,851.3907947540283,1070.24175
1,0,4,275.8267,byplayer,0,1,10,1,2,159.45546,TL_ibiza,account.f399afc807be47e992dc902e5f6f501a,1,1844.0359,0,0.0,0,1107.96,0,1560.0869,5,5,249.26850509643555,TL,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,41feea46-dc9e-4a1b-be6a-fd84ce5adce4,"['TL_ibiza', 'TL_Jembty', 'TL_Sambty', 'TL_jeemzz']",5,4,2,3092.159075,939.0737900000001,1221.7069149017334,971.99175
0,1,3,243.08984,byplayer,1,11,23,1,1,7.6889143,TL_Jembty,account.1651cfaf5f2941b1935f858705005d3b,0,971.225,0,0.0,0,879.297,0,1381.8771,3,5,246.83173942565918,TL,46750096-1c56-4c36-9432-53c8b9a7af9a,2019-11-10T03:06:52Z,Sanhok,1285,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/10/03/29/59f76907-036a-11ea-adac-0a586469f39e-telemetry.json,41feea46-dc9e-4a1b-be6a-fd84ce5adce4,"['TL_ibiza', 'TL_Jembty', 'TL_Sambty', 'TL_jeemzz']",5,4,2,3092.159075,939.0737900000001,1221.7069149017334,971.99175
