dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,1,112.14,byplayer,0,0,59,0,0,0.0,ENCE_Rustanmar,account.2ca3e70c28b8488d8d33c62bf6859e36,0,5206.3706,0,0,0,1046,0,997.0408,7,14,92.8894157409668,ENCE,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,3ba403e2-f52d-4edb-9498-493d9591cae9,"['ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",14,0,3,5476.6864575,386.13498300000003,396.8894157409668,1046.0
0,1,0,86.76399,byplayer,0,0,58,0,0,0.0,ENCE_Tiikzu,account.fe384a064efa4c0cbca86ad173dd3d27,0,3156.5244,0,0,0,1046,0,887.36584,4,14,100.0,ENCE,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,3ba403e2-f52d-4edb-9498-493d9591cae9,"['ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",14,0,3,5476.6864575,386.13498300000003,396.8894157409668,1046.0
2,1,1,155.74365,byplayer,0,0,56,0,0,0.0,ENCE_SKUIJKE,account.d298860040d14f0ca5bf45a1e266ffe6,0,4680.5264,0,0,0,1046,0,912.66125,5,14,104.0,ENCE,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,3ba403e2-f52d-4edb-9498-493d9591cae9,"['ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",14,0,3,5476.6864575,386.13498300000003,396.8894157409668,1046.0
0,0,0,31.487343,byplayer,0,0,57,0,0,0.0,ENCE_D1gg3r1,account.c3197b96591247e3b2984ffd7b0c3ece,0,5209.193,0,0,0,1046,0,857.06354,5,14,100.0,ENCE,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,3ba403e2-f52d-4edb-9498-493d9591cae9,"['ENCE_Rustanmar', 'ENCE_Tiikzu', 'ENCE_SKUIJKE', 'ENCE_D1gg3r1']",14,0,3,5476.6864575,386.13498300000003,396.8894157409668,1046.0
0,0,1,0.0,byplayer,0,0,51,0,0,0.0,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,2012.4744,0,0,0,526,0,716.2843,5,9,100.0,MaD,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,64425268-b6a9-46f4-88bc-f07fbe5dde97,"['MaD_DAEVA', 'MaD_2tap', 'MaD_Lash', 'MaD_EEND']",9,1,0,6991.812400000001,214.325715,495.740047454834,1063.25
0,0,6,110.4255,byzone,0,2,49,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,6301.6973,0,0,0,1214,0,1799.37,3,9,63.76043891906738,MaD,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,64425268-b6a9-46f4-88bc-f07fbe5dde97,"['MaD_DAEVA', 'MaD_2tap', 'MaD_Lash', 'MaD_EEND']",9,1,0,6991.812400000001,214.325715,495.740047454834,1063.25
0,0,1,19.418385,byzone,0,0,50,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,6417.0376,0,0,0,1168,0,1919.7858,6,9,100.00000190734863,MaD,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,64425268-b6a9-46f4-88bc-f07fbe5dde97,"['MaD_DAEVA', 'MaD_2tap', 'MaD_Lash', 'MaD_EEND']",9,1,0,6991.812400000001,214.325715,495.740047454834,1063.25
0,0,3,84.48183,byplayer,1,3,24,1,1,182.00912,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,7018.2075,0,0,0,1345,0,1782.3927,4,9,231.97960662841797,MaD,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,64425268-b6a9-46f4-88bc-f07fbe5dde97,"['MaD_DAEVA', 'MaD_2tap', 'MaD_Lash', 'MaD_EEND']",9,1,0,6991.812400000001,214.325715,495.740047454834,1063.25
0,0,3,29.04,byplayer,0,0,43,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,3141.9268,0,0,0,995,0,838.3585,3,7,123.99999618530273,NH,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,11e32759-1345-4c2b-95d2-031a45a2b2b2,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",7,3,0,3682.892175,591.83449,1030.8081760406494,1221.5
1,0,5,255.78372,byplayer,0,7,23,1,1,16.053637,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,2597.5713,0,0,0,1460,0,864.2429,6,7,372.7200050354004,NH,4784524c-bba8-4d5f-ba61-839b6e54d46e,2021-12-05T12:10:06Z,Erangel (Remastered),1636,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/05/12/39/5a9c800f-55c8-11ec-9c21-16512f2173af-telemetry.json,11e32759-1345-4c2b-95d2-031a45a2b2b2,"['NH_Nannnnn', 'NH_MMing', 'NH_ZpYan1', 'NH_HSmm']",7,3,0,3682.892175,591.83449,1030.8081760406494,1221.5
