dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,1,0,98.37545,byplayer,0,1,91,0,0,0.0,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,2997.6462,0,26.802116,0,687.457,0,1691.7347,3,14,115.00000381469727,QM,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,5a2a11ee-1111-4160-bb81-36d5925a2584,"['QM_YIZz', 'QM_L1gEEE', 'QM_WuFeng', 'QM_JiYy']",14,0,1,4569.5072555,150.512136,443.8225746154785,682.63725
0,0,1,24.053398,byplayer,0,0,92,0,0,0.0,QM_L1gEEE,account.1774c398a1f4414798ca5bf4dc562d6c,0,2980.1628,0,39.41457,0,687.454,0,1616.9745,6,14,128.82256889343262,QM,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,5a2a11ee-1111-4160-bb81-36d5925a2584,"['QM_YIZz', 'QM_L1gEEE', 'QM_WuFeng', 'QM_JiYy']",14,0,1,4569.5072555,150.512136,443.8225746154785,682.63725
0,0,0,0.0,byplayer,0,0,94,0,0,0.0,QM_WuFeng,account.3b85d17598854a55bdb3e122776bf289,0,3472.1743,0,29.19834,0,668.185,0,627.51526,4,14,100.00000190734863,QM,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,5a2a11ee-1111-4160-bb81-36d5925a2584,"['QM_YIZz', 'QM_L1gEEE', 'QM_WuFeng', 'QM_JiYy']",14,0,1,4569.5072555,150.512136,443.8225746154785,682.63725
0,0,0,28.083288,byplayer,0,0,93,0,0,0.0,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,3073.8552,0,14.352436,0,687.453,0,1708.1986,2,14,100.0,QM,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,5a2a11ee-1111-4160-bb81-36d5925a2584,"['QM_YIZz', 'QM_L1gEEE', 'QM_WuFeng', 'QM_JiYy']",14,0,1,4569.5072555,150.512136,443.8225746154785,682.63725
0,1,8,120.799835,byzone,0,29,77,0,0,0.0,AG_Sceat,account.d5a6c85374884406b318a319b9a87c9c,0,8788.463,0,0.0,0,1408.366,0,2023.0197,9,7,227.65858840942383,AG,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,8eac6e92-4f8b-4bc4-9533-284e8fb387c4,"['AG_Sceat', 'AG_DUCKMANZ', 'AG_ThanawatTH', 'AG_DMG']",7,2,1,5628.0849637500005,626.176665,657.1806964874268,812.917
2,0,1,200.0,byplayer,0,0,22,1,1,16.516651,AG_DUCKMANZ,account.6cec6b06f76f48638fd4246f0725b43c,0,458.42932,0,0.0,0,266.717,0,267.24915,2,7,104.00000095367432,AG,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,8eac6e92-4f8b-4bc4-9533-284e8fb387c4,"['AG_Sceat', 'AG_DUCKMANZ', 'AG_ThanawatTH', 'AG_DMG']",7,2,1,5628.0849637500005,626.176665,657.1806964874268,812.917
2,0,8,231.57683,suicide,0,13,21,1,1,197.3596,AG_ThanawatTH,account.811ca6491d414b0894402fb6566a60e6,0,8818.436,0,0.0,1,1387.393,0,1890.8966,6,7,225.52210903167725,AG,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,8eac6e92-4f8b-4bc4-9533-284e8fb387c4,"['AG_Sceat', 'AG_DUCKMANZ', 'AG_ThanawatTH', 'AG_DMG']",7,2,1,5628.0849637500005,626.176665,657.1806964874268,812.917
0,0,0,73.8,byplayer,0,0,78,0,0,0.0,AG_DMG,account.776570bfefe04e3c90e881fbb688b6a1,0,95.169235,0,0.0,0,189.192,0,170.67685,3,7,99.99999809265137,AG,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,8eac6e92-4f8b-4bc4-9533-284e8fb387c4,"['AG_Sceat', 'AG_DUCKMANZ', 'AG_ThanawatTH', 'AG_DMG']",7,2,1,5628.0849637500005,626.176665,657.1806964874268,812.917
0,0,2,345.0108,byzone,0,0,75,0,0,0.0,WCK_Harald,account.917b2ef248a34b4c8c99d33c8205e66e,0,932.3312,0,6.264228,0,1430.096,0,2244.8604,6,6,125.01112365722656,WCK,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,bdfe94d1-2665-4b5d-8619-7c463f9736f3,"['WCK_Harald', 'WCK_Ragnar', 'WCK_RiboxD', 'WCK_SzylzEN']",6,3,2,3686.838718675,1147.0109400000001,621.8159732818604,1413.2404999999999
1,1,1,256.47577,byplayer,0,3,20,1,1,41.449795,WCK_Ragnar,account.29da1c767250446294f96e7d461d5312,0,2565.6626,0,19.544489,0,1378.149,0,1896.1715,6,6,150.69934463500977,WCK,49ca2ae6-a956-43d9-aafa-4e0dba74d460,2019-11-11T02:30:05Z,Erangel,1706,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/11/02/59/58d5c9ba-042f-11ea-adac-0a586469f39e-telemetry.json,bdfe94d1-2665-4b5d-8619-7c463f9736f3,"['WCK_Harald', 'WCK_Ragnar', 'WCK_RiboxD', 'WCK_SzylzEN']",6,3,2,3686.838718675,1147.0109400000001,621.8159732818604,1413.2404999999999
