dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,2,152.8,byplayer,1,0,32,1,1,4.505013,T5_RangerX,account.69aefbfb61a9422faf6df12ba43218c4,0,10018.797,0,0,0,921,0,604.87415,7,14,150.58946990966797,T5,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,7be452b7-3e2a-40c9-91f1-e1952e8cc9f5,"['T5_RangerX', 'T5_Excrozit', 'T5_RossitedJR', 'T5_Pathompong']",14,1,0,9749.4572875,448.05421800000005,659.5185022354126,906.5
2,0,3,270.90714,byplayer,0,1,57,0,0,0.0,T5_Excrozit,account.b74654556042426589f19db7a07c846a,0,9823.273,0,0,0,921,0,474.4374,6,14,205.05988311767578,T5,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,7be452b7-3e2a-40c9-91f1-e1952e8cc9f5,"['T5_RangerX', 'T5_Excrozit', 'T5_RossitedJR', 'T5_Pathompong']",14,1,0,9749.4572875,448.05421800000005,659.5185022354126,906.5
1,0,1,24.347078,byplayer,0,1,58,0,0,0.0,T5_RossitedJR,account.79b79c855d034863bf85899712bd6fe9,1,7929.7036,0,0,0,893,0,638.4766,4,14,153.22748565673828,T5,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,7be452b7-3e2a-40c9-91f1-e1952e8cc9f5,"['T5_RangerX', 'T5_Excrozit', 'T5_RossitedJR', 'T5_Pathompong']",14,1,0,9749.4572875,448.05421800000005,659.5185022354126,906.5
0,0,2,0.0,byplayer,0,2,59,0,0,0.0,T5_Pathompong,account.ac9a1930a7824dac8b291181465f078b,0,8916.3545,0,0,0,891,0,591.9129,5,14,150.64166355133057,T5,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,7be452b7-3e2a-40c9-91f1-e1952e8cc9f5,"['T5_RangerX', 'T5_Excrozit', 'T5_RossitedJR', 'T5_Pathompong']",14,1,0,9749.4572875,448.05421800000005,659.5185022354126,906.5
1,1,4,48.27058,byplayer,1,1,19,1,1,30.654993,YAHO_sparkingg,account.4071833e7777497e8e433549925ce905,0,7382.129,0,0,0,1268,0,1007.00696,6,5,188.4852638244629,YAHO,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,476388dc-b093-40bd-a9d9-7d5e2db83f54,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Shinboi', 'YAHO_Poonage']",5,3,2,8022.938749999999,366.777348,628.604250907898,1185.75
1,1,4,188.26677,byplayer,1,0,20,1,1,27.441063,YAHO_Balefrost,account.8217fe6ac89b4e508e0da00440e62bb9,0,6733.642,0,0,0,1267,0,1089.2141,5,5,100.00000476837158,YAHO,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,476388dc-b093-40bd-a9d9-7d5e2db83f54,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Shinboi', 'YAHO_Poonage']",5,3,2,8022.938749999999,366.777348,628.604250907898,1185.75
1,0,3,100.0,byplayer,1,3,18,1,1,7.4026666,YAHO_Shinboi,account.b921a94da9ed4fe49e1b74341907223c,0,6607.706,0,0,0,1520,0,1506.1375,5,5,240.11898612976074,YAHO,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,476388dc-b093-40bd-a9d9-7d5e2db83f54,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Shinboi', 'YAHO_Poonage']",5,3,2,8022.938749999999,366.777348,628.604250907898,1185.75
0,0,2,30.239998,byplayer,0,0,40,0,0,0.0,YAHO_Poonage,account.f0c0b6217fb348d9b5876a065b774ddd,0,7320.4976,0,0,0,688,0,445.42184,5,5,99.99999618530273,YAHO,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,476388dc-b093-40bd-a9d9-7d5e2db83f54,"['YAHO_sparkingg', 'YAHO_Balefrost', 'YAHO_Shinboi', 'YAHO_Poonage']",5,3,2,8022.938749999999,366.777348,628.604250907898,1185.75
0,0,1,130.70805,byplayer,0,2,46,0,0,0.0,NAVI_Mell,account.a1d07c3d40c14639a89034fd1fc52db4,1,3204.0647,0,0,0,1373,0,1064.5774,5,8,256.7654113769531,NAVI,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,c2968a40-5d41-460f-a236-06f28e30e006,"['NAVI_Mell', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_ubah']",8,5,4,4695.418475,1073.8886200000002,726.0407810211182,1353.0
2,1,3,408.96378,byplayer,0,1,7,1,3,25.961035,NAVI_xmpl,account.ef9c306449214163865596d3c1605bbd,1,3761.8167,0,0,0,1379,0,1106.3734,6,8,222.8086452484131,NAVI,4aac237e-161c-4613-a6f6-b7dcd10ae02b,2022-11-03T14:27:57Z,Miramar,1768,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/03/14/59/1a45e8a6-5b88-11ed-a4c3-16512f2173af-telemetry.json,c2968a40-5d41-460f-a236-06f28e30e006,"['NAVI_Mell', 'NAVI_xmpl', 'NAVI_alya', 'NAVI_ubah']",8,5,4,4695.418475,1073.8886200000002,726.0407810211182,1353.0
