dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,0,8,97.70528,byplayer,0,2,17,1,1,8.036629,T5_Excrozit,account.8fafd7bc23a24f15a91b950682e848ea,0,4777.061,0,0.0,0,1401,0,632.4758,5,4,183.22597312927246,T5,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,3a579312-c274-47c9-b8b2-c148aa4d0a2e,"['T5_Excrozit', 'T5_Pathompong', 'T5_RangerX', 'T5_RossitedJR']",4,1,0,5067.2482925,97.70528,606.4293727874756,1038.75
0,0,3,0.0,byplayer,0,1,40,0,0,0.0,T5_Pathompong,account.24dcc1e38a224535999406e3396540bf,0,4358.081,0,0.0,0,1039,0,870.9978,3,4,155.87850952148438,T5,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,3a579312-c274-47c9-b8b2-c148aa4d0a2e,"['T5_Excrozit', 'T5_Pathompong', 'T5_RangerX', 'T5_RossitedJR']",4,1,0,5067.2482925,97.70528,606.4293727874756,1038.75
0,0,0,0.0,byplayer,0,0,41,0,0,0.0,T5_RangerX,account.27a39e3ce2654fa28fb55a24c575b15f,0,4332.1367,0,0.0,0,673,0,554.8848,4,4,100.00000190734863,T5,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,3a579312-c274-47c9-b8b2-c148aa4d0a2e,"['T5_Excrozit', 'T5_Pathompong', 'T5_RangerX', 'T5_RossitedJR']",4,1,0,5067.2482925,97.70528,606.4293727874756,1038.75
0,0,0,0.0,byplayer,0,1,39,0,0,0.0,T5_RossitedJR,account.082337a54f4644bbbf47f174aa1a8ae7,0,4125.739,0,0.0,0,1042,0,617.61707,6,4,167.32488822937012,T5,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,3a579312-c274-47c9-b8b2-c148aa4d0a2e,"['T5_Excrozit', 'T5_Pathompong', 'T5_RangerX', 'T5_RossitedJR']",4,1,0,5067.2482925,97.70528,606.4293727874756,1038.75
0,0,3,53.498928,byplayer,0,0,52,0,0,0.0,PP_Marcelek,account.405763df5a0d40d6bcaa99a21dff2a8f,0,7806.31,0,0.0,0,1056,0,786.4087,7,11,141.69621086120605,PP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,61b4a4e3-6809-47db-88ab-7b95964525f3,"['PP_Marcelek', 'PP_Krunio', 'PP_K4pii', 'PP_KnorkiS']",11,2,0,8218.187075,552.811898,884.750412940979,1172.75
0,0,2,41.58,byplayer,0,2,51,0,0,0.0,PP_Krunio,account.8f7ee84367044b0c94af1caf8cd621e1,0,7537.1606,0,0.0,0,1160,0,554.9748,4,11,272.3286600112915,PP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,61b4a4e3-6809-47db-88ab-7b95964525f3,"['PP_Marcelek', 'PP_Krunio', 'PP_K4pii', 'PP_KnorkiS']",11,2,0,8218.187075,552.811898,884.750412940979,1172.75
2,0,2,212.07092,byplayer,0,2,32,1,1,5.416517,PP_K4pii,account.8ecb401959e549a282ab0f6f8e212fb3,1,7481.792,0,0.0,0,1236,0,635.7114,4,11,222.54320335388184,PP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,61b4a4e3-6809-47db-88ab-7b95964525f3,"['PP_Marcelek', 'PP_Krunio', 'PP_K4pii', 'PP_KnorkiS']",11,2,0,8218.187075,552.811898,884.750412940979,1172.75
1,0,3,245.66205,byplayer,1,2,31,1,1,36.807602,PP_KnorkiS,account.4f733cb2c08f46f09d6e8df657d981af,0,7017.4907,0,0.0,0,1239,0,1052.9001,4,11,248.1823387145996,PP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,61b4a4e3-6809-47db-88ab-7b95964525f3,"['PP_Marcelek', 'PP_Krunio', 'PP_K4pii', 'PP_KnorkiS']",11,2,0,8218.187075,552.811898,884.750412940979,1172.75
1,2,4,169.94333,alive,0,3,15,1,1,78.232574,BGP_Seongjang,account.e996b065f2164d94b10d7e649c21d1b5,0,7317.7983,0,0.0,0,1697,0,1409.2483,5,1,65.32453346252441,BGP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,2286b25e-2e7d-4ef1-b28a-31c3b6a6dfcb,"['BGP_Seongjang', 'BGP_taemin', 'BGP_Pio', 'BGP_DG98']",1,11,7,9078.535124999999,1520.7478999999998,814.2696838378906,1697.0
0,1,7,263.1948,alive,0,3,37,0,0,0.0,BGP_taemin,account.21265833d3cf4db290ff2d4748197655,0,7795.6323,0,0.0,0,1697,0,1294.2903,6,1,186.50502395629883,BGP,4b3d1ade-91bf-4300-8c55-adf7da64fb84,2022-11-11T15:13:22Z,Erangel (Remastered),1697,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2022/11/11/15/43/9afcf48f-61d7-11ed-a4c3-16512f2173af-telemetry.json,2286b25e-2e7d-4ef1-b28a-31c3b6a6dfcb,"['BGP_Seongjang', 'BGP_taemin', 'BGP_Pio', 'BGP_DG98']",1,11,7,9078.535124999999,1520.7478999999998,814.2696838378906,1697.0
