dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,2,1,349.94574,byplayer,0,5,44,0,0,0.0,17_shou,account.9afb3dc796dc41c7a2c628d9ffe3c2a8,0,2054.1616,0,0,0,1459,0,1154.9402,4,7,229.28231811523438,17,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,236f6aad-06a1-4d11-bf14-060248148a96,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",7,2,6,2985.346025,1037.14598,970.6705846786499,1458.25
2,0,3,160.04993,byplayer,0,4,20,1,1,78.63709,17_LilGhost,account.2f6ae84a8b73465096f9c070ba0f34a4,0,2071.6052,0,0,0,1459,0,1571.1461,8,7,269.7705535888672,17,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,236f6aad-06a1-4d11-bf14-060248148a96,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",7,2,6,2985.346025,1037.14598,970.6705846786499,1458.25
0,1,3,213.32109,byplayer,1,7,21,1,1,39.899147,17_Xbei,account.51374cc978324613854343ddaf025cd7,0,1307.0121,0,0,0,1459,0,1125.1584,11,7,282.0545902252197,17,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,236f6aad-06a1-4d11-bf14-060248148a96,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",7,2,6,2985.346025,1037.14598,970.6705846786499,1458.25
3,3,2,313.82922,byplayer,0,5,45,0,0,0.0,17_SuJiu,account.9eddb3b863c240d18f1637300619e040,0,1185.5529,0,0,0,1456,0,1471.8076,4,7,189.5631227493286,17,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,236f6aad-06a1-4d11-bf14-060248148a96,"['17_shou', '17_LilGhost', '17_Xbei', '17_SuJiu']",7,2,6,2985.346025,1037.14598,970.6705846786499,1458.25
2,0,4,128.19096,byzone,1,8,9,1,3,101.23428,GHD_3007,account.3ba05a082b83466c89b3446e968de306,0,3241.8865,0,0,0,1319,0,2084.403,4,11,493.5316457748413,GHD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,955cb1ff-9f05-4620-8fbb-c2efb5c999c4,"['GHD_3007', 'GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg']",11,4,0,4195.2560175,332.45696,896.7678422927856,1184.0
0,0,2,0.0,byplayer,0,1,51,0,0,0.0,GHD_McMoo,account.da079eb9b3604db588b2853c581f2f8d,0,2168.8516,0,0,0,1313,0,2167.2837,2,11,132.75962829589844,GHD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,955cb1ff-9f05-4620-8fbb-c2efb5c999c4,"['GHD_3007', 'GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg']",11,4,0,4195.2560175,332.45696,896.7678422927856,1184.0
1,0,0,78.0,byplayer,0,0,52,0,0,0.0,GHD_Sylphyy,account.f982864e72c54b0ea9af2c174616f3ac,0,266.36407,0,0,0,785,0,2166.7715,2,11,100.0,GHD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,955cb1ff-9f05-4620-8fbb-c2efb5c999c4,"['GHD_3007', 'GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg']",11,4,0,4195.2560175,332.45696,896.7678422927856,1184.0
1,0,2,126.266,byplayer,0,1,26,1,1,54.893257,GHD_d1sgustingg,account.1a9b8e2b8f794c67aff99d966c944f0d,0,2477.055,0,0,0,1319,0,2208.4087,4,11,170.4765682220459,GHD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,955cb1ff-9f05-4620-8fbb-c2efb5c999c4,"['GHD_3007', 'GHD_McMoo', 'GHD_Sylphyy', 'GHD_d1sgustingg']",11,4,0,4195.2560175,332.45696,896.7678422927856,1184.0
0,1,3,123.85382,byzone,0,1,18,1,1,132.06921,TL_mxey,account.e6d6bdf0327f4453bcb187ee01fdbc54,1,3811.7837,0,0,0,1624,0,1860.9564,2,5,138.80061149597168,TL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,ec6fd7c8-7a49-4d6f-893d-223c654c0515,"['TL_mxey', 'TL_jeemzz', 'TL_clib', 'TL_ibiza']",5,7,5,4812.81975,933.3768,907.708441734314,1339.0
3,3,5,456.18344,byplayer,0,2,13,2,2,42.136665,TL_jeemzz,account.237b866a4f4848c8bfc1002d07dab622,0,2519.4634,0,0,0,406,0,1315.5615,4,5,246.13771057128906,TL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,ec6fd7c8-7a49-4d6f-893d-223c654c0515,"['TL_mxey', 'TL_jeemzz', 'TL_clib', 'TL_ibiza']",5,7,5,4812.81975,933.3768,907.708441734314,1339.0
1,0,1,217.23163,byplayer,1,4,7,2,3,33.803944,TL_clib,account.81d3e8ea564c46598ae212ef4db47746,0,3043.096,0,0,0,1653,0,1643.7898,2,5,268.13746547698975,TL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,ec6fd7c8-7a49-4d6f-893d-223c654c0515,"['TL_mxey', 'TL_jeemzz', 'TL_clib', 'TL_ibiza']",5,7,5,4812.81975,933.3768,907.708441734314,1339.0
0,1,7,136.10791,byplayer,1,3,17,1,1,145.78448,TL_ibiza,account.94e9e160ce2f471c8e4892e55fd6c5be,1,2631.1562,0,0,0,1673,0,2425.472,3,5,254.63265419006348,TL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,ec6fd7c8-7a49-4d6f-893d-223c654c0515,"['TL_mxey', 'TL_jeemzz', 'TL_clib', 'TL_ibiza']",5,7,5,4812.81975,933.3768,907.708441734314,1339.0
4,4,3,657.1133,byzone,2,9,5,1,3,135.78035,SQ_hwinn,account.9caf7689c1c040be80ff1737f7b71379,0,1178.072,0,0,0,1869,0,2027.9719,3,2,195.44474983215332,SQ,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,9cd56f1d-5b5b-4b8d-aa9a-4df2b04aa2d0,"['SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN', 'SQ_Shrimzy']",2,8,11,3041.14639,1611.6574,635.8135557174683,1848.5
2,1,1,218.56726,byplayer,0,0,16,1,1,142.67143,SQ_M1ME,account.cf5764eb0d5f4557b5e668a130cfa8d0,1,1558.4811,0,0,0,1733,0,2001.2074,6,2,126.44012832641602,SQ,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,9cd56f1d-5b5b-4b8d-aa9a-4df2b04aa2d0,"['SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN', 'SQ_Shrimzy']",2,8,11,3041.14639,1611.6574,635.8135557174683,1848.5
0,4,4,481.90723,byplayer,0,3,35,0,0,0.0,SQ_TGLTN,account.0ab94b0a51a541d396ffebd2f6dead14,0,1498.0046,0,0,0,1896,0,1627.6008,4,2,213.92867851257324,SQ,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,9cd56f1d-5b5b-4b8d-aa9a-4df2b04aa2d0,"['SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN', 'SQ_Shrimzy']",2,8,11,3041.14639,1611.6574,635.8135557174683,1848.5
4,2,0,254.06961,byplayer,0,0,3,2,4,164.02916,SQ_Shrimzy,account.1d66810925d2468c87f95bffe428b2a8,0,323.07196,0,0,0,1896,0,1950.1758,10,2,99.99999904632568,SQ,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,9cd56f1d-5b5b-4b8d-aa9a-4df2b04aa2d0,"['SQ_hwinn', 'SQ_M1ME', 'SQ_TGLTN', 'SQ_Shrimzy']",2,8,11,3041.14639,1611.6574,635.8135557174683,1848.5
0,0,5,46.30464,byplayer,0,3,54,0,0,0.0,MaD_Lash,account.838e89bc7d184ced83ca824671cd2414,0,10030.794,0,0,0,1301,0,1084.535,5,12,370.86302757263184,MaD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,894bc584-bf3b-4d53-82c6-8230648c15a4,"['MaD_Lash', 'MaD_EEND', 'MaD_2tap', 'MaD_DAEVA']",12,1,0,10562.4531125,204.934661,852.5696392059326,1188.0
0,0,2,76.570435,byzone,0,2,27,1,1,138.05171,MaD_EEND,account.de5b3ad505c44295b5445017fa5c11ff,0,9748.331,0,0,0,1287,0,852.91425,3,12,148.87590980529785,MaD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,894bc584-bf3b-4d53-82c6-8230648c15a4,"['MaD_Lash', 'MaD_EEND', 'MaD_2tap', 'MaD_DAEVA']",12,1,0,10562.4531125,204.934661,852.5696392059326,1188.0
0,0,5,82.059586,byplayer,0,1,53,0,0,0.0,MaD_2tap,account.ac0df3688a404880b8f494567aa512fa,0,9345.14,0,0,0,1301,0,1194.987,4,12,198.3007049560547,MaD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,894bc584-bf3b-4d53-82c6-8230648c15a4,"['MaD_Lash', 'MaD_EEND', 'MaD_2tap', 'MaD_DAEVA']",12,1,0,10562.4531125,204.934661,852.5696392059326,1188.0
0,0,2,0.0,byplayer,0,1,55,0,0,0.0,MaD_DAEVA,account.2b65056034e6433aa65f77450109cbde,0,9200.268,0,0,0,863,0,792.8432,5,12,134.52999687194824,MaD,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,894bc584-bf3b-4d53-82c6-8230648c15a4,"['MaD_Lash', 'MaD_EEND', 'MaD_2tap', 'MaD_DAEVA']",12,1,0,10562.4531125,204.934661,852.5696392059326,1188.0
0,0,5,227.43494,byplayer,0,7,28,1,1,56.393272,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,2987.7725,0,0,0,1259,0,1341.7261,5,13,253.82896995544434,NH,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,17b42345-4360-4aa6-99e4-18c1cf361af7,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",13,4,2,3937.044375,662.37934,802.6248397827148,1202.75
3,0,4,285.5594,byplayer,0,1,10,3,3,88.629074,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,1846.0942,0,0,0,1170,0,1126.4193,4,13,179.93998336791992,NH,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,17b42345-4360-4aa6-99e4-18c1cf361af7,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",13,4,2,3937.044375,662.37934,802.6248397827148,1202.75
0,0,3,0.0,byplayer,0,2,57,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,3354.8887,0,0,0,1120,0,1281.8322,4,13,182.78439331054688,NH,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,17b42345-4360-4aa6-99e4-18c1cf361af7,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",13,4,2,3937.044375,662.37934,802.6248397827148,1202.75
0,2,2,149.385,byplayer,0,4,56,0,0,0.0,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,1,2484.1558,0,0,0,1262,0,1325.2887,4,13,186.0714931488037,NH,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,17b42345-4360-4aa6-99e4-18c1cf361af7,"['NH_ZpYan1', 'NH_MMing', 'NH_Nannnnn', 'NH_HSmm']",13,4,2,3937.044375,662.37934,802.6248397827148,1202.75
0,0,6,81.9976,byplayer,0,0,43,0,0,0.0,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,1,2500.8875,0,0,0,910,0,1148.0076,2,6,129.97163772583008,GBL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,5333ca37-d188-4ac9-a369-8c1105f234c8,"['GBL_Spear', 'GBL_Renba', 'GBL_Lambu', 'GBL_Adder']",6,1,0,3871.380325,473.31818999999996,641.9318733215332,1328.5
1,0,5,313.5831,byplayer,0,3,41,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,1,2833.3918,0,0,0,1628,0,870.1481,5,6,210.96024131774902,GBL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,5333ca37-d188-4ac9-a369-8c1105f234c8,"['GBL_Spear', 'GBL_Renba', 'GBL_Lambu', 'GBL_Adder']",6,1,0,3871.380325,473.31818999999996,641.9318733215332,1328.5
0,0,2,77.73749,byplayer,0,0,19,1,1,80.13603,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,0,3112.4856,0,0,0,1383,0,1326.5084,6,6,102.0,GBL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,5333ca37-d188-4ac9-a369-8c1105f234c8,"['GBL_Spear', 'GBL_Renba', 'GBL_Lambu', 'GBL_Adder']",6,1,0,3871.380325,473.31818999999996,641.9318733215332,1328.5
0,0,3,0.0,byplayer,0,1,42,0,0,0.0,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,2360.5059,0,0,0,1393,0,1333.5864,5,6,198.9999942779541,GBL,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,5333ca37-d188-4ac9-a369-8c1105f234c8,"['GBL_Spear', 'GBL_Renba', 'GBL_Lambu', 'GBL_Adder']",6,1,0,3871.380325,473.31818999999996,641.9318733215332,1328.5
0,0,3,286.22272,byplayer,0,4,46,0,0,0.0,GEX_YanLi,account.43c68ea2738241ff95398ea4a308da2d,0,6865.549,0,0,0,1411,0,969.7776,4,8,305.0690727233887,GEX,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,f4e16c43-6820-4ad1-81d1-b0da5690a682,"['GEX_YanLi', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_SSR']",8,3,0,7293.308674999999,893.445746,826.6803150177002,1344.75
2,0,4,210.21002,byplayer,0,2,14,1,2,69.41727,GEX_Savior,account.644a0992f38e4faaaf45384875893bcc,0,5748.486,0,0,0,1380,0,1193.5186,4,8,234.72097969055176,GEX,4bb33a35-debd-4ca0-90dd-d710c89d3523,2021-12-01T14:24:03Z,Erangel (Remastered),1896,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/01/14/57/03142686-52b7-11ec-9c21-16512f2173af-telemetry.json,f4e16c43-6820-4ad1-81d1-b0da5690a682,"['GEX_YanLi', 'GEX_Savior', 'GEX_ZhenNan', 'GEX_SSR']",8,3,0,7293.308674999999,893.445746,826.6803150177002,1344.75
