dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,2,22.880075,byplayer,0,0,48,0,0,0.0,FURY_Insight,account.367fa053eea740a9a1423b110d078f23,0,3379.762,0,0,0,1194,0,1027.0023,4,12,128.57736206054688,FURY,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,04e65ce4-3749-44e5-8095-63bf3bccb726,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",12,3,1,4242.719875000001,514.747505,566.4760799407959,1215.0
1,0,0,152.63123,byplayer,1,0,14,1,2,299.26102,FURY_Ykikamucow,account.d4d084bbf0c2400480a484110ff67eee,0,2331.1338,0,0,0,1197,0,1238.9324,5,12,99.99999618530273,FURY,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,04e65ce4-3749-44e5-8095-63bf3bccb726,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",12,3,1,4242.719875000001,514.747505,566.4760799407959,1215.0
1,0,2,182.3055,byplayer,0,2,28,1,1,297.417,FURY_Fludd,account.5a732d0cc7464aea92eb1e2ae8073998,0,3210.8362,0,0,0,1273,0,922.4458,4,12,231.89871788024902,FURY,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,04e65ce4-3749-44e5-8095-63bf3bccb726,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",12,3,1,4242.719875000001,514.747505,566.4760799407959,1215.0
0,0,2,156.9307,byplayer,0,0,47,0,0,0.0,FURY_Ronon,account.17cfc55c4428413e841ef3b41dcb5ccb,0,3805.3904,0,0,0,1196,0,1055.3766,8,12,106.00000381469727,FURY,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,04e65ce4-3749-44e5-8095-63bf3bccb726,"['FURY_Insight', 'FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Ronon']",12,3,1,4242.719875000001,514.747505,566.4760799407959,1215.0
0,0,3,104.598854,byplayer,0,4,55,0,0,0.0,MaD_DAEVA,account.8552acd4a3e7498fbcdcb8c6d57e95c5,0,4639.891,0,0,0,1050,0,1239.196,7,14,183.4175319671631,MaD,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,4d0925bb-e986-42a0-a740-be59471fe0a0,"['MaD_DAEVA', 'MaD_Lash', 'MaD_2tap', 'MaD_EEND']",14,0,0,5727.032085,376.74827400000004,642.7519760131836,1061.75
0,0,4,69.21813,byplayer,0,1,56,0,0,0.0,MaD_Lash,account.4a439ada76504d91b6b4b7172e43bb92,0,6699.955,0,0,0,1017,0,965.58734,2,14,184.84884071350098,MaD,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,4d0925bb-e986-42a0-a740-be59471fe0a0,"['MaD_DAEVA', 'MaD_Lash', 'MaD_2tap', 'MaD_EEND']",14,0,0,5727.032085,376.74827400000004,642.7519760131836,1061.75
0,0,2,136.76721,byzone,0,1,53,0,0,0.0,MaD_2tap,account.baedf4d4218c4c5e9940279c3f7b5f08,0,3574.7158,0,0,0,1124,0,1261.1615,4,14,174.4856071472168,MaD,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,4d0925bb-e986-42a0-a740-be59471fe0a0,"['MaD_DAEVA', 'MaD_Lash', 'MaD_2tap', 'MaD_EEND']",14,0,0,5727.032085,376.74827400000004,642.7519760131836,1061.75
0,0,1,66.16408,byplayer,0,0,54,0,0,0.0,MaD_EEND,account.35f1a52799794754b63d417307a5a9bc,0,3096.713,0,0,0,1056,0,1430.9087,4,14,99.99999618530273,MaD,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,4d0925bb-e986-42a0-a740-be59471fe0a0,"['MaD_DAEVA', 'MaD_Lash', 'MaD_2tap', 'MaD_EEND']",14,0,0,5727.032085,376.74827400000004,642.7519760131836,1061.75
0,0,3,97.287704,byplayer,0,4,39,0,0,0.0,HERO_Beami,account.925cbe0a2f794fbcb27728a6ec5ac26b,1,6256.5796,0,0,0,1358,0,1070.2262,6,9,197.55222702026367,HERO,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,5bcb7450-bf95-4d7b-8d58-63563abdc161,"['HERO_Beami', 'HERO_TeaBone', 'HERO_Nowikk', 'HERO_PaG3']",9,6,2,7312.41715,943.4922240000001,971.5882120132446,1333.0
2,1,7,348.04102,byplayer,0,5,13,1,2,10.746295,HERO_TeaBone,account.d31551027f9847fc9b03c9c391943923,0,6099.6436,0,0,0,1358,0,1546.649,7,9,436.3025484085083,HERO,4d15e432-0de3-4e57-a889-382a7a9777ea,2021-11-20T12:35:23Z,Miramar,1898,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/11/20/13/08/05746b5e-4a03-11ec-9c21-16512f2173af-telemetry.json,5bcb7450-bf95-4d7b-8d58-63563abdc161,"['HERO_Beami', 'HERO_TeaBone', 'HERO_Nowikk', 'HERO_PaG3']",9,6,2,7312.41715,943.4922240000001,971.5882120132446,1333.0
