dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
0,1,4,102.900734,byplayer,0,0,28,1,1,25.610685,NH_HSmm,account.2dcbbd9854944ff1a8196ee9b5613d17,0,1852.8583,0,0.0,0,1203,0,1871.6978,6,10,132.19389533996582,NH,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,a1a2afc4-4896-4136-ad15-78ba20a9c7ee,"['NH_HSmm', 'NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing']",10,2,6,3931.0890999999997,708.195284,625.7286262512207,1020.0
1,1,3,110.5262,byplayer,0,0,44,0,0,0.0,NH_Nannnnn,account.9f143426c7ce4093b88c3e0b2a2f5617,0,3170.81,0,0.0,0,1196,0,1347.1484,5,10,100.0,NH,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,a1a2afc4-4896-4136-ad15-78ba20a9c7ee,"['NH_HSmm', 'NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing']",10,2,6,3931.0890999999997,708.195284,625.7286262512207,1020.0
4,2,6,311.20242,byplayer,0,2,29,1,1,73.30276,NH_ZpYan1,account.8b14a25b4d3f47cfb2ffdb924d420f2a,0,2730.4568,0,0.0,0,832,0,988.4304,4,10,259.2466335296631,NH,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,a1a2afc4-4896-4136-ad15-78ba20a9c7ee,"['NH_HSmm', 'NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing']",10,2,6,3931.0890999999997,708.195284,625.7286262512207,1020.0
0,2,5,183.56593,byplayer,0,1,45,0,0,0.0,NH_MMing,account.7ad389e823c4417abf2d58080546627c,0,2600.7207,0,0.0,0,849,0,1162.234,6,10,134.2880973815918,NH,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,a1a2afc4-4896-4136-ad15-78ba20a9c7ee,"['NH_HSmm', 'NH_Nannnnn', 'NH_ZpYan1', 'NH_MMing']",10,2,6,3931.0890999999997,708.195284,625.7286262512207,1020.0
0,0,2,26.4,byplayer,0,0,48,0,0,0.0,FURY_Ronon,account.47ec2801a759472eae15f8a5bf923ef6,0,11452.147,0,0.0,0,1175,0,809.2258,7,11,134.01796340942383,FURY,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,28c06c9c-1555-44b7-9f37-37ccbd05879d,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",11,0,0,11264.3252025,99.0,602.0332717895508,1166.5
0,0,5,0.0,byplayer,0,0,47,0,0,0.0,FURY_Insight,account.c7ebcc9870c34212b860d4af679d03e6,0,10171.041,0,0.0,0,1176,0,1388.6472,3,11,130.59999656677246,FURY,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,28c06c9c-1555-44b7-9f37-37ccbd05879d,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",11,0,0,11264.3252025,99.0,602.0332717895508,1166.5
0,0,3,72.6,byplayer,0,2,46,0,0,0.0,FURY_Fludd,account.cc3e9e3ae4d745fd985c23aa8a275d9b,0,9945.492,0,0.0,0,1205,0,1054.9127,2,11,252.4153118133545,FURY,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,28c06c9c-1555-44b7-9f37-37ccbd05879d,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",11,0,0,11264.3252025,99.0,602.0332717895508,1166.5
0,0,1,0.0,byplayer,0,2,49,0,0,0.0,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,8846.948,0,73.78091,0,1110,0,1315.1062,3,11,85.0,FURY,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,28c06c9c-1555-44b7-9f37-37ccbd05879d,"['FURY_Ronon', 'FURY_Insight', 'FURY_Fludd', 'FURY_Ykikamucow']",11,0,0,11264.3252025,99.0,602.0332717895508,1166.5
1,0,3,51.714928,byplayer,0,5,27,1,1,5.8603454,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,0,5086.7886,0,0.0,0,1124,0,1057.1355,7,9,256.5525608062744,NAVI,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,5364d6ad-3d87-4e76-9dbe-e851493e529a,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy']",9,2,2,6259.7831025,684.042348,902.4025478363037,1096.25
0,0,2,82.8903,byplayer,0,0,43,0,0,0.0,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,0,5255.869,0,0.0,0,981,0,912.23126,5,9,100.00000190734863,NAVI,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,5364d6ad-3d87-4e76-9dbe-e851493e529a,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy']",9,2,2,6259.7831025,684.042348,902.4025478363037,1096.25
2,1,4,336.02158,byplayer,1,7,26,1,1,96.21274,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,0,6306.902,0,0.0,0,1262,0,757.88635,4,9,320.8556823730469,NAVI,4e41094b-6ee5-4431-9ca5-b7f663e25ae2,2021-12-12T11:18:48Z,Miramar,1815,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/12/11/50/c39a0055-5b41-11ec-9c21-16512f2173af-telemetry.json,5364d6ad-3d87-4e76-9dbe-e851493e529a,"['NAVI_xmpl', 'NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy']",9,2,2,6259.7831025,684.042348,902.4025478363037,1096.25
