dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,7,178.62518,byplayer,0,5,22,1,1,281.84567,VP_spyrro,account.8f7a9336b09646d09df0c581420b1738,2,8800.387,0,0.0,0,1484,0,1241.0981,4,6,372.14015197753906,VP,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,b1798273-0c4f-4ea3-a39c-2bb07d343ce8,"['VP_spyrro', 'VP_Lu', 'VP_BatulinS', 'VP_Perfect1ks']",6,4,1,10312.559225,1080.06877,1374.4093208312988,1531.0
0,0,8,187.32216,byplayer,0,9,38,0,0,0.0,VP_Lu,account.396ce0851cfb4a868e299982492e8ea3,2,9237.441,0,0.0,0,1620,0,1083.3695,4,6,342.4234161376953,VP,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,b1798273-0c4f-4ea3-a39c-2bb07d343ce8,"['VP_spyrro', 'VP_Lu', 'VP_BatulinS', 'VP_Perfect1ks']",6,4,1,10312.559225,1080.06877,1374.4093208312988,1531.0
2,0,4,337.81543,byplayer,1,5,13,1,2,60.794937,VP_BatulinS,account.08c188ed97cd46d8877c6db830b96446,1,9656.093,0,0.0,0,1520,0,1133.9396,4,6,323.8782768249512,VP,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,b1798273-0c4f-4ea3-a39c-2bb07d343ce8,"['VP_spyrro', 'VP_Lu', 'VP_BatulinS', 'VP_Perfect1ks']",6,4,1,10312.559225,1080.06877,1374.4093208312988,1531.0
3,1,5,376.306,byplayer,0,8,21,1,1,13.546186,VP_Perfect1ks,account.332ca082ca76433fa9bd41a5b2696cac,0,8840.402,0,0.0,0,1500,0,1257.5067,5,6,335.9674758911133,VP,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,b1798273-0c4f-4ea3-a39c-2bb07d343ce8,"['VP_spyrro', 'VP_Lu', 'VP_BatulinS', 'VP_Perfect1ks']",6,4,1,10312.559225,1080.06877,1374.4093208312988,1531.0
0,0,4,0.0,byplayer,0,7,59,0,0,0.0,GBL_Renba,account.8410010c1e134a40840e7d02976e10de,1,3997.5579,0,0.0,0,1066,0,761.3505,3,15,278.9166774749756,GBL,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,daca7115-d4af-483c-9824-ae4e52b3227e,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",15,0,0,5080.6504425,152.600877,767.3605499267578,1056.75
0,0,0,25.873917,byplayer,0,0,62,0,0,0.0,GBL_Lambu,account.da3e24f528be47e7a898f9cbc5913e85,1,4680.8057,0,0.0,0,1035,0,1291.2805,4,15,90.19025421142578,GBL,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,daca7115-d4af-483c-9824-ae4e52b3227e,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",15,0,0,5080.6504425,152.600877,767.3605499267578,1056.75
1,0,1,126.72696,byplayer,0,1,60,0,0,0.0,GBL_Spear,account.cda51b156eab416c83e20b2acf614845,0,3352.5996,0,0.0,0,1066,0,967.04987,4,15,195.89363479614258,GBL,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,daca7115-d4af-483c-9824-ae4e52b3227e,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",15,0,0,5080.6504425,152.600877,767.3605499267578,1056.75
0,0,1,0.0,byplayer,0,1,61,0,0,0.0,GBL_Adder,account.626f565fa8c24966a75819086521f918,0,3620.46,0,0.0,0,1060,0,1651.4977,3,15,202.35998344421387,GBL,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,daca7115-d4af-483c-9824-ae4e52b3227e,"['GBL_Renba', 'GBL_Lambu', 'GBL_Spear', 'GBL_Adder']",15,0,0,5080.6504425,152.600877,767.3605499267578,1056.75
2,0,3,447.0334,byplayer,0,4,11,2,2,71.27568,NAVI_alya,account.8b546a0a2c3349e58718c4497da103f8,1,3558.8796,0,0.0,0,1704,0,1430.4575,3,3,349.07482147216797,NAVI,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,5c66ea09-2d00-4a7e-b0b4-157be8a2155b,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,4,0,5367.25755,1172.7014,940.5474491119385,1682.5
3,0,4,300.0,byplayer,0,5,33,0,0,0.0,NAVI_Mellman,account.5108d0dae2da4188acafb6858aaafc8d,1,4436.8853,0,0.0,0,1705,0,1344.891,3,3,259.9778804779053,NAVI,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,5c66ea09-2d00-4a7e-b0b4-157be8a2155b,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,4,0,5367.25755,1172.7014,940.5474491119385,1682.5
0,0,3,0.0,byplayer,1,4,20,1,1,73.209785,NAVI_Qwizzy,account.6c434c547efa4417ab2bfb3877088a9b,0,3378.837,0,0.0,0,1649,0,2020.5999,4,3,131.49474716186523,NAVI,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,5c66ea09-2d00-4a7e-b0b4-157be8a2155b,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,4,0,5367.25755,1172.7014,940.5474491119385,1682.5
1,0,4,425.668,byzone,0,1,19,1,1,3.0868711,NAVI_xmpl,account.3c9da82484354538817e461ed242f894,1,4179.92,0,0.0,0,1672,0,1118.5599,5,3,200.0,NAVI,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,5c66ea09-2d00-4a7e-b0b4-157be8a2155b,"['NAVI_alya', 'NAVI_Mellman', 'NAVI_Qwizzy', 'NAVI_xmpl']",3,4,0,5367.25755,1172.7014,940.5474491119385,1682.5
0,1,5,106.007996,byplayer,0,5,56,0,0,0.0,FURY_Ykikamucow,account.d3a65f8bcd004ea5b1af9f428c52f824,0,4329.9414,0,0.0,0,1272,0,1157.3284,4,13,250.8936939239502,FURY,4eb1b772-cc50-486c-8f28-b9aedbc77944,2021-12-17T10:49:28Z,Erangel (Remastered),1716,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2021/12/17/11/19/43d8d275-5f2b-11ec-9c21-16512f2173af-telemetry.json,555a6f41-6d08-4710-ada2-f4a3703cd4ff,"['FURY_Ykikamucow', 'FURY_Fludd', 'FURY_Insight', 'FURY_Ronon']",13,3,3,5465.464325000001,357.815994,557.4171361923218,1178.0
