dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
1,0,1,374.76526,byplayer,0,0,23,1,1,102.3585,GEX_ChiaWei1031,account.c5814728a48c4531a620d25754405c0d,1,0.0,0,0.0,0,1164.901,0,1795.3917,3,7,132.28820991516113,GEX,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,90b50c7e-adac-4fd4-a061-57a3b89203bf,"['GEX_ChiaWei1031', 'GEX_sophiya666', 'GEX_kane', 'GEX_Leo']",7,3,0,1531.7504999999999,800.805184,640.5748500823975,1133.6302500000002
0,0,0,71.340004,byplayer,0,6,77,0,0,0.0,GEX_sophiya666,account.429b9fd0493d4ebab6d42e2cb33c5acc,1,0.0,0,0.0,0,1164.899,0,1606.9491,3,7,220.70955657958984,GEX,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,90b50c7e-adac-4fd4-a061-57a3b89203bf,"['GEX_ChiaWei1031', 'GEX_sophiya666', 'GEX_kane', 'GEX_Leo']",7,3,0,1531.7504999999999,800.805184,640.5748500823975,1133.6302500000002
2,0,0,128.66,byplayer,1,0,24,1,1,126.968475,GEX_kane,account.e42833244716412b8f3db3284fc61c51,0,0.0,0,0.0,0,1039.818,0,884.6946,4,7,99.99999618530273,GEX,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,90b50c7e-adac-4fd4-a061-57a3b89203bf,"['GEX_ChiaWei1031', 'GEX_sophiya666', 'GEX_kane', 'GEX_Leo']",7,3,0,1531.7504999999999,800.805184,640.5748500823975,1133.6302500000002
2,0,1,226.03992,byplayer,0,1,22,1,1,112.40112,GEX_Leo,account.06bed40428fb43cb921c63a80aaf8dad,0,0.0,0,0.0,0,1164.903,0,1839.9666,3,7,187.57708740234375,GEX,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,90b50c7e-adac-4fd4-a061-57a3b89203bf,"['GEX_ChiaWei1031', 'GEX_sophiya666', 'GEX_kane', 'GEX_Leo']",7,3,0,1531.7504999999999,800.805184,640.5748500823975,1133.6302500000002
1,2,0,142.84009,byzone,0,0,90,0,0,0.0,QM_YIZz,account.1482f3e014424c27b75fbd8d420cdb2c,0,0.0,0,0.0,0,929.937,0,1180.1621,3,14,82.0,QM,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,11f89808-3660-4d69-8d40-4ed20030e23e,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",14,2,2,990.8015499999999,359.42740000000003,375.99999618530273,774.3605
0,0,0,0.0,byplayer,0,0,92,0,0,0.0,QM_JiYy,account.a475d33fc4ce40acbdb782a4c8894ca4,0,0.0,0,0.0,0,375.238,0,789.0787,4,14,100.0,QM,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,11f89808-3660-4d69-8d40-4ed20030e23e,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",14,2,2,990.8015499999999,359.42740000000003,375.99999618530273,774.3605
2,0,0,216.58731,byplayer,0,0,15,1,2,44.610207,QM_L1gEEE,account.1774c398a1f4414798ca5bf4dc562d6c,0,0.0,0,0.0,0,929.939,0,1151.7605,2,14,94.0,QM,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,11f89808-3660-4d69-8d40-4ed20030e23e,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",14,2,2,990.8015499999999,359.42740000000003,375.99999618530273,774.3605
0,0,0,0.0,byplayer,0,0,91,0,0,0.0,QM_WuFeng,account.3b85d17598854a55bdb3e122776bf289,0,0.0,0,0.0,0,862.328,0,842.2049,3,14,99.99999618530273,QM,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,11f89808-3660-4d69-8d40-4ed20030e23e,"['QM_YIZz', 'QM_JiYy', 'QM_L1gEEE', 'QM_WuFeng']",14,2,2,990.8015499999999,359.42740000000003,375.99999618530273,774.3605
1,0,0,71.432365,byplayer,0,1,73,0,0,0.0,ENA_Mickey,account.3288e68dcae74c0b89a4f091942973c7,0,1720.9312,0,0.0,0,1154.832,0,749.1193,3,5,110.00000762939453,ENA,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,0e4e11c5-6eba-4a7c-983b-27e5a40f0ca2,"['ENA_Mickey', 'ENA_Joy', 'ENA_Raeng', 'ENA_Alphaca']",5,0,0,2187.56939,141.432365,487.2616882324219,1100.60925
0,0,0,0.0,byplayer,0,0,74,0,0,0.0,ENA_Joy,account.9af41631781b40089f85781bb0aec97e,0,267.41986,0,0.0,0,862.272,0,1232.1124,3,5,100.0,ENA,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,0e4e11c5-6eba-4a7c-983b-27e5a40f0ca2,"['ENA_Mickey', 'ENA_Joy', 'ENA_Raeng', 'ENA_Alphaca']",5,0,0,2187.56939,141.432365,487.2616882324219,1100.60925
0,0,3,0.0,byplayer,0,1,71,0,0,0.0,ENA_Raeng,account.b0e0ab40da0140ca8b1c5d77c346f204,0,1671.9348,0,0.0,0,1228.275,0,1199.4723,5,5,177.26168060302734,ENA,4f7278b8-9596-4427-b5a0-a49fa82bfc64,2019-11-16T03:19:13Z,Sanhok,1333,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/11/16/03/42/2e1eb70e-0823-11ea-bc7c-0a586469e7d8-telemetry.json,0e4e11c5-6eba-4a7c-983b-27e5a40f0ca2,"['ENA_Mickey', 'ENA_Joy', 'ENA_Raeng', 'ENA_Alphaca']",5,0,0,2187.56939,141.432365,487.2616882324219,1100.60925
