dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,win_place,damage_taken,team_name,match_id,created_at,map_name,duration,telemetry_link,team_roster_id,team_member,team_rank,team_kill,team_assist,team_distance,team_damagedealt,team_damagetaken,team_timesurvived
2,0,2,121.58,byplayer,0,0,31,1,1,4.54228258,LVG_Rain1ng,account.912d5cd956dc477eb25638aa0297b1a6,1,2685.69556,0,0.0,0,542.917,0,437.855377,3,16,102.0,LVG,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,6e90dc4a-19f2-482e-ac64-37057673b0b1,"['LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK', 'LVG_VINO']",16,1,0,3220.5006027500003,330.78349999999995,520.8312320709229,492.093
0,0,2,130.7835,byplayer,0,2,74,0,0,0.0,LVG_NOZ,account.ec3e76fab58e414597001fe698a4edee,0,2847.147,0,0.0,0,542.908,0,456.925934,3,16,218.83123016357422,LVG,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,6e90dc4a-19f2-482e-ac64-37057673b0b1,"['LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK', 'LVG_VINO']",16,1,0,3220.5006027500003,330.78349999999995,520.8312320709229,492.093
0,0,0,49.02,byplayer,0,0,75,0,0,0.0,LVG_CRANK,account.9281d108eed04ca6aa309c7dfe2a2fd1,0,2177.87134,0,0.0,0,445.67,0,600.2635,2,16,100.00000190734863,LVG,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,6e90dc4a-19f2-482e-ac64-37057673b0b1,"['LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK', 'LVG_VINO']",16,1,0,3220.5006027500003,330.78349999999995,520.8312320709229,492.093
0,0,0,29.4,byplayer,0,0,76,0,0,0.0,LVG_VINO,account.a07879e0818942bf8ba0d1d7bda8db62,0,3377.757,0,0.0,0,436.877,0,298.4867,3,16,100.0,LVG,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,6e90dc4a-19f2-482e-ac64-37057673b0b1,"['LVG_Rain1ng', 'LVG_NOZ', 'LVG_CRANK', 'LVG_VINO']",16,1,0,3220.5006027500003,330.78349999999995,520.8312320709229,492.093
2,0,5,211.021255,byplayer,0,0,5,2,3,81.5221939,GR_nana,account.351b954a1da841079de9de8ab2addc30,0,6915.93,0,0.0,0,1473.371,0,1675.32434,3,3,129.39999961853027,GR,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,f62e22f7-f488-4814-896d-bd65212d5a1a,"['GR_nana', 'GR_asura', 'GR_Jungdong', 'GR_GuGu99']",3,7,0,9685.204435,1046.692718,658.0622577667236,1477.0942499999999
1,0,8,443.8647,byplayer,1,2,10,1,2,67.49937,GR_asura,account.0ef4ff74829c4a4898ec92d52bb75ecb,0,8608.142,0,0.0,0,1510.819,0,2384.59863,4,3,214.87799644470215,GR,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,f62e22f7-f488-4814-896d-bd65212d5a1a,"['GR_nana', 'GR_asura', 'GR_Jungdong', 'GR_GuGu99']",3,7,0,9685.204435,1046.692718,658.0622577667236,1477.0942499999999
1,0,3,264.831635,byplayer,0,2,17,1,1,165.941269,GR_Jungdong,account.9f02b737cac54eef8d7fcd815f358ce9,1,7104.14258,0,0.0,0,1478.206,0,1358.72046,4,3,170.7819061279297,GR,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,f62e22f7-f488-4814-896d-bd65212d5a1a,"['GR_nana', 'GR_asura', 'GR_Jungdong', 'GR_GuGu99']",3,7,0,9685.204435,1046.692718,658.0622577667236,1477.0942499999999
1,0,4,126.975128,byzone,0,0,18,1,1,13.5560646,GR_GuGu99,account.4d221cc9f181494181861f5e8b9a116d,0,9130.188,0,0.0,0,1445.981,0,1563.77173,4,3,143.00235557556152,GR,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,f62e22f7-f488-4814-896d-bd65212d5a1a,"['GR_nana', 'GR_asura', 'GR_Jungdong', 'GR_GuGu99']",3,7,0,9685.204435,1046.692718,658.0622577667236,1477.0942499999999
0,0,0,0.0,byplayer,0,0,53,0,0,0.0,EM_KiraV,account.b94da08ce9db462f9c75f1994d219349,0,1605.97058,0,0.0,0,483.03,0,579.387268,5,6,49.90900802612305,EM,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,4cec2e34-4f69-4aa9-bced-823bf6dd4063,"['EM_KiraV', 'EM_Lash', 'EM_Pallas', 'EM_k1nch']",6,2,0,7566.1340144999995,197.200027,331.2592887878418,941.387
0,0,4,0.0,byzone,0,6,52,0,0,0.0,EM_Lash,account.6aa04f20f0eb404aa444093717030cae,0,6923.496,0,0.0,0,911.302,0,1367.99683,3,6,62.71424865722656,EM,524c7c85-be66-4a1e-b389-69c5bcebefd3,2019-10-19T10:57:35Z,Erangel,1530,https://telemetry-cdn.pubg.com/bluehole-pubg/tournament/2019/10/19/11/24/ff092fc8-f262-11e9-b2e5-0a586469f0e6-telemetry.json,4cec2e34-4f69-4aa9-bced-823bf6dd4063,"['EM_KiraV', 'EM_Lash', 'EM_Pallas', 'EM_k1nch']",6,2,0,7566.1340144999995,197.200027,331.2592887878418,941.387
